wallet.cpp,wallet.cpp,4,49840,3
addressbookpage.cpp,addressbookpage.cpp,124,1752,20
addresstablemodel.cpp,addresstablemodel.cpp,420,2048,98
askpassphrasedialog.cpp,askpassphrasedialog.cpp,16,1032,7
bitcoin.cpp,bitcoin.cpp,704,2000,42
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,4,60,3
bitcoinamountfield.cpp,bitcoinamountfield.cpp,192,672,36
bitcoingui.cpp,bitcoingui.cpp,56,6156,33
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,4,940,3
clientmodel.cpp,clientmodel.cpp,204,1112,33
coincontroldialog.cpp,coincontroldialog.cpp,4,2108,3
coincontroltreewidget.cpp,coincontroltreewidget.cpp,4,268,3
csvmodelwriter.cpp,csvmodelwriter.cpp,52,300,48
editaddressdialog.cpp,editaddressdialog.cpp,4,608,3
guiutil.cpp,guiutil.cpp,8,760,7
notificator.cpp,notificator.cpp,4,304,3
optionsdialog.cpp,optionsdialog.cpp,4,932,3
optionsmodel.cpp,optionsmodel.cpp,168,624,20
overviewpage.cpp,overviewpage.cpp,4,1756,3
paymentserver.cpp,paymentserver.cpp,148,384,31
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,4,200,3
qvaluecombobox.cpp,qvaluecombobox.cpp,4,112,3
rpcconsole.cpp,rpcconsole.cpp,396,1560,92
sendcoinsdialog.cpp,sendcoinsdialog.cpp,60,3164,14
sendcoinsentry.cpp,sendcoinsentry.cpp,4,1692,3
signverifymessagedialog.cpp,signverifymessagedialog.cpp,4,1668,3
trafficgraphwidget.cpp,trafficgraphwidget.cpp,4,1052,3
transactiondesc.cpp,transactiondesc.cpp,4,780,3
transactiondescdialog.cpp,transactiondescdialog.cpp,4,204,3
transactionfilterproxy.cpp,transactionfilterproxy.cpp,4,840,3
transactionrecord.cpp,transactionrecord.cpp,4,688,3
transactiontablemodel.cpp,transactiontablemodel.cpp,648,3400,71
transactionview.cpp,transactionview.cpp,4,2648,3
walletmodel.cpp,walletmodel.cpp,140,2532,55
test_main.cpp,test_main.cpp,196,76,18
uritests.cpp,uritests.cpp,4,672,3
util.cpp,util.cpp,20,29716,16
net.cpp,net.cpp,616,42980,41
protocol.cpp,protocol.cpp,384,20336,41
util.cpp,util.cpp,308,29716,32
script.cpp,script.cpp,20,42640,16
cleanse.cpp,cleanse.cpp,28,1800,14
allocator_tests.cpp,allocator_tests.cpp,8,96,7
base32_tests.cpp,base32_tests.cpp,4,8,3
base58_tests.cpp,base58_tests.cpp,8,28,7
base64_tests.cpp,base64_tests.cpp,4,8,3
getarg_tests.cpp,getarg_tests.cpp,52,32,19
key_tests.cpp,key_tests.cpp,40,44,39
netbase_tests.cpp,netbase_tests.cpp,60,8,5
serialize_tests.cpp,serialize_tests.cpp,92,8,5
sigopcount_tests.cpp,sigopcount_tests.cpp,4,8,3
test_bitcoin.cpp,test_bitcoin.cpp,52,44,10
uint256_tests.cpp,uint256_tests.cpp,1600,8,5
gen.cpp,gen.cpp,2588,3168,1666
univalue.cpp,univalue.cpp,1836,3132,1549
univalue_read.cpp,univalue_read.cpp,5360,4088,2321
univalue_write.cpp,univalue_write.cpp,3372,3872,1417
unitester.cpp,unitester.cpp,5312,4544,4081
crypter.cpp,crypter.cpp,144,29164,43
db.cpp,db.cpp,580,24112,503
init.cpp,init.cpp,496,46164,57
rpcdump.cpp,rpcdump.cpp,472,43696,36
rpcwallet.cpp,rpcwallet.cpp,7700,46972,72
wallet.cpp,wallet.cpp,444,49840,56
walletdb.cpp,walletdb.cpp,88,46132,34
accounting_tests.cpp,accounting_tests.cpp,36,36,30
wallet_tests.cpp,wallet_tests.cpp,344,132,30
