addressbookpage.cpp,addressbookpage.cpp,1684,1672,153
addresstablemodel.cpp,addresstablemodel.cpp,2820,1904,426
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1528,944,323
bitcoin.cpp,bitcoin.cpp,2252,1768,76
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,60,29
bitcoinamountfield.cpp,bitcoinamountfield.cpp,716,664,43
bitcoingui.cpp,bitcoingui.cpp,5764,5220,144
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,1000,1028,386
clientmodel.cpp,clientmodel.cpp,1600,1080,60
coincontroldialog.cpp,coincontroldialog.cpp,31392,2036,151
coincontroltreewidget.cpp,coincontroltreewidget.cpp,364,268,97
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,584,580,342
guiutil.cpp,guiutil.cpp,1296,608,115
notificator.cpp,notificator.cpp,304,304,304
optionsdialog.cpp,optionsdialog.cpp,880,824,59
optionsmodel.cpp,optionsmodel.cpp,892,532,124
overviewpage.cpp,overviewpage.cpp,2836,1628,115
paymentserver.cpp,paymentserver.cpp,3648,384,48
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,476,200,130
qvaluecombobox.cpp,qvaluecombobox.cpp,112,112,112
rpcconsole.cpp,rpcconsole.cpp,3844,1504,222
sendcoinsdialog.cpp,sendcoinsdialog.cpp,4664,2796,134
sendcoinsentry.cpp,sendcoinsentry.cpp,2400,1540,144
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1480,1056,271
transactiondesc.cpp,transactiondesc.cpp,2100,740,238
transactiondescdialog.cpp,transactiondescdialog.cpp,368,224,77
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1100,828,234
transactionrecord.cpp,transactionrecord.cpp,564,612,357
transactiontablemodel.cpp,transactiontablemodel.cpp,4360,2904,213
transactionview.cpp,transactionview.cpp,3872,2380,309
walletmodel.cpp,walletmodel.cpp,33160,2100,197
test_main.cpp,test_main.cpp,172,76,49
uritests.cpp,uritests.cpp,32,528,13
net.cpp,net.cpp,528,44472,37
protocol.cpp,protocol.cpp,260,19412,31
script.cpp,script.cpp,3272,45228,906
allocator_tests.cpp,allocator_tests.cpp,96,96,90
base32_tests.cpp,base32_tests.cpp,4,8,3
base58_tests.cpp,base58_tests.cpp,24,28,18
base64_tests.cpp,base64_tests.cpp,4,8,3
getarg_tests.cpp,getarg_tests.cpp,32,32,26
key_tests.cpp,key_tests.cpp,40,44,39
netbase_tests.cpp,netbase_tests.cpp,4,8,3
serialize_tests.cpp,serialize_tests.cpp,4,8,3
sigopcount_tests.cpp,sigopcount_tests.cpp,4,8,3
uint256_tests.cpp,uint256_tests.cpp,1600,8,5
crypter.cpp,crypter.cpp,2924,30228,150
db.cpp,db.cpp,2512,22932,555
rpcdump.cpp,rpcdump.cpp,25784,46120,1600
rpcwallet.cpp,rpcwallet.cpp,28908,49220,1600
wallet.cpp,wallet.cpp,236,50432,62
walletdb.cpp,walletdb.cpp,1940,47328,100
accounting_tests.cpp,accounting_tests.cpp,40,36,30
wallet_tests.cpp,wallet_tests.cpp,148,132,62
