addressbookpage.cpp,addressbookpage.cpp,1684,1616,415
addresstablemodel.cpp,addresstablemodel.cpp,2820,2572,440
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1528,1344,375
bantablemodel.cpp,bantablemodel.cpp,908,884,459
bitcoin.cpp,bitcoin.cpp,2252,2196,517
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,76,76
bitcoinamountfield.cpp,bitcoinamountfield.cpp,716,728,602
bitcoingui.cpp,bitcoingui.cpp,5764,4728,586
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,1000,932,823
clientmodel.cpp,clientmodel.cpp,1600,1576,299
coincontroldialog.cpp,coincontroldialog.cpp,31392,2864,697
coincontroltreewidget.cpp,coincontroltreewidget.cpp,364,356,179
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,584,576,475
guiutil.cpp,guiutil.cpp,1296,1104,393
intro.cpp,intro.cpp,800,832,445
modaloverlay.cpp,modaloverlay.cpp,832,760,248
networkstyle.cpp,networkstyle.cpp,312,364,81
notificator.cpp,notificator.cpp,304,304,304
openuridialog.cpp,openuridialog.cpp,1232,1036,278
optionsdialog.cpp,optionsdialog.cpp,880,1268,364
optionsmodel.cpp,optionsmodel.cpp,892,884,663
overviewpage.cpp,overviewpage.cpp,2836,2476,969
paymentrequestplus.cpp,paymentrequestplus.cpp,700,700,700
paymentserver.cpp,paymentserver.cpp,3648,3696,467
peertablemodel.cpp,peertablemodel.cpp,1032,1008,567
platformstyle.cpp,platformstyle.cpp,496,496,496
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,476,476,476
qvaluecombobox.cpp,qvaluecombobox.cpp,112,112,112
receivecoinsdialog.cpp,receivecoinsdialog.cpp,3164,3000,665
receiverequestdialog.cpp,receiverequestdialog.cpp,1904,1712,743
recentrequeststablemodel.cpp,recentrequeststablemodel.cpp,2224,2032,931
rpcconsole.cpp,rpcconsole.cpp,3844,3740,608
sendcoinsdialog.cpp,sendcoinsdialog.cpp,4664,4516,487
sendcoinsentry.cpp,sendcoinsentry.cpp,2400,29612,512
signverifymessagedialog.cpp,signverifymessagedialog.cpp,2128,1940,695
splashscreen.cpp,splashscreen.cpp,784,696,296
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1480,1184,373
transactiondesc.cpp,transactiondesc.cpp,2100,2288,361
transactiondescdialog.cpp,transactiondescdialog.cpp,368,360,343
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1100,1092,955
transactionrecord.cpp,transactionrecord.cpp,564,608,338
transactiontablemodel.cpp,transactiontablemodel.cpp,4360,4204,1043
transactionview.cpp,transactionview.cpp,3872,3716,1333
utilitydialog.cpp,utilitydialog.cpp,2784,2708,1939
walletframe.cpp,walletframe.cpp,3544,1576,414
walletmodel.cpp,walletmodel.cpp,33160,3948,368
walletmodeltransaction.cpp,walletmodeltransaction.cpp,1248,1064,303
walletview.cpp,walletview.cpp,6816,5244,371
winshutdownmonitor.cpp,winshutdownmonitor.cpp,4,4,4
compattests.cpp,compattests.cpp,64,64,64
paymentservertests.cpp,paymentservertests.cpp,1648,1476,463
