policy.cpp,policy.cpp,372,384,177
rbf.cpp,rbf.cpp,80,80,80
block.cpp,block.cpp,12,12,12
transaction.cpp,transaction.cpp,64,12,9
addressbookpage.cpp,addressbookpage.cpp,1684,1560,415
addresstablemodel.cpp,addresstablemodel.cpp,2820,2500,524
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1528,1272,485
bantablemodel.cpp,bantablemodel.cpp,908,848,276
bitcoin.cpp,bitcoin.cpp,2252,2036,646
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,76,76
bitcoinamountfield.cpp,bitcoinamountfield.cpp,716,708,603
bitcoingui.cpp,bitcoingui.cpp,5764,4388,731
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,1000,932,823
clientmodel.cpp,clientmodel.cpp,1600,1276,281
coincontroldialog.cpp,coincontroldialog.cpp,31392,2892,840
coincontroltreewidget.cpp,coincontroltreewidget.cpp,364,364,364
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,584,576,475
guiutil.cpp,guiutil.cpp,1296,1032,536
intro.cpp,intro.cpp,800,800,800
networkstyle.cpp,networkstyle.cpp,312,312,312
notificator.cpp,notificator.cpp,304,304,304
openuridialog.cpp,openuridialog.cpp,1232,976,421
optionsdialog.cpp,optionsdialog.cpp,880,864,768
optionsmodel.cpp,optionsmodel.cpp,892,884,663
overviewpage.cpp,overviewpage.cpp,2836,2332,1124
paymentrequestplus.cpp,paymentrequestplus.cpp,700,700,700
paymentserver.cpp,paymentserver.cpp,3648,3384,2311
peertablemodel.cpp,peertablemodel.cpp,1032,960,359
platformstyle.cpp,platformstyle.cpp,496,496,496
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,476,476,476
qvaluecombobox.cpp,qvaluecombobox.cpp,112,112,112
receivecoinsdialog.cpp,receivecoinsdialog.cpp,3164,2864,808
receiverequestdialog.cpp,receiverequestdialog.cpp,1904,1640,743
recentrequeststablemodel.cpp,recentrequeststablemodel.cpp,2224,1960,931
