policy.cpp,policy.cpp,372,504,193
rbf.cpp,rbf.cpp,80,108,67
block.cpp,block.cpp,12,12,12
transaction.cpp,transaction.cpp,64,12,9
addressbookpage.cpp,addressbookpage.cpp,1684,1480,288
addresstablemodel.cpp,addresstablemodel.cpp,2820,2788,402
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1528,1648,307
bantablemodel.cpp,bantablemodel.cpp,908,976,380
clientmodel.cpp,clientmodel.cpp,1600,1828,293
coincontroldialog.cpp,coincontroldialog.cpp,31392,3660,233
coincontroltreewidget.cpp,coincontroltreewidget.cpp,364,376,139
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,584,852,204
guiutil.cpp,guiutil.cpp,1296,1336,316
intro.cpp,intro.cpp,800,928,446
networkstyle.cpp,networkstyle.cpp,312,412,174
notificator.cpp,notificator.cpp,304,312,269
openuridialog.cpp,openuridialog.cpp,1232,1276,180
optionsdialog.cpp,optionsdialog.cpp,880,1928,203
optionsmodel.cpp,optionsmodel.cpp,892,2420,179
overviewpage.cpp,overviewpage.cpp,2836,3100,274
paymentrequestplus.cpp,paymentrequestplus.cpp,700,700,700
paymentserver.cpp,paymentserver.cpp,3648,4176,1254
peertablemodel.cpp,peertablemodel.cpp,1032,1124,515
platformstyle.cpp,platformstyle.cpp,496,488,347
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,476,468,363
qvaluecombobox.cpp,qvaluecombobox.cpp,112,112,112
receivecoinsdialog.cpp,receivecoinsdialog.cpp,3164,908,61
receiverequestdialog.cpp,receiverequestdialog.cpp,1904,2180,152
recentrequeststablemodel.cpp,recentrequeststablemodel.cpp,2224,2732,481
rpcconsole.cpp,rpcconsole.cpp,3844,3912,454
sendcoinsdialog.cpp,sendcoinsdialog.cpp,4664,6012,323
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1480,1240,371
transactiondesc.cpp,transactiondesc.cpp,2100,2120,534
transactiondescdialog.cpp,transactiondescdialog.cpp,368,368,206
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1100,1588,304
transactionrecord.cpp,transactionrecord.cpp,564,632,233
transactiontablemodel.cpp,transactiontablemodel.cpp,4360,6428,388
transactionview.cpp,transactionview.cpp,3872,5168,390
utilitydialog.cpp,utilitydialog.cpp,2784,2772,1556
walletframe.cpp,walletframe.cpp,3544,840,121
walletmodel.cpp,walletmodel.cpp,33160,5640,487
walletmodeltransaction.cpp,walletmodeltransaction.cpp,1248,1212,182
walletview.cpp,walletview.cpp,6816,4952,220
winshutdownmonitor.cpp,winshutdownmonitor.cpp,4,4,4
compattests.cpp,compattests.cpp,64,64,64
paymentservertests.cpp,paymentservertests.cpp,1648,1644,598
test_main.cpp,test_main.cpp,172,192,30
uritests.cpp,uritests.cpp,32,32,32
blockchain.cpp,blockchain.cpp,1604,2288,194
client.cpp,client.cpp,144,176,114
mining.cpp,mining.cpp,1428,1292,165
misc.cpp,misc.cpp,1328,708,129
protocol.cpp,protocol.cpp,260,260,260
rawtransaction.cpp,rawtransaction.cpp,1144,1084,159
server.cpp,server.cpp,552,616,244
interpreter.cpp,interpreter.cpp,2312,3164,482
ismine.cpp,ismine.cpp,188,188,26
script.cpp,script.cpp,3272,3248,969
script_error.cpp,script_error.cpp,860,748,708
sigcache.cpp,sigcache.cpp,176,184,27
sign.cpp,sign.cpp,460,1020,77
standard.cpp,standard.cpp,564,704,273
cleanse.cpp,cleanse.cpp,1800,1800,1800
DoS_tests.cpp,DoS_tests.cpp,60,64,59
addrman_tests.cpp,addrman_tests.cpp,76,124,75
allocator_tests.cpp,allocator_tests.cpp,96,8,5
amount_tests.cpp,amount_tests.cpp,4,4,4
arith_uint256_tests.cpp,arith_uint256_tests.cpp,844,844,844
base32_tests.cpp,base32_tests.cpp,4,4,4
base58_tests.cpp,base58_tests.cpp,24,24,24
