addressbookpage.cpp,addressbookpage.cpp,1684,1352,127
addresstablemodel.cpp,addresstablemodel.cpp,2820,1472,216
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1528,744,205
bitcoin.cpp,bitcoin.cpp,2252,1612,74
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,60,29
bitcoinamountfield.cpp,bitcoinamountfield.cpp,716,664,42
bitcoingui.cpp,bitcoingui.cpp,5764,3980,144
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,1000,940,386
clientmodel.cpp,clientmodel.cpp,1600,472,36
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,584,536,114
guiutil.cpp,guiutil.cpp,1296,476,114
notificator.cpp,notificator.cpp,304,312,251
optionsdialog.cpp,optionsdialog.cpp,880,824,44
optionsmodel.cpp,optionsmodel.cpp,892,456,124
overviewpage.cpp,overviewpage.cpp,2836,1040,114
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,476,184,130
qvaluecombobox.cpp,qvaluecombobox.cpp,112,104,81
rpcconsole.cpp,rpcconsole.cpp,3844,1164,222
sendcoinsdialog.cpp,sendcoinsdialog.cpp,4664,1716,134
sendcoinsentry.cpp,sendcoinsentry.cpp,2400,896,114
transactiondesc.cpp,transactiondesc.cpp,2100,6776,99
transactiondescdialog.cpp,transactiondescdialog.cpp,368,188,77
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1100,512,151
transactionrecord.cpp,transactionrecord.cpp,564,640,141
transactiontablemodel.cpp,transactiontablemodel.cpp,4360,1540,140
transactionview.cpp,transactionview.cpp,3872,2128,276
walletmodel.cpp,walletmodel.cpp,33160,692,114
test_main.cpp,test_main.cpp,172,44,22
uritests.cpp,uritests.cpp,32,388,13
net.cpp,net.cpp,528,50284,37
protocol.cpp,protocol.cpp,260,15880,26
script.cpp,script.cpp,3272,40268,912
DoS_tests.cpp,DoS_tests.cpp,60,48,25
base58_tests.cpp,base58_tests.cpp,24,372,7
base64_tests.cpp,base64_tests.cpp,4,8,3
getarg_tests.cpp,getarg_tests.cpp,32,32,26
key_tests.cpp,key_tests.cpp,40,28,27
miner_tests.cpp,miner_tests.cpp,1504,24,15
multisig_tests.cpp,multisig_tests.cpp,4,40,3
rpc_tests.cpp,rpc_tests.cpp,88,132,26
script_P2SH_tests.cpp,script_P2SH_tests.cpp,44,37592,27
script_tests.cpp,script_tests.cpp,88,132,24
sigopcount_tests.cpp,sigopcount_tests.cpp,4,8,3
test_bitcoin.cpp,test_bitcoin.cpp,672,64,21
transaction_tests.cpp,transaction_tests.cpp,112,8,5
uint256_tests.cpp,uint256_tests.cpp,1600,8,5
util_tests.cpp,util_tests.cpp,8,12,7
crypter.cpp,crypter.cpp,2924,9920,191
db.cpp,db.cpp,2512,39024,508
rpcdump.cpp,rpcdump.cpp,25784,37952,1340
wallet.cpp,wallet.cpp,236,45624,56
walletdb.cpp,walletdb.cpp,1940,41024,60
