block.cpp,block.cpp,12,52392,8
transaction.cpp,transaction.cpp,64,48700,35
addressbookpage.cpp,addressbookpage.cpp,1684,61624,100
addresstablemodel.cpp,addresstablemodel.cpp,2820,1912,371
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1528,53596,243
bitcoin.cpp,bitcoin.cpp,2252,60552,72
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,60,29
bitcoinamountfield.cpp,bitcoinamountfield.cpp,716,968,43
bitcoingui.cpp,bitcoingui.cpp,5764,70960,73
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,1000,1020,206
clientmodel.cpp,clientmodel.cpp,1600,1128,59
coincontroldialog.cpp,coincontroldialog.cpp,31392,56452,916
coincontroltreewidget.cpp,coincontroltreewidget.cpp,364,272,101
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,584,53160,303
guiutil.cpp,guiutil.cpp,1296,636,115
notificator.cpp,notificator.cpp,304,304,304
optionsdialog.cpp,optionsdialog.cpp,880,54772,72
optionsmodel.cpp,optionsmodel.cpp,892,580,124
overviewpage.cpp,overviewpage.cpp,2836,56924,115
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,476,192,130
qvaluecombobox.cpp,qvaluecombobox.cpp,112,104,81
rpcconsole.cpp,rpcconsole.cpp,3844,53232,56
sendcoinsdialog.cpp,sendcoinsdialog.cpp,4664,59084,134
sendcoinsentry.cpp,sendcoinsentry.cpp,2400,54432,145
signverifymessagedialog.cpp,signverifymessagedialog.cpp,2128,55424,131
transactiondesc.cpp,transactiondesc.cpp,2100,636,115
transactiondescdialog.cpp,transactiondescdialog.cpp,368,53736,54
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1100,884,171
transactionrecord.cpp,transactionrecord.cpp,564,724,190
transactiontablemodel.cpp,transactiontablemodel.cpp,4360,3184,147
transactionview.cpp,transactionview.cpp,3872,2676,252
walletmodel.cpp,walletmodel.cpp,33160,2340,197
test_main.cpp,test_main.cpp,172,76,49
uritests.cpp,uritests.cpp,32,548,13
net.cpp,net.cpp,528,56364,36
protocol.cpp,protocol.cpp,260,16044,26
script.cpp,script.cpp,3272,46216,906
allocator_tests.cpp,allocator_tests.cpp,96,428,87
base32_tests.cpp,base32_tests.cpp,4,36,3
base58_tests.cpp,base58_tests.cpp,24,408,15
base64_tests.cpp,base64_tests.cpp,4,36,3
bloom_tests.cpp,bloom_tests.cpp,4,380,3
compress_tests.cpp,compress_tests.cpp,52,60,43
getarg_tests.cpp,getarg_tests.cpp,32,72,23
hash_tests.cpp,hash_tests.cpp,8,20,5
key_tests.cpp,key_tests.cpp,40,156,23
netbase_tests.cpp,netbase_tests.cpp,4,136,3
pmt_tests.cpp,pmt_tests.cpp,36,544,29
rpc_tests.cpp,rpc_tests.cpp,88,12,9
script_tests.cpp,script_tests.cpp,88,456,24
serialize_tests.cpp,serialize_tests.cpp,4,128,3
sigopcount_tests.cpp,sigopcount_tests.cpp,4,120,3
transaction_tests.cpp,transaction_tests.cpp,112,84,22
uint256_tests.cpp,uint256_tests.cpp,1600,44,16
util_tests.cpp,util_tests.cpp,8,928,5
crypter.cpp,crypter.cpp,2924,20992,113
db.cpp,db.cpp,2512,43160,481
rpcdump.cpp,rpcdump.cpp,25784,48348,1587
rpcwallet.cpp,rpcwallet.cpp,28908,52200,1340
wallet.cpp,wallet.cpp,236,49704,56
walletdb.cpp,walletdb.cpp,1940,40616,100
accounting_tests.cpp,accounting_tests.cpp,40,200,23
wallet_tests.cpp,wallet_tests.cpp,148,532,59
