addrman.cpp,addrman.cpp,23988,24248,3371
alert.cpp,alert.cpp,37812,24684,3000
chainparams.cpp,chainparams.cpp,64112,37220,3543
checkpoints.cpp,checkpoints.cpp,45988,36056,3371
core.cpp,core.cpp,31864,19484,3003
crypter.cpp,crypter.cpp,37488,30228,3000
db.cpp,db.cpp,50196,22932,3000
hash.cpp,hash.cpp,10112,9596,2471
init.cpp,init.cpp,66052,46908,2999
kernel.cpp,kernel.cpp,51696,40528,3003
key.cpp,key.cpp,16716,10208,2726
keystore.cpp,keystore.cpp,29100,18488,3000
main.cpp,main.cpp,87064,59600,3000
miner.cpp,miner.cpp,62308,46132,3003
net.cpp,net.cpp,66908,44472,3000
netbase.cpp,netbase.cpp,25468,23660,2113
noui.cpp,noui.cpp,60972,42660,2999
pbkdf2.cpp,pbkdf2.cpp,1668,1668,1668
protocol.cpp,protocol.cpp,20368,19412,3543
rpcblockchain.cpp,rpcblockchain.cpp,65776,40372,4588
rpcclient.cpp,rpcclient.cpp,19444,17352,5224
rpcdump.cpp,rpcdump.cpp,61700,46120,2999
rpcmining.cpp,rpcmining.cpp,64228,47960,4839
rpcnet.cpp,rpcnet.cpp,60300,38588,2999
rpcprotocol.cpp,rpcprotocol.cpp,15744,10460,5200
rpcrawtransaction.cpp,rpcrawtransaction.cpp,61584,46744,3543
rpcserver.cpp,rpcserver.cpp,62668,47896,4839
rpcwallet.cpp,rpcwallet.cpp,69172,49220,3000
script.cpp,script.cpp,67464,45228,3693
scrypt.cpp,scrypt.cpp,41956,29040,5123
sync.cpp,sync.cpp,16256,7484,1816
txdb-leveldb.cpp,txdb-leveldb.cpp,49936,39088,3003
txmempool.cpp,txmempool.cpp,46732,37068,3003
util.cpp,util.cpp,34148,25744,6846
version.cpp,version.cpp,172,172,88
wallet.cpp,wallet.cpp,88092,50432,2999
walletdb.cpp,walletdb.cpp,62332,47328,2999
json_spirit_reader.cpp,json_spirit_reader.cpp,420,420,420
json_spirit_value.cpp,json_spirit_value.cpp,4,4,4
json_spirit_writer.cpp,json_spirit_writer.cpp,196,196,196
aboutdialog.cpp,aboutdialog.cpp,300,304,84
addresstablemodel.cpp,addresstablemodel.cpp,2496,1904,283
askpassphrasedialog.cpp,askpassphrasedialog.cpp,956,944,334
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,60,60,60
bitcoinamountfield.cpp,bitcoinamountfield.cpp,672,664,483
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,988,1028,283
clientmodel.cpp,clientmodel.cpp,1440,1080,108
coincontroldialog.cpp,coincontroldialog.cpp,2532,2036,677
coincontroltreewidget.cpp,coincontroltreewidget.cpp,284,268,216
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,604,580,347
guiutil.cpp,guiutil.cpp,652,608,283
monitoreddatamapper.cpp,monitoreddatamapper.cpp,196,196,196
notificator.cpp,notificator.cpp,304,304,304
optionsmodel.cpp,optionsmodel.cpp,1100,532,226
paymentserver.cpp,paymentserver.cpp,384,384,384
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,200,200,200
qvaluecombobox.cpp,qvaluecombobox.cpp,104,112,81
rpcconsole.cpp,rpcconsole.cpp,2248,1504,268
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1080,1056,839
transactiondesc.cpp,transactiondesc.cpp,532,740,55
transactionrecord.cpp,transactionrecord.cpp,2188,612,85
transactiontablemodel.cpp,transactiontablemodel.cpp,3092,2904,310
walletmodel.cpp,walletmodel.cpp,2676,2100,335
test_main.cpp,test_main.cpp,76,76,76
uritests.cpp,uritests.cpp,564,528,283
Checkpoints_tests.cpp,Checkpoints_tests.cpp,36232,22372,3371
accounting_tests.cpp,accounting_tests.cpp,136,36,33
allocator_tests.cpp,allocator_tests.cpp,96,96,96
base32_tests.cpp,base32_tests.cpp,8,8,8
base58_tests.cpp,base58_tests.cpp,28,28,28
base64_tests.cpp,base64_tests.cpp,8,8,8
bignum_tests.cpp,bignum_tests.cpp,28,28,28
getarg_tests.cpp,getarg_tests.cpp,32,32,32
hmac_tests.cpp,hmac_tests.cpp,120,120,120
key_tests.cpp,key_tests.cpp,28,44,27
mruset_tests.cpp,mruset_tests.cpp,48,48,48
netbase_tests.cpp,netbase_tests.cpp,8,8,8
sigopcount_tests.cpp,sigopcount_tests.cpp,8,8,8
uint160_tests.cpp,uint160_tests.cpp,8,8,8
uint256_tests.cpp,uint256_tests.cpp,8,8,8
wallet_tests.cpp,wallet_tests.cpp,128,132,125
