crypter.cpp,crypter.cpp,37488,1836,377
db.cpp,db.cpp,50196,2468,555
main.cpp,main.cpp,87064,5096,1420
protocol.cpp,protocol.cpp,20368,13876,1340
rpcblockchain.cpp,rpcblockchain.cpp,65776,44188,1549
rpcclient.cpp,rpcclient.cpp,19444,9776,1410
rpcdump.cpp,rpcdump.cpp,61700,3312,95
rpcmining.cpp,rpcmining.cpp,64228,48620,1410
rpcnet.cpp,rpcnet.cpp,60300,38916,1412
rpcprotocol.cpp,rpcprotocol.cpp,15744,10984,1410
rpcrawtransaction.cpp,rpcrawtransaction.cpp,61584,50560,1412
rpcserver.cpp,rpcserver.cpp,62668,32860,1410
rpcwallet.cpp,rpcwallet.cpp,69172,8300,95
script.cpp,script.cpp,67464,3104,640
sync.cpp,sync.cpp,16256,11596,1410
txmempool.cpp,txmempool.cpp,46732,39912,1549
util.cpp,util.cpp,34148,17312,1587
wallet.cpp,wallet.cpp,88092,236,56
walletdb.cpp,walletdb.cpp,62332,1480,140
addresstablemodel.cpp,addresstablemodel.cpp,2496,2520,274
askpassphrasedialog.cpp,askpassphrasedialog.cpp,956,1256,207
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,60,76,29
bitcoinamountfield.cpp,bitcoinamountfield.cpp,672,720,42
bitcoinunits.cpp,bitcoinunits.cpp,988,1224,206
clientmodel.cpp,clientmodel.cpp,1440,1368,156
coincontroldialog.cpp,coincontroldialog.cpp,2532,3156,143
coincontroltreewidget.cpp,coincontroltreewidget.cpp,284,484,97
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,604,576,342
guiutil.cpp,guiutil.cpp,652,1060,93
notificator.cpp,notificator.cpp,304,304,304
optionsmodel.cpp,optionsmodel.cpp,1100,760,77
paymentserver.cpp,paymentserver.cpp,384,3432,48
peertablemodel.cpp,peertablemodel.cpp,1000,1052,240
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,200,476,130
qvaluecombobox.cpp,qvaluecombobox.cpp,104,112,81
rpcconsole.cpp,rpcconsole.cpp,2248,3344,188
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1080,1172,469
transactiondesc.cpp,transactiondesc.cpp,532,1856,55
transactionrecord.cpp,transactionrecord.cpp,2188,604,85
transactiontablemodel.cpp,transactiontablemodel.cpp,3092,4148,264
walletmodel.cpp,walletmodel.cpp,2676,4048,103
test_main.cpp,test_main.cpp,76,84,45
uritests.cpp,uritests.cpp,564,32,13
Checkpoints_tests.cpp,Checkpoints_tests.cpp,36232,4,3
accounting_tests.cpp,accounting_tests.cpp,136,40,30
allocator_tests.cpp,allocator_tests.cpp,96,96,90
base32_tests.cpp,base32_tests.cpp,8,4,3
base58_tests.cpp,base58_tests.cpp,28,928,18
base64_tests.cpp,base64_tests.cpp,8,4,3
bip32_tests.cpp,bip32_tests.cpp,112,108,107
getarg_tests.cpp,getarg_tests.cpp,32,32,26
hash_tests.cpp,hash_tests.cpp,8,4,3
key_tests.cpp,key_tests.cpp,28,40,27
multisig_tests.cpp,multisig_tests.cpp,12,4,3
netbase_tests.cpp,netbase_tests.cpp,8,4,3
rpc_tests.cpp,rpc_tests.cpp,92,88,64
script_P2SH_tests.cpp,script_P2SH_tests.cpp,59312,44,27
script_tests.cpp,script_tests.cpp,108,92,24
sigopcount_tests.cpp,sigopcount_tests.cpp,8,4,3
uint256_tests.cpp,uint256_tests.cpp,8,1600,5
util_tests.cpp,util_tests.cpp,12,8,7
wallet_tests.cpp,wallet_tests.cpp,128,148,62
DoS_tests.cpp,DoS_tests.cpp,48,60,25
miner_tests.cpp,miner_tests.cpp,1364,52,12
transaction_tests.cpp,transaction_tests.cpp,16,112,9
