crypter.cpp,crypter.cpp,37488,144,43
db.cpp,db.cpp,50196,552,510
init.cpp,init.cpp,66052,560,44
net.cpp,net.cpp,66908,612,37
protocol.cpp,protocol.cpp,20368,380,37
rpcdump.cpp,rpcdump.cpp,61700,2516,57
rpcwallet.cpp,rpcwallet.cpp,69172,6528,64
script.cpp,script.cpp,67464,16,12
scrypt.cpp,scrypt.cpp,41956,7860,3990
util.cpp,util.cpp,34148,196,32
wallet.cpp,wallet.cpp,88092,540,56
walletdb.cpp,walletdb.cpp,62332,1124,105
addresstablemodel.cpp,addresstablemodel.cpp,2496,428,83
askpassphrasedialog.cpp,askpassphrasedialog.cpp,956,16,7
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,60,4,3
bitcoinamountfield.cpp,bitcoinamountfield.cpp,672,192,36
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,988,4,3
clientmodel.cpp,clientmodel.cpp,1440,216,41
coincontroldialog.cpp,coincontroldialog.cpp,2532,4,3
coincontroltreewidget.cpp,coincontroltreewidget.cpp,284,4,3
csvmodelwriter.cpp,csvmodelwriter.cpp,300,52,48
editaddressdialog.cpp,editaddressdialog.cpp,604,8,5
guiutil.cpp,guiutil.cpp,652,8,5
notificator.cpp,notificator.cpp,304,4,3
optionsmodel.cpp,optionsmodel.cpp,1100,156,22
paymentserver.cpp,paymentserver.cpp,384,148,31
peertablemodel.cpp,peertablemodel.cpp,1000,88,45
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,200,4,3
qvaluecombobox.cpp,qvaluecombobox.cpp,104,4,3
rpcconsole.cpp,rpcconsole.cpp,2248,380,65
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1080,4,3
transactiondesc.cpp,transactiondesc.cpp,532,4,3
transactionrecord.cpp,transactionrecord.cpp,2188,4,3
transactiontablemodel.cpp,transactiontablemodel.cpp,3092,696,89
walletmodel.cpp,walletmodel.cpp,2676,140,51
test_main.cpp,test_main.cpp,76,172,18
uritests.cpp,uritests.cpp,564,4,3
accounting_tests.cpp,accounting_tests.cpp,136,36,30
allocator_tests.cpp,allocator_tests.cpp,96,8,7
base32_tests.cpp,base32_tests.cpp,8,4,3
base58_tests.cpp,base58_tests.cpp,28,8,7
base64_tests.cpp,base64_tests.cpp,8,4,3
bip32_tests.cpp,bip32_tests.cpp,112,112,81
getarg_tests.cpp,getarg_tests.cpp,32,32,26
hash_tests.cpp,hash_tests.cpp,8,8,8
key_tests.cpp,key_tests.cpp,28,40,27
multisig_tests.cpp,multisig_tests.cpp,12,4,3
netbase_tests.cpp,netbase_tests.cpp,8,60,5
rpc_tests.cpp,rpc_tests.cpp,92,72,54
script_P2SH_tests.cpp,script_P2SH_tests.cpp,59312,44,27
script_tests.cpp,script_tests.cpp,108,88,24
sigopcount_tests.cpp,sigopcount_tests.cpp,8,4,3
uint256_tests.cpp,uint256_tests.cpp,8,1600,5
util_tests.cpp,util_tests.cpp,12,1180,8
wallet_tests.cpp,wallet_tests.cpp,128,200,56
DoS_tests.cpp,DoS_tests.cpp,48,76,29
miner_tests.cpp,miner_tests.cpp,1364,1552,1339
transaction_tests.cpp,transaction_tests.cpp,16,128,9
