addrman.cpp,addrman.cpp,23988,18856,2113
checkpoints.cpp,checkpoints.cpp,45988,34468,1640
crypter.cpp,crypter.cpp,37488,9920,2569
db.cpp,db.cpp,50196,39024,2113
init.cpp,init.cpp,66052,42908,2113
kernel.cpp,kernel.cpp,51696,37316,2113
key.cpp,key.cpp,16716,17128,2569
keystore.cpp,keystore.cpp,29100,23312,3556
main.cpp,main.cpp,87064,57072,1463
net.cpp,net.cpp,66908,50284,2113
netbase.cpp,netbase.cpp,25468,21148,2113
noui.cpp,noui.cpp,60972,37692,2113
protocol.cpp,protocol.cpp,20368,15880,3192
rpcdump.cpp,rpcdump.cpp,61700,37952,2113
script.cpp,script.cpp,67464,40268,2386
util.cpp,util.cpp,34148,25444,2754
version.cpp,version.cpp,172,204,82
wallet.cpp,wallet.cpp,88092,45624,2113
walletdb.cpp,walletdb.cpp,62332,41024,2113
json_spirit_reader.cpp,json_spirit_reader.cpp,420,420,420
json_spirit_value.cpp,json_spirit_value.cpp,4,4,4
json_spirit_writer.cpp,json_spirit_writer.cpp,196,196,196
aboutdialog.cpp,aboutdialog.cpp,300,200,67
addresstablemodel.cpp,addresstablemodel.cpp,2496,1472,155
askpassphrasedialog.cpp,askpassphrasedialog.cpp,956,744,205
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,60,60,60
bitcoinamountfield.cpp,bitcoinamountfield.cpp,672,664,420
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,988,940,517
clientmodel.cpp,clientmodel.cpp,1440,472,73
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,604,536,110
guiutil.cpp,guiutil.cpp,652,476,155
monitoreddatamapper.cpp,monitoreddatamapper.cpp,196,196,196
notificator.cpp,notificator.cpp,304,312,251
optionsmodel.cpp,optionsmodel.cpp,1100,456,107
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,200,184,151
qvaluecombobox.cpp,qvaluecombobox.cpp,104,104,104
rpcconsole.cpp,rpcconsole.cpp,2248,1164,245
transactiondesc.cpp,transactiondesc.cpp,532,6776,165
transactionrecord.cpp,transactionrecord.cpp,2188,640,85
transactiontablemodel.cpp,transactiontablemodel.cpp,3092,1540,221
walletmodel.cpp,walletmodel.cpp,2676,692,155
test_main.cpp,test_main.cpp,76,44,28
uritests.cpp,uritests.cpp,564,388,155
Checkpoints_tests.cpp,Checkpoints_tests.cpp,36232,18336,1640
base58_tests.cpp,base58_tests.cpp,28,372,7
base64_tests.cpp,base64_tests.cpp,8,8,8
getarg_tests.cpp,getarg_tests.cpp,32,32,32
key_tests.cpp,key_tests.cpp,28,28,28
mruset_tests.cpp,mruset_tests.cpp,48,48,48
multisig_tests.cpp,multisig_tests.cpp,12,40,9
rpc_tests.cpp,rpc_tests.cpp,92,132,26
script_P2SH_tests.cpp,script_P2SH_tests.cpp,59312,37592,2113
script_tests.cpp,script_tests.cpp,108,132,98
sigopcount_tests.cpp,sigopcount_tests.cpp,8,8,8
uint160_tests.cpp,uint160_tests.cpp,8,8,8
uint256_tests.cpp,uint256_tests.cpp,8,8,8
util_tests.cpp,util_tests.cpp,12,12,12
DoS_tests.cpp,DoS_tests.cpp,48,48,48
miner_tests.cpp,miner_tests.cpp,1364,24,23
transaction_tests.cpp,transaction_tests.cpp,16,8,5
