bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,60,29
bitcoinamountfield.cpp,bitcoinamountfield.cpp,920,664,42
bitcoinunits.cpp,bitcoinunits.cpp,1380,1028,206
clientmodel.cpp,clientmodel.cpp,1752,1080,110
coincontroldialog.cpp,coincontroldialog.cpp,4044,2036,140
coincontroltreewidget.cpp,coincontroltreewidget.cpp,372,268,88
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,808,580,342
guiutil.cpp,guiutil.cpp,1584,608,89
notificator.cpp,notificator.cpp,304,304,304
optionsdialog.cpp,optionsdialog.cpp,1376,824,68
optionsmodel.cpp,optionsmodel.cpp,1264,532,124
paymentserver.cpp,paymentserver.cpp,3884,384,48
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,400,200,130
qvaluecombobox.cpp,qvaluecombobox.cpp,112,112,112
rpcconsole.cpp,rpcconsole.cpp,3452,1504,227
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1208,1056,469
transactiondesc.cpp,transactiondesc.cpp,8804,740,111
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1920,828,89
transactionrecord.cpp,transactionrecord.cpp,1888,612,109
transactiontablemodel.cpp,transactiontablemodel.cpp,5384,2904,252
walletmodel.cpp,walletmodel.cpp,11000,2100,89
test_main.cpp,test_main.cpp,88,76,45
uritests.cpp,uritests.cpp,32,528,13
net.cpp,net.cpp,480,44472,37
protocol.cpp,protocol.cpp,256,19412,31
script.cpp,script.cpp,2964,45228,906
Checkpoints_tests.cpp,Checkpoints_tests.cpp,108,22372,24
accounting_tests.cpp,accounting_tests.cpp,40,36,30
allocator_tests.cpp,allocator_tests.cpp,96,96,90
base32_tests.cpp,base32_tests.cpp,4,8,3
base58_tests.cpp,base58_tests.cpp,24,28,18
base64_tests.cpp,base64_tests.cpp,4,8,3
getarg_tests.cpp,getarg_tests.cpp,32,32,26
key_tests.cpp,key_tests.cpp,144,44,38
mruset_tests.cpp,mruset_tests.cpp,44,48,43
netbase_tests.cpp,netbase_tests.cpp,4,8,3
serialize_tests.cpp,serialize_tests.cpp,4,8,3
sigopcount_tests.cpp,sigopcount_tests.cpp,108,8,7
uint256_tests.cpp,uint256_tests.cpp,868,8,5
db.cpp,db.cpp,2476,22932,555
rpcdump.cpp,rpcdump.cpp,596,46120,37
rpcwallet.cpp,rpcwallet.cpp,8456,49220,176
wallet.cpp,wallet.cpp,296,50432,32
walletdb.cpp,walletdb.cpp,1740,47328,140
wallet_tests.cpp,wallet_tests.cpp,156,132,57
