bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,60,29
bitcoinamountfield.cpp,bitcoinamountfield.cpp,920,672,41
bitcoinunits.cpp,bitcoinunits.cpp,1380,988,206
clientmodel.cpp,clientmodel.cpp,1752,1440,151
coincontroldialog.cpp,coincontroldialog.cpp,4044,2532,140
coincontroltreewidget.cpp,coincontroltreewidget.cpp,372,284,88
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,808,604,342
guiutil.cpp,guiutil.cpp,1584,652,89
notificator.cpp,notificator.cpp,304,304,304
optionsmodel.cpp,optionsmodel.cpp,1264,1100,77
paymentserver.cpp,paymentserver.cpp,3884,384,48
peertablemodel.cpp,peertablemodel.cpp,1284,1000,606
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,400,200,130
qvaluecombobox.cpp,qvaluecombobox.cpp,112,104,81
rpcconsole.cpp,rpcconsole.cpp,3452,2248,188
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1208,1080,469
transactiondesc.cpp,transactiondesc.cpp,8804,532,44
transactionrecord.cpp,transactionrecord.cpp,1888,2188,76
transactiontablemodel.cpp,transactiontablemodel.cpp,5384,3092,283
walletmodel.cpp,walletmodel.cpp,11000,2676,89
test_main.cpp,test_main.cpp,88,76,45
uritests.cpp,uritests.cpp,32,564,13
net.cpp,net.cpp,480,66908,37
protocol.cpp,protocol.cpp,256,20368,31
script.cpp,script.cpp,2964,67464,640
Checkpoints_tests.cpp,Checkpoints_tests.cpp,108,36232,27
DoS_tests.cpp,DoS_tests.cpp,60,48,25
accounting_tests.cpp,accounting_tests.cpp,40,136,30
allocator_tests.cpp,allocator_tests.cpp,96,96,90
base32_tests.cpp,base32_tests.cpp,4,8,3
base58_tests.cpp,base58_tests.cpp,24,28,18
base64_tests.cpp,base64_tests.cpp,4,8,3
bip32_tests.cpp,bip32_tests.cpp,108,112,107
getarg_tests.cpp,getarg_tests.cpp,32,32,26
hash_tests.cpp,hash_tests.cpp,4,8,3
key_tests.cpp,key_tests.cpp,144,28,25
miner_tests.cpp,miner_tests.cpp,1348,1364,1342
mruset_tests.cpp,mruset_tests.cpp,44,48,43
multisig_tests.cpp,multisig_tests.cpp,108,12,5
netbase_tests.cpp,netbase_tests.cpp,4,8,3
rpc_tests.cpp,rpc_tests.cpp,96,92,54
script_P2SH_tests.cpp,script_P2SH_tests.cpp,148,59312,27
script_tests.cpp,script_tests.cpp,152,108,22
sigopcount_tests.cpp,sigopcount_tests.cpp,108,8,7
transaction_tests.cpp,transaction_tests.cpp,232,16,9
uint256_tests.cpp,uint256_tests.cpp,868,8,5
util_tests.cpp,util_tests.cpp,8,12,7
db.cpp,db.cpp,2476,50196,555
rpcdump.cpp,rpcdump.cpp,596,61700,37
rpcwallet.cpp,rpcwallet.cpp,8456,69172,176
wallet.cpp,wallet.cpp,296,88092,46
walletdb.cpp,walletdb.cpp,1740,62332,140
wallet_tests.cpp,wallet_tests.cpp,156,128,56
