bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,76,76
bitcoinamountfield.cpp,bitcoinamountfield.cpp,920,704,365
bitcoinunits.cpp,bitcoinunits.cpp,1380,1000,335
clientmodel.cpp,clientmodel.cpp,1752,1016,210
coincontroldialog.cpp,coincontroldialog.cpp,4044,2792,348
coincontroltreewidget.cpp,coincontroltreewidget.cpp,372,472,92
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,808,576,347
guiutil.cpp,guiutil.cpp,1584,976,456
intro.cpp,intro.cpp,1012,756,310
networkstyle.cpp,networkstyle.cpp,240,232,135
notificator.cpp,notificator.cpp,304,304,304
openuridialog.cpp,openuridialog.cpp,1632,920,364
optionsdialog.cpp,optionsdialog.cpp,1376,856,265
optionsmodel.cpp,optionsmodel.cpp,1264,668,213
paymentrequestplus.cpp,paymentrequestplus.cpp,688,680,560
paymentserver.cpp,paymentserver.cpp,3884,3096,1193
peertablemodel.cpp,peertablemodel.cpp,1284,1012,611
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,400,392,291
qvaluecombobox.cpp,qvaluecombobox.cpp,112,112,112
recentrequeststablemodel.cpp,recentrequeststablemodel.cpp,2700,1892,596
rpcconsole.cpp,rpcconsole.cpp,3452,2120,241
splashscreen.cpp,splashscreen.cpp,524,480,217
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1208,1104,819
transactiondesc.cpp,transactiondesc.cpp,8804,7984,6370
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1920,1092,136
transactionrecord.cpp,transactionrecord.cpp,1888,556,109
transactiontablemodel.cpp,transactiontablemodel.cpp,5384,3656,424
utilitydialog.cpp,utilitydialog.cpp,2340,2260,1538
walletmodel.cpp,walletmodel.cpp,11000,9436,6576
walletmodeltransaction.cpp,walletmodeltransaction.cpp,1504,912,250
winshutdownmonitor.cpp,winshutdownmonitor.cpp,4,4,4
paymentservertests.cpp,paymentservertests.cpp,1832,1240,264
test_main.cpp,test_main.cpp,88,84,78
uritests.cpp,uritests.cpp,32,32,32
net.cpp,net.cpp,480,26188,40
protocol.cpp,protocol.cpp,256,10288,26
bitcoinconsensus.cpp,bitcoinconsensus.cpp,220,220,220
interpreter.cpp,interpreter.cpp,2072,2188,562
script.cpp,script.cpp,2964,2800,1017
script_error.cpp,script_error.cpp,680,660,628
sigcache.cpp,sigcache.cpp,124,124,124
sign.cpp,sign.cpp,612,504,153
standard.cpp,standard.cpp,760,604,233
Checkpoints_tests.cpp,Checkpoints_tests.cpp,108,8,7
DoS_tests.cpp,DoS_tests.cpp,60,64,59
accounting_tests.cpp,accounting_tests.cpp,40,40,30
alert_tests.cpp,alert_tests.cpp,76,48,36
allocator_tests.cpp,allocator_tests.cpp,96,96,90
base32_tests.cpp,base32_tests.cpp,4,8,3
base58_tests.cpp,base58_tests.cpp,24,28,18
base64_tests.cpp,base64_tests.cpp,4,8,3
bip32_tests.cpp,bip32_tests.cpp,108,112,107
bloom_tests.cpp,bloom_tests.cpp,4,8,3
checkblock_tests.cpp,checkblock_tests.cpp,92,92,86
coins_tests.cpp,coins_tests.cpp,24,24,18
compress_tests.cpp,compress_tests.cpp,52,52,46
crypto_tests.cpp,crypto_tests.cpp,8,12,7
getarg_tests.cpp,getarg_tests.cpp,32,32,26
hash_tests.cpp,hash_tests.cpp,4,8,3
key_tests.cpp,key_tests.cpp,144,44,38
main_tests.cpp,main_tests.cpp,112,8,7
mempool_tests.cpp,mempool_tests.cpp,8,8,8
miner_tests.cpp,miner_tests.cpp,1348,1348,1342
mruset_tests.cpp,mruset_tests.cpp,44,48,43
multisig_tests.cpp,multisig_tests.cpp,108,8,7
netbase_tests.cpp,netbase_tests.cpp,4,8,3
pmt_tests.cpp,pmt_tests.cpp,44,48,43
rpc_tests.cpp,rpc_tests.cpp,96,92,54
rpc_wallet_tests.cpp,rpc_wallet_tests.cpp,16,20,15
sanity_tests.cpp,sanity_tests.cpp,108,8,7
script_P2SH_tests.cpp,script_P2SH_tests.cpp,148,48,40
script_tests.cpp,script_tests.cpp,152,52,44
scriptnum_tests.cpp,scriptnum_tests.cpp,532,1668,121
serialize_tests.cpp,serialize_tests.cpp,4,8,3
sighash_tests.cpp,sighash_tests.cpp,372,272,264
sigopcount_tests.cpp,sigopcount_tests.cpp,108,8,7
skiplist_tests.cpp,skiplist_tests.cpp,4,8,3
timedata_tests.cpp,timedata_tests.cpp,4,8,3
transaction_tests.cpp,transaction_tests.cpp,232,116,58
uint256_tests.cpp,uint256_tests.cpp,868,868,862
univalue_tests.cpp,univalue_tests.cpp,8,12,7
util_tests.cpp,util_tests.cpp,8,12,7
gen.cpp,gen.cpp,2588,4124,1666
univalue.cpp,univalue.cpp,2752,2192,64
univalue_read.cpp,univalue_read.cpp,5360,6440,2328
univalue_write.cpp,univalue_write.cpp,3372,5004,1407
db.cpp,db.cpp,2476,17616,555
rpcdump.cpp,rpcdump.cpp,596,35616,92
rpcwallet.cpp,rpcwallet.cpp,8456,38672,184
wallet.cpp,wallet.cpp,296,37120,41
wallet_ismine.cpp,wallet_ismine.cpp,236,8800,38
walletdb.cpp,walletdb.cpp,1740,37336,159
wallet_tests.cpp,wallet_tests.cpp,156,148,135
