transactiondesc.cpp,transactiondesc.cpp,8804,4,3
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1920,4,3
transactionrecord.cpp,transactionrecord.cpp,1888,4,3
transactiontablemodel.cpp,transactiontablemodel.cpp,5384,648,98
utilitydialog.cpp,utilitydialog.cpp,2340,1416,1412
walletmodel.cpp,walletmodel.cpp,11000,152,46
walletmodeltransaction.cpp,walletmodeltransaction.cpp,1504,4,3
winshutdownmonitor.cpp,winshutdownmonitor.cpp,4,4,4
paymentservertests.cpp,paymentservertests.cpp,1832,32,26
test_main.cpp,test_main.cpp,88,208,26
uritests.cpp,uritests.cpp,32,4,3
blockchain.cpp,blockchain.cpp,2100,2704,94
client.cpp,client.cpp,144,176,114
mining.cpp,mining.cpp,1004,1652,178
misc.cpp,misc.cpp,576,924,75
net.cpp,net.cpp,480,840,72
protocol.cpp,protocol.cpp,256,336,136
rawtransaction.cpp,rawtransaction.cpp,1012,1500,61
server.cpp,server.cpp,544,624,70
bitcoinconsensus.cpp,bitcoinconsensus.cpp,220,236,37
interpreter.cpp,interpreter.cpp,2072,1804,322
script.cpp,script.cpp,2964,20,14
script_error.cpp,script_error.cpp,680,28,15
sigcache.cpp,sigcache.cpp,124,28,9
sign.cpp,sign.cpp,612,1012,58
standard.cpp,standard.cpp,760,856,94
cleanse.cpp,cleanse.cpp,1808,28,25
addrman_tests.cpp,addrman_tests.cpp,76,176,41
allocator_tests.cpp,allocator_tests.cpp,96,8,5
arith_uint256_tests.cpp,arith_uint256_tests.cpp,844,844,844
base32_tests.cpp,base32_tests.cpp,4,4,4
base58_tests.cpp,base58_tests.cpp,24,8,7
base64_tests.cpp,base64_tests.cpp,4,4,4
bip32_tests.cpp,bip32_tests.cpp,108,112,81
bloom_tests.cpp,bloom_tests.cpp,4,4,4
coins_tests.cpp,coins_tests.cpp,24,664,20
compress_tests.cpp,compress_tests.cpp,52,52,52
crypto_tests.cpp,crypto_tests.cpp,8,8,8
getarg_tests.cpp,getarg_tests.cpp,32,52,25
hash_tests.cpp,hash_tests.cpp,4,8,3
key_tests.cpp,key_tests.cpp,144,40,37
main_tests.cpp,main_tests.cpp,112,124,8
mempool_tests.cpp,mempool_tests.cpp,8,4,3
merkle_tests.cpp,merkle_tests.cpp,364,596,358
miner_tests.cpp,miner_tests.cpp,1348,1416,1339
multisig_tests.cpp,multisig_tests.cpp,108,36,7
netbase_tests.cpp,netbase_tests.cpp,4,60,3
pmt_tests.cpp,pmt_tests.cpp,44,36,32
random_tests.cpp,random_tests.cpp,4,4,4
reverselock_tests.cpp,reverselock_tests.cpp,8,4,3
rpc_tests.cpp,rpc_tests.cpp,96,72,69
sanity_tests.cpp,sanity_tests.cpp,108,4,3
scheduler_tests.cpp,scheduler_tests.cpp,100,100,100
script_tests.cpp,script_tests.cpp,152,88,44
scriptnum_tests.cpp,scriptnum_tests.cpp,532,700,333
serialize_tests.cpp,serialize_tests.cpp,4,92,3
sighash_tests.cpp,sighash_tests.cpp,372,260,153
sigopcount_tests.cpp,sigopcount_tests.cpp,108,4,3
skiplist_tests.cpp,skiplist_tests.cpp,4,4,4
timedata_tests.cpp,timedata_tests.cpp,4,4,4
torcontrol_tests.cpp,torcontrol_tests.cpp,84,92,78
transaction_tests.cpp,transaction_tests.cpp,232,128,125
uint256_tests.cpp,uint256_tests.cpp,868,1600,67
util_tests.cpp,util_tests.cpp,8,1184,5
gen.cpp,gen.cpp,2588,2588,2588
univalue.cpp,univalue.cpp,2752,1836,1770
univalue_read.cpp,univalue_read.cpp,5360,5360,5360
univalue_write.cpp,univalue_write.cpp,3372,3372,3372
no_nul.cpp,no_nul.cpp,40,40,40
object.cpp,object.cpp,888,904,777
test_json.cpp,test_json.cpp,60,60,60
unitester.cpp,unitester.cpp,5312,5296,4339
db.cpp,db.cpp,2476,688,522
rpcdump.cpp,rpcdump.cpp,596,1140,84
rpcwallet.cpp,rpcwallet.cpp,8456,2940,64
wallet.cpp,wallet.cpp,296,424,27
walletdb.cpp,walletdb.cpp,1740,20,13
wallet_tests.cpp,wallet_tests.cpp,156,528,24
zmqabstractnotifier.cpp,zmqabstractnotifier.cpp,200,4,3
zmqnotificationinterface.cpp,zmqnotificationinterface.cpp,628,20,14
zmqpublishnotifier.cpp,zmqpublishnotifier.cpp,1048,220,124
