bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,76,76
bitcoinamountfield.cpp,bitcoinamountfield.cpp,920,728,365
bitcoinunits.cpp,bitcoinunits.cpp,1380,932,335
clientmodel.cpp,clientmodel.cpp,1752,1576,221
coincontroldialog.cpp,coincontroldialog.cpp,4044,2864,392
coincontroltreewidget.cpp,coincontroltreewidget.cpp,372,356,125
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,808,576,347
guiutil.cpp,guiutil.cpp,1584,1104,110
intro.cpp,intro.cpp,1012,832,262
networkstyle.cpp,networkstyle.cpp,240,364,80
notificator.cpp,notificator.cpp,304,304,304
openuridialog.cpp,openuridialog.cpp,1632,1036,110
optionsdialog.cpp,optionsdialog.cpp,1376,1268,103
optionsmodel.cpp,optionsmodel.cpp,1264,884,213
paymentrequestplus.cpp,paymentrequestplus.cpp,688,700,323
paymentserver.cpp,paymentserver.cpp,3884,3696,293
peertablemodel.cpp,peertablemodel.cpp,1284,1008,183
platformstyle.cpp,platformstyle.cpp,496,496,496
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,400,476,368
qvaluecombobox.cpp,qvaluecombobox.cpp,112,112,112
recentrequeststablemodel.cpp,recentrequeststablemodel.cpp,2700,2032,372
rpcconsole.cpp,rpcconsole.cpp,3452,3740,456
splashscreen.cpp,splashscreen.cpp,524,696,190
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1208,1184,843
transactiondesc.cpp,transactiondesc.cpp,8804,2288,197
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1920,1092,136
transactionrecord.cpp,transactionrecord.cpp,1888,608,119
transactiontablemodel.cpp,transactiontablemodel.cpp,5384,4204,289
utilitydialog.cpp,utilitydialog.cpp,2340,2708,1539
walletmodel.cpp,walletmodel.cpp,11000,3948,260
walletmodeltransaction.cpp,walletmodeltransaction.cpp,1504,1064,122
winshutdownmonitor.cpp,winshutdownmonitor.cpp,4,4,4
paymentservertests.cpp,paymentservertests.cpp,1832,1476,182
test_main.cpp,test_main.cpp,88,164,49
uritests.cpp,uritests.cpp,32,32,32
blockchain.cpp,blockchain.cpp,2100,2476,246
client.cpp,client.cpp,144,176,114
mining.cpp,mining.cpp,1004,1728,178
misc.cpp,misc.cpp,576,484,119
net.cpp,net.cpp,480,592,79
protocol.cpp,protocol.cpp,256,260,153
rawtransaction.cpp,rawtransaction.cpp,1012,1632,179
server.cpp,server.cpp,544,664,220
interpreter.cpp,interpreter.cpp,2072,3568,349
script.cpp,script.cpp,2964,4312,992
script_error.cpp,script_error.cpp,680,860,648
sigcache.cpp,sigcache.cpp,124,168,45
