util.cpp,util.cpp,20,10564,14
abc.cpp,abc.cpp,132,208,70
blockchain.cpp,blockchain.cpp,2892,3628,302
client.cpp,client.cpp,188,760,141
mining.cpp,mining.cpp,1408,1764,250
misc.cpp,misc.cpp,732,756,227
net.cpp,net.cpp,952,796,240
protocol.cpp,protocol.cpp,380,260,73
rawtransaction.cpp,rawtransaction.cpp,2124,1552,147
server.cpp,server.cpp,860,964,124
util.cpp,util.cpp,264,10564,21
bitcoinconsensus.cpp,bitcoinconsensus.cpp,252,548,77
interpreter.cpp,interpreter.cpp,700,2784,57
ismine.cpp,ismine.cpp,56,308,21
script.cpp,script.cpp,380,4760,50
script_error.cpp,script_error.cpp,28,972,14
scriptcache.cpp,scriptcache.cpp,180,200,33
sigcache.cpp,sigcache.cpp,28,216,24
sign.cpp,sign.cpp,1008,724,60
standard.cpp,standard.cpp,264,32,31
bitcoin.cpp,bitcoin.cpp,132,2452,51
db.cpp,db.cpp,4,2112,3
db.cpp,db.cpp,4,3984,3
dns.cpp,dns.cpp,11064,11448,3230
main.cpp,main.cpp,4188,7964,1925
cleanse.cpp,cleanse.cpp,20,32,17
lockedpool.cpp,lockedpool.cpp,2120,152,18
lockedpool.cpp,lockedpool.cpp,2120,2120,2120
addrman_tests.cpp,addrman_tests.cpp,176,124,60
allocator_tests.cpp,allocator_tests.cpp,8,8,8
amount_tests.cpp,amount_tests.cpp,92,92,92
arith_uint256_tests.cpp,arith_uint256_tests.cpp,484,384,243
base32_tests.cpp,base32_tests.cpp,4,4,4
base58_tests.cpp,base58_tests.cpp,4,84,3
base64_tests.cpp,base64_tests.cpp,4,4,4
bip32_tests.cpp,bip32_tests.cpp,120,116,81
blockcheck_tests.cpp,blockcheck_tests.cpp,104,104,64
blockencodings_tests.cpp,blockencodings_tests.cpp,200,120,77
blockstatus_tests.cpp,blockstatus_tests.cpp,156,44,35
bloom_tests.cpp,bloom_tests.cpp,4,16,3
bswap_tests.cpp,bswap_tests.cpp,4,4,4
checkpoints_tests.cpp,checkpoints_tests.cpp,48,4,3
checkqueue_tests.cpp,checkqueue_tests.cpp,452,4,3
coins_tests.cpp,coins_tests.cpp,636,636,636
compress_tests.cpp,compress_tests.cpp,52,52,52
config_tests.cpp,config_tests.cpp,4,32,3
core_io_tests.cpp,core_io_tests.cpp,4,4,4
crypto_tests.cpp,crypto_tests.cpp,8,8,8
crypto_tests.cpp,crypto_tests.cpp,8,584,5
cuckoocache_tests.cpp,cuckoocache_tests.cpp,172,56,27
dbwrapper_tests.cpp,dbwrapper_tests.cpp,40,40,40
dstencode_tests.cpp,dstencode_tests.cpp,4,4,4
excessiveblock_tests.cpp,excessiveblock_tests.cpp,8,8,8
getarg_tests.cpp,getarg_tests.cpp,72,32,15
hash_tests.cpp,hash_tests.cpp,8,8,8
inv_tests.cpp,inv_tests.cpp,72,72,72
jsonutil.cpp,jsonutil.cpp,32,32,32
key_tests.cpp,key_tests.cpp,88,40,39
limitedmap_tests.cpp,limitedmap_tests.cpp,4,4,4
mempool_tests.cpp,mempool_tests.cpp,28,4,3
merkle_tests.cpp,merkle_tests.cpp,644,364,324
miner_tests.cpp,miner_tests.cpp,92,380,29
multisig_tests.cpp,multisig_tests.cpp,36,4,3
net_tests.cpp,net_tests.cpp,212,164,133
netbase_tests.cpp,netbase_tests.cpp,60,44,41
pmt_tests.cpp,pmt_tests.cpp,36,36,36
policyestimator_tests.cpp,policyestimator_tests.cpp,4,4,4
pow_tests.cpp,pow_tests.cpp,4,4,4
