bip32_tests.cpp,bip32_tests.cpp,11428,11428,11428
base64_tests.cpp,base64_tests.cpp,11428,11428,11428
base58_tests.cpp,base58_tests.cpp,11428,11428,11428
base32_tests.cpp,base32_tests.cpp,11428,11428,11428
arith_uint256_tests.cpp,arith_uint256_tests.cpp,11428,11428,11428
amount_tests.cpp,amount_tests.cpp,11428,11428,11428
allocator_tests.cpp,allocator_tests.cpp,11428,11428,2890
addrman_tests.cpp,addrman_tests.cpp,11428,11428,2898
wallet.cpp,wallet.cpp,8,9608,5
mining.cpp,mining.cpp,68,11036,20
crypto_gen.cpp,crypto_gen.cpp,4,4,4
transaction.cpp,transaction.cpp,456,12,6
script.cpp,script.cpp,96,3004,16
fuzz.cpp,fuzz.cpp,1736,11040,1439
block.cpp,block.cpp,10012,4,3
lockedpool.cpp,lockedpool.cpp,5156,11844,4877
lockedpool.cpp,lockedpool.cpp,5156,9988,1242
cleanse.cpp,cleanse.cpp,1240,11760,94
standard.cpp,standard.cpp,856,264,144
sign.cpp,sign.cpp,1012,1008,194
sigcache.cpp,sigcache.cpp,11428,11548,4550
script_error.cpp,script_error.cpp,28,28,28
script.cpp,script.cpp,20,3004,14
interpreter.cpp,interpreter.cpp,1796,700,115
descriptor.cpp,descriptor.cpp,9840,9628,9603
bitcoinconsensus.cpp,bitcoinconsensus.cpp,236,252,121
util.cpp,util.cpp,10684,4368,1241
util.cpp,util.cpp,10684,20,17
server.cpp,server.cpp,25836,11588,5243
rawtransaction.cpp,rawtransaction.cpp,1244,11324,226
net.cpp,net.cpp,836,1104,151
misc.cpp,misc.cpp,10560,716,112
mining.cpp,mining.cpp,11304,11036,7980
client.cpp,client.cpp,388,400,210
blockchain.cpp,blockchain.cpp,11804,11428,2898
winshutdownmonitor.cpp,winshutdownmonitor.cpp,4,4,4
walletview.cpp,walletview.cpp,4,4,4
walletmodeltransaction.cpp,walletmodeltransaction.cpp,4,4,4
walletmodel.cpp,walletmodel.cpp,212,156,56
walletframe.cpp,walletframe.cpp,64,1384,63
walletcontroller.cpp,walletcontroller.cpp,2876,2876,2876
utilitydialog.cpp,utilitydialog.cpp,1324,1324,1324
transactionview.cpp,transactionview.cpp,4,4,4
transactiontablemodel.cpp,transactiontablemodel.cpp,3552,3540,2960
transactionrecord.cpp,transactionrecord.cpp,8,8,8
transactionfilterproxy.cpp,transactionfilterproxy.cpp,2668,2668,2668
transactiondescdialog.cpp,transactiondescdialog.cpp,4,4,4
transactiondesc.cpp,transactiondesc.cpp,9696,9600,9599
trafficgraphwidget.cpp,trafficgraphwidget.cpp,15636,15636,15636
splashscreen.cpp,splashscreen.cpp,52,9640,27
signverifymessagedialog.cpp,signverifymessagedialog.cpp,212,9600,201
sendcoinsentry.cpp,sendcoinsentry.cpp,4,4,4
sendcoinsdialog.cpp,sendcoinsdialog.cpp,60,4,3
rpcconsole.cpp,rpcconsole.cpp,388,392,231
recentrequeststablemodel.cpp,recentrequeststablemodel.cpp,4,2876,3
receiverequestdialog.cpp,receiverequestdialog.cpp,4,4,4
receivecoinsdialog.cpp,receivecoinsdialog.cpp,4,4,4
qvaluecombobox.cpp,qvaluecombobox.cpp,4,4,4
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,4,4,4
platformstyle.cpp,platformstyle.cpp,116,116,116
peertablemodel.cpp,peertablemodel.cpp,76,2980,32
paymentserver.cpp,paymentserver.cpp,9640,72520,2052
overviewpage.cpp,overviewpage.cpp,4,4,4
optionsmodel.cpp,optionsmodel.cpp,168,168,168
optionsdialog.cpp,optionsdialog.cpp,4,4,4
openuridialog.cpp,openuridialog.cpp,4,4,4
notificator.cpp,notificator.cpp,4,4,4
networkstyle.cpp,networkstyle.cpp,20,20,20
modaloverlay.cpp,modaloverlay.cpp,4,4,4
main.cpp,main.cpp,9624,8332,1619
main.cpp,main.cpp,9624,9624,9624
intro.cpp,intro.cpp,15820,15836,15637
guiutil.cpp,guiutil.cpp,4,4168,3
editaddressdialog.cpp,editaddressdialog.cpp,4,4,4
csvmodelwriter.cpp,csvmodelwriter.cpp,52,52,52
coincontroltreewidget.cpp,coincontroltreewidget.cpp,4,4,4
coincontroldialog.cpp,coincontroldialog.cpp,4,4,4
clientmodel.cpp,clientmodel.cpp,256,220,53
bitcoinunits.cpp,bitcoinunits.cpp,4,4,4
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoingui.cpp,bitcoingui.cpp,64,56,46
bitcoinamountfield.cpp,bitcoinamountfield.cpp,192,256,53
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,4,4,4
bitcoin.cpp,bitcoin.cpp,9964,3004,1242
bitcoin.cpp,bitcoin.cpp,9964,9600,7957
bantablemodel.cpp,bantablemodel.cpp,60,2964,25
askpassphrasedialog.cpp,askpassphrasedialog.cpp,16,16,16
addresstablemodel.cpp,addresstablemodel.cpp,3292,3300,3001
addressbookpage.cpp,addressbookpage.cpp,124,124,124
wallettests.cpp,wallettests.cpp,9600,9600,9600
util.cpp,util.cpp,20,4368,12
util.cpp,util.cpp,20,20,20
uritests.cpp,uritests.cpp,4,4,4
test_main.cpp,test_main.cpp,184,264,143
rpcnestedtests.cpp,rpcnestedtests.cpp,28,28,28
compattests.cpp,compattests.cpp,4,4,4
apptests.cpp,apptests.cpp,4,9600,3
addressbooktests.cpp,addressbooktests.cpp,4,9600,3
transaction.cpp,transaction.cpp,4,12,3
block.cpp,block.cpp,4,4,4
policy.cpp,policy.cpp,520,428,137
fees.cpp,fees.cpp,1716,4,3
transaction.cpp,transaction.cpp,9756,12,6
wallet.cpp,wallet.cpp,9600,9608,9599
node.cpp,node.cpp,9684,11436,9609
handler.cpp,handler.cpp,25776,25776,25776
chain.cpp,chain.cpp,9640,9600,9599
txindex.cpp,txindex.cpp,11428,11428,11428
base.cpp,base.cpp,20,20,20
siphash.cpp,siphash.cpp,548,548,548
sha512.cpp,sha512.cpp,1212,1216,1211
sha256_sse41.cpp,sha256_sse41.cpp,4,4,4
sha256_sse4.cpp,sha256_sse4.cpp,2668,2668,2668
sha256_shani.cpp,sha256_shani.cpp,4,4,4
sha256_avx2.cpp,sha256_avx2.cpp,4,4,4
sha256.cpp,sha256.cpp,1432,1440,1270
sha1.cpp,sha1.cpp,1212,1216,1211
ripemd160.cpp,ripemd160.cpp,1212,1216,1211
hmac_sha512.cpp,hmac_sha512.cpp,1212,1216,1211
hmac_sha256.cpp,hmac_sha256.cpp,1212,1216,1211
chacha20.cpp,chacha20.cpp,1236,1232,1213
aes.cpp,aes.cpp,1216,1280,1212
tx_verify.cpp,tx_verify.cpp,308,548,100
merkle.cpp,merkle.cpp,84,84,33
strnlen.cpp,strnlen.cpp,1232,1232,1232
glibcxx_sanity.cpp,glibcxx_sanity.cpp,10264,10264,10264
glibc_sanity.cpp,glibc_sanity.cpp,56,56,56
glibc_compat.cpp,glibc_compat.cpp,148,148,148
rpc_mempool.cpp,rpc_mempool.cpp,4,212,3
rollingbloom.cpp,rollingbloom.cpp,60,9988,16
prevector.cpp,prevector.cpp,156,156,156
merkle_root.cpp,merkle_root.cpp,36,36,36
mempool_eviction.cpp,mempool_eviction.cpp,4,212,3
lockedpool.cpp,lockedpool.cpp,276,11844,210
lockedpool.cpp,lockedpool.cpp,276,9988,199
gcs_filter.cpp,gcs_filter.cpp,140,140,140
examples.cpp,examples.cpp,15688,15688,15688
duplicate_inputs.cpp,duplicate_inputs.cpp,84,11428,11
crypto_hash.cpp,crypto_hash.cpp,264,9988,20
coin_selection.cpp,coin_selection.cpp,364,9776,213
checkqueue.cpp,checkqueue.cpp,11428,11428,5254
checkblock.cpp,checkblock.cpp,84,100,31
chacha20.cpp,chacha20.cpp,112,1232,13
ccoins_caching.cpp,ccoins_caching.cpp,276,328,215
bench_bitcoin.cpp,bench_bitcoin.cpp,9924,9904,9602
bench.cpp,bench.cpp,10208,10208,10208
base58.cpp,base58.cpp,9712,9688,9615
