transactionrecord.cpp,transactionrecord.cpp,4,4,4
transactiontablemodel.cpp,transactiontablemodel.cpp,676,652,167
transactionview.cpp,transactionview.cpp,4,4,4
utilitydialog.cpp,utilitydialog.cpp,1416,1416,1416
walletframe.cpp,walletframe.cpp,4,4,4
walletmodel.cpp,walletmodel.cpp,208,140,51
walletmodeltransaction.cpp,walletmodeltransaction.cpp,4,4,4
walletview.cpp,walletview.cpp,4,4,4
winshutdownmonitor.cpp,winshutdownmonitor.cpp,4,4,4
test_main.cpp,test_main.cpp,184,76,36
uritests.cpp,uritests.cpp,4,4,4
blockchain.cpp,blockchain.cpp,2204,1884,93
client.cpp,client.cpp,176,144,114
mining.cpp,mining.cpp,1712,1756,200
misc.cpp,misc.cpp,936,1512,100
net.cpp,net.cpp,836,656,92
rawtransaction.cpp,rawtransaction.cpp,1280,1356,92
server.cpp,server.cpp,568,520,66
interpreter.cpp,interpreter.cpp,1796,1892,615
script.cpp,script.cpp,20,16,15
script_error.cpp,script_error.cpp,28,28,28
sigcache.cpp,sigcache.cpp,28,4,3
sign.cpp,sign.cpp,1012,736,112
standard.cpp,standard.cpp,856,824,94
cleanse.cpp,cleanse.cpp,28,20,17
addrman_tests.cpp,addrman_tests.cpp,132,76,42
allocator_tests.cpp,allocator_tests.cpp,8,96,5
amount_tests.cpp,amount_tests.cpp,4,4,4
arith_uint256_tests.cpp,arith_uint256_tests.cpp,844,844,844
base32_tests.cpp,base32_tests.cpp,4,4,4
base58_tests.cpp,base58_tests.cpp,8,24,7
base64_tests.cpp,base64_tests.cpp,4,4,4
bip32_tests.cpp,bip32_tests.cpp,112,108,81
blockencodings_tests.cpp,blockencodings_tests.cpp,128,124,77
bloom_tests.cpp,bloom_tests.cpp,4,4,4
coins_tests.cpp,coins_tests.cpp,664,24,20
compress_tests.cpp,compress_tests.cpp,52,52,52
crypto_tests.cpp,crypto_tests.cpp,8,8,8
crypto_tests.cpp,crypto_tests.cpp,8,420,5
dbwrapper_tests.cpp,dbwrapper_tests.cpp,40,40,40
getarg_tests.cpp,getarg_tests.cpp,36,32,25
hash_tests.cpp,hash_tests.cpp,8,8,8
key_tests.cpp,key_tests.cpp,40,24,23
limitedmap_tests.cpp,limitedmap_tests.cpp,4,4,4
mempool_tests.cpp,mempool_tests.cpp,16,4,3
merkle_tests.cpp,merkle_tests.cpp,596,364,358
miner_tests.cpp,miner_tests.cpp,1384,4,3
multisig_tests.cpp,multisig_tests.cpp,36,4,3
net_tests.cpp,net_tests.cpp,164,156,54
netbase_tests.cpp,netbase_tests.cpp,60,4,3
pmt_tests.cpp,pmt_tests.cpp,36,36,36
policyestimator_tests.cpp,policyestimator_tests.cpp,4,4,4
pow_tests.cpp,pow_tests.cpp,4,4,4
prevector_tests.cpp,prevector_tests.cpp,8,4,3
reverselock_tests.cpp,reverselock_tests.cpp,4,4,4
rpc_tests.cpp,rpc_tests.cpp,64,88,61
sanity_tests.cpp,sanity_tests.cpp,4,4,4
scheduler_tests.cpp,scheduler_tests.cpp,100,100,100
script_tests.cpp,script_tests.cpp,308,88,87
scriptnum_tests.cpp,scriptnum_tests.cpp,700,532,333
serialize_tests.cpp,serialize_tests.cpp,92,4,3
sighash_tests.cpp,sighash_tests.cpp,252,260,239
sigopcount_tests.cpp,sigopcount_tests.cpp,4,4,4
skiplist_tests.cpp,skiplist_tests.cpp,4,4,4
streams_tests.cpp,streams_tests.cpp,4,4,4
timedata_tests.cpp,timedata_tests.cpp,4,4,4
transaction_tests.cpp,transaction_tests.cpp,128,120,62
txvalidationcache_tests.cpp,txvalidationcache_tests.cpp,44,112,8
uint256_tests.cpp,uint256_tests.cpp,188,1600,185
util_tests.cpp,util_tests.cpp,1816,8,5
versionbits_tests.cpp,versionbits_tests.cpp,760,632,384
block.cpp,block.cpp,196,12,9
script.cpp,script.cpp,96,16,10
transaction.cpp,transaction.cpp,236,12,7
mining.cpp,mining.cpp,68,1756,33
wallet.cpp,wallet.cpp,8,296,5
gen.cpp,gen.cpp,2588,2588,2588
univalue.cpp,univalue.cpp,1836,1836,1836
univalue_get.cpp,univalue_get.cpp,2688,2688,2688
univalue_read.cpp,univalue_read.cpp,5364,5360,3237
univalue_write.cpp,univalue_write.cpp,3372,3372,3372
no_nul.cpp,no_nul.cpp,40,40,40
object.cpp,object.cpp,904,904,904
test_json.cpp,test_json.cpp,60,60,60
unitester.cpp,unitester.cpp,5304,5296,4609
fees.cpp,fees.cpp,84,4,3
rbf.cpp,rbf.cpp,24,88,23
crypter.cpp,crypter.cpp,144,144,144
db.cpp,db.cpp,712,556,525
fees.cpp,fees.cpp,196,4,3
rpcdump.cpp,rpcdump.cpp,2112,972,79
rpcwallet.cpp,rpcwallet.cpp,2932,5172,99
wallet.cpp,wallet.cpp,580,296,69
walletdb.cpp,walletdb.cpp,20,1160,13
wallet_test_fixture.cpp,wallet_test_fixture.cpp,4,4,4
wallet_tests.cpp,wallet_tests.cpp,632,148,24
zmqabstractnotifier.cpp,zmqabstractnotifier.cpp,4,4,4
zmqnotificationinterface.cpp,zmqnotificationinterface.cpp,20,16,15
zmqpublishnotifier.cpp,zmqpublishnotifier.cpp,220,220,220
