util.cpp,util.cpp,10564,34148,1414
net.cpp,net.cpp,796,66908,38
protocol.cpp,protocol.cpp,260,20368,31
script.cpp,script.cpp,4760,67464,2288
db.cpp,db.cpp,2112,50196,52
main.cpp,main.cpp,7964,87064,117
DoS_tests.cpp,DoS_tests.cpp,4,48,3
allocator_tests.cpp,allocator_tests.cpp,8,96,7
base32_tests.cpp,base32_tests.cpp,4,8,3
base58_tests.cpp,base58_tests.cpp,84,28,11
base64_tests.cpp,base64_tests.cpp,4,8,3
bip32_tests.cpp,bip32_tests.cpp,116,112,105
getarg_tests.cpp,getarg_tests.cpp,32,32,26
hash_tests.cpp,hash_tests.cpp,8,8,8
key_tests.cpp,key_tests.cpp,40,28,27
miner_tests.cpp,miner_tests.cpp,380,1364,16
multisig_tests.cpp,multisig_tests.cpp,4,12,3
netbase_tests.cpp,netbase_tests.cpp,44,8,5
rpc_tests.cpp,rpc_tests.cpp,200,92,32
script_P2SH_tests.cpp,script_P2SH_tests.cpp,76,59312,28
script_tests.cpp,script_tests.cpp,188,108,31
sigopcount_tests.cpp,sigopcount_tests.cpp,20,8,5
transaction_tests.cpp,transaction_tests.cpp,32,16,10
uint256_tests.cpp,uint256_tests.cpp,128,8,6
util_tests.cpp,util_tests.cpp,12,12,12
crypter.cpp,crypter.cpp,1600,37488,113
db.cpp,db.cpp,3984,50196,504
rpcdump.cpp,rpcdump.cpp,5296,61700,85
rpcwallet.cpp,rpcwallet.cpp,8508,69172,100
wallet.cpp,wallet.cpp,240,88092,49
walletdb.cpp,walletdb.cpp,1196,62332,105
accounting_tests.cpp,accounting_tests.cpp,36,136,22
wallet_tests.cpp,wallet_tests.cpp,164,128,55
