uint256.cpp,uint256.cpp,1240,6696,100
util.cpp,util.cpp,10564,10732,1444
utilmoneystr.cpp,utilmoneystr.cpp,416,5420,56
utilstrencodings.cpp,utilstrencodings.cpp,8872,8972,1992
utiltime.cpp,utiltime.cpp,156,140,44
base58.cpp,base58.cpp,164,15644,25
glibc_compat.cpp,glibc_compat.cpp,140,92,91
glibc_sanity.cpp,glibc_sanity.cpp,52,52,52
glibcxx_sanity.cpp,glibcxx_sanity.cpp,120,120,120
strnlen.cpp,strnlen.cpp,20,20,20
hmac_sha256.cpp,hmac_sha256.cpp,4,908,3
hmac_sha512.cpp,hmac_sha512.cpp,4,908,3
ripemd160.cpp,ripemd160.cpp,4,908,3
sha1.cpp,sha1.cpp,4,908,3
sha256.cpp,sha256.cpp,12,908,5
sha512.cpp,sha512.cpp,4,908,3
block.cpp,block.cpp,4,4,4
transaction.cpp,transaction.cpp,12,4,3
net.cpp,net.cpp,796,26188,40
protocol.cpp,protocol.cpp,260,10288,26
bitcoinconsensus.cpp,bitcoinconsensus.cpp,548,220,82
interpreter.cpp,interpreter.cpp,2784,2188,281
script.cpp,script.cpp,4760,2800,111
script_error.cpp,script_error.cpp,972,660,620
sigcache.cpp,sigcache.cpp,216,124,26
sign.cpp,sign.cpp,724,504,81
standard.cpp,standard.cpp,32,604,17
bitcoin.cpp,bitcoin.cpp,2452,1792,48
db.cpp,db.cpp,2112,17616,39
main.cpp,main.cpp,7964,45752,117
DoS_tests.cpp,DoS_tests.cpp,4,64,3
allocator_tests.cpp,allocator_tests.cpp,8,96,7
base32_tests.cpp,base32_tests.cpp,4,8,3
base58_tests.cpp,base58_tests.cpp,84,28,11
base64_tests.cpp,base64_tests.cpp,4,8,3
bip32_tests.cpp,bip32_tests.cpp,116,112,105
bloom_tests.cpp,bloom_tests.cpp,16,8,5
coins_tests.cpp,coins_tests.cpp,636,24,17
compress_tests.cpp,compress_tests.cpp,52,52,46
crypto_tests.cpp,crypto_tests.cpp,8,12,7
getarg_tests.cpp,getarg_tests.cpp,32,32,26
hash_tests.cpp,hash_tests.cpp,8,8,8
key_tests.cpp,key_tests.cpp,40,44,39
main_tests.cpp,main_tests.cpp,124,8,5
mempool_tests.cpp,mempool_tests.cpp,4,8,3
miner_tests.cpp,miner_tests.cpp,380,1348,15
multisig_tests.cpp,multisig_tests.cpp,4,8,3
netbase_tests.cpp,netbase_tests.cpp,44,8,5
pmt_tests.cpp,pmt_tests.cpp,36,48,32
rpc_tests.cpp,rpc_tests.cpp,200,92,32
sanity_tests.cpp,sanity_tests.cpp,4,8,3
script_P2SH_tests.cpp,script_P2SH_tests.cpp,76,48,38
script_tests.cpp,script_tests.cpp,188,52,20
scriptnum_tests.cpp,scriptnum_tests.cpp,948,1668,84
serialize_tests.cpp,serialize_tests.cpp,100,8,5
sighash_tests.cpp,sighash_tests.cpp,292,272,125
sigopcount_tests.cpp,sigopcount_tests.cpp,20,8,5
skiplist_tests.cpp,skiplist_tests.cpp,8,8,8
test_bitcoin.cpp,test_bitcoin.cpp,752,104,20
timedata_tests.cpp,timedata_tests.cpp,4,8,3
transaction_tests.cpp,transaction_tests.cpp,32,116,9
uint256_tests.cpp,uint256_tests.cpp,128,868,77
univalue_tests.cpp,univalue_tests.cpp,20,12,6
util_tests.cpp,util_tests.cpp,12,12,12
gen.cpp,gen.cpp,2588,4124,1666
univalue.cpp,univalue.cpp,1836,2192,64
univalue_read.cpp,univalue_read.cpp,5360,6440,2328
univalue_write.cpp,univalue_write.cpp,1452,5004,1407
crypter.cpp,crypter.cpp,1600,15200,149
db.cpp,db.cpp,3984,17616,504
rpcdump.cpp,rpcdump.cpp,5296,35616,120
rpcwallet.cpp,rpcwallet.cpp,8508,38672,120
wallet.cpp,wallet.cpp,240,37120,32
walletdb.cpp,walletdb.cpp,1196,37336,124
accounting_tests.cpp,accounting_tests.cpp,36,40,22
crypto_tests.cpp,crypto_tests.cpp,584,12,9
wallet_tests.cpp,wallet_tests.cpp,164,148,123
