uint256.cpp,uint256.cpp,1240,4592,105
util.cpp,util.cpp,10564,17312,1444
utilmoneystr.cpp,utilmoneystr.cpp,416,6000,56
utilstrencodings.cpp,utilstrencodings.cpp,8872,10196,2008
utiltime.cpp,utiltime.cpp,156,384,44
validationinterface.cpp,validationinterface.cpp,1084,320,102
Examples.cpp,Examples.cpp,96,4752,46
bench.cpp,bench.cpp,340,512,36
glibc_compat.cpp,glibc_compat.cpp,140,92,91
glibc_sanity.cpp,glibc_sanity.cpp,52,52,52
glibcxx_sanity.cpp,glibcxx_sanity.cpp,120,120,120
strnlen.cpp,strnlen.cpp,20,20,20
merkle.cpp,merkle.cpp,288,560,115
hmac_sha256.cpp,hmac_sha256.cpp,4,908,3
hmac_sha512.cpp,hmac_sha512.cpp,4,908,3
ripemd160.cpp,ripemd160.cpp,4,908,3
sha1.cpp,sha1.cpp,4,908,3
sha256.cpp,sha256.cpp,12,908,5
sha512.cpp,sha512.cpp,4,908,3
fees.cpp,fees.cpp,4,4,4
policy.cpp,policy.cpp,348,300,65
block.cpp,block.cpp,4,4,4
transaction.cpp,transaction.cpp,12,4,3
protocol.cpp,protocol.cpp,260,13876,26
bitcoinconsensus.cpp,bitcoinconsensus.cpp,548,220,82
interpreter.cpp,interpreter.cpp,2784,2316,281
script.cpp,script.cpp,4760,3104,166
script_error.cpp,script_error.cpp,972,660,620
sigcache.cpp,sigcache.cpp,216,176,26
sign.cpp,sign.cpp,724,468,93
standard.cpp,standard.cpp,32,600,14
db.cpp,db.cpp,2112,2468,39
main.cpp,main.cpp,7964,5096,117
cleanse.cpp,cleanse.cpp,32,1800,29
DoS_tests.cpp,DoS_tests.cpp,4,60,3
addrman_tests.cpp,addrman_tests.cpp,124,8,6
allocator_tests.cpp,allocator_tests.cpp,8,96,5
arith_uint256_tests.cpp,arith_uint256_tests.cpp,384,844,165
base32_tests.cpp,base32_tests.cpp,4,4,4
base58_tests.cpp,base58_tests.cpp,84,928,11
base64_tests.cpp,base64_tests.cpp,4,4,4
bip32_tests.cpp,bip32_tests.cpp,116,108,105
bloom_tests.cpp,bloom_tests.cpp,16,44,13
coins_tests.cpp,coins_tests.cpp,636,24,23
compress_tests.cpp,compress_tests.cpp,52,52,52
crypto_tests.cpp,crypto_tests.cpp,8,8,8
dbwrapper_tests.cpp,dbwrapper_tests.cpp,40,40,40
getarg_tests.cpp,getarg_tests.cpp,32,32,32
hash_tests.cpp,hash_tests.cpp,8,4,3
key_tests.cpp,key_tests.cpp,40,40,40
limitedmap_tests.cpp,limitedmap_tests.cpp,4,4,4
main_tests.cpp,main_tests.cpp,124,36,17
mempool_tests.cpp,mempool_tests.cpp,4,4,4
merkle_tests.cpp,merkle_tests.cpp,364,364,364
miner_tests.cpp,miner_tests.cpp,380,52,46
multisig_tests.cpp,multisig_tests.cpp,4,4,4
netbase_tests.cpp,netbase_tests.cpp,44,4,3
pmt_tests.cpp,pmt_tests.cpp,36,36,36
policyestimator_tests.cpp,policyestimator_tests.cpp,4,4,4
pow_tests.cpp,pow_tests.cpp,4,4,4
prevector_tests.cpp,prevector_tests.cpp,8,8,8
reverselock_tests.cpp,reverselock_tests.cpp,4,4,4
rpc_tests.cpp,rpc_tests.cpp,200,88,32
sanity_tests.cpp,sanity_tests.cpp,4,4,4
scheduler_tests.cpp,scheduler_tests.cpp,100,100,100
script_P2SH_tests.cpp,script_P2SH_tests.cpp,76,44,38
script_tests.cpp,script_tests.cpp,188,92,41
scriptnum_tests.cpp,scriptnum_tests.cpp,948,1044,358
serialize_tests.cpp,serialize_tests.cpp,100,4,3
sighash_tests.cpp,sighash_tests.cpp,292,260,130
sigopcount_tests.cpp,sigopcount_tests.cpp,20,4,3
skiplist_tests.cpp,skiplist_tests.cpp,8,4,3
streams_tests.cpp,streams_tests.cpp,4,4,4
timedata_tests.cpp,timedata_tests.cpp,4,4,4
transaction_tests.cpp,transaction_tests.cpp,32,112,9
txvalidationcache_tests.cpp,txvalidationcache_tests.cpp,4,112,3
uint256_tests.cpp,uint256_tests.cpp,128,1600,67
univalue_tests.cpp,univalue_tests.cpp,20,8,6
util_tests.cpp,util_tests.cpp,12,8,7
univalue.cpp,univalue.cpp,1836,2752,1770
univalue_read.cpp,univalue_read.cpp,5360,5332,3707
univalue_write.cpp,univalue_write.cpp,1452,3372,1417
unitester.cpp,unitester.cpp,5296,5284,4339
crypter.cpp,crypter.cpp,1600,1836,149
db.cpp,db.cpp,3984,2468,527
rpcdump.cpp,rpcdump.cpp,5296,3312,151
rpcwallet.cpp,rpcwallet.cpp,8508,8300,151
wallet.cpp,wallet.cpp,240,236,29
walletdb.cpp,walletdb.cpp,1196,1480,143
accounting_tests.cpp,accounting_tests.cpp,36,40,22
crypto_tests.cpp,crypto_tests.cpp,584,8,5
wallet_tests.cpp,wallet_tests.cpp,164,148,123
zmqabstractnotifier.cpp,zmqabstractnotifier.cpp,172,200,119
zmqnotificationinterface.cpp,zmqnotificationinterface.cpp,732,628,148
zmqpublishnotifier.cpp,zmqpublishnotifier.cpp,1012,1056,182
