validation.cpp,validation.cpp,416,6028,40
validationinterface.cpp,validationinterface.cpp,1084,48,35
lockedpool.cpp,lockedpool.cpp,152,2108,18
fees.cpp,fees.cpp,4,1696,3
policy.cpp,policy.cpp,348,504,62
block.cpp,block.cpp,4,12,3
transaction.cpp,transaction.cpp,12,12,12
blockchain.cpp,blockchain.cpp,3628,2288,267
client.cpp,client.cpp,760,176,175
mining.cpp,mining.cpp,1764,1292,176
misc.cpp,misc.cpp,756,708,50
protocol.cpp,protocol.cpp,260,260,260
rawtransaction.cpp,rawtransaction.cpp,1552,1084,157
server.cpp,server.cpp,964,616,158
interpreter.cpp,interpreter.cpp,2784,3164,445
ismine.cpp,ismine.cpp,308,188,29
script.cpp,script.cpp,4760,3248,166
script_error.cpp,script_error.cpp,972,748,694
sigcache.cpp,sigcache.cpp,216,184,66
sign.cpp,sign.cpp,724,1020,179
standard.cpp,standard.cpp,32,704,14
db.cpp,db.cpp,2112,3580,40
cleanse.cpp,cleanse.cpp,32,1800,29
lockedpool.cpp,lockedpool.cpp,2120,2108,1906
DoS_tests.cpp,DoS_tests.cpp,4,64,3
addrman_tests.cpp,addrman_tests.cpp,124,124,124
allocator_tests.cpp,allocator_tests.cpp,8,8,8
amount_tests.cpp,amount_tests.cpp,92,4,3
arith_uint256_tests.cpp,arith_uint256_tests.cpp,384,844,165
base32_tests.cpp,base32_tests.cpp,4,4,4
base58_tests.cpp,base58_tests.cpp,84,24,11
base64_tests.cpp,base64_tests.cpp,4,4,4
bip32_tests.cpp,bip32_tests.cpp,116,112,81
blockencodings_tests.cpp,blockencodings_tests.cpp,120,124,85
bloom_tests.cpp,bloom_tests.cpp,16,4,3
bswap_tests.cpp,bswap_tests.cpp,4,4,4
checkqueue_tests.cpp,checkqueue_tests.cpp,4,448,3
coins_tests.cpp,coins_tests.cpp,636,664,477
compress_tests.cpp,compress_tests.cpp,52,52,52
crypto_tests.cpp,crypto_tests.cpp,8,8,8
crypto_tests.cpp,crypto_tests.cpp,8,452,5
cuckoocache_tests.cpp,cuckoocache_tests.cpp,56,56,56
dbwrapper_tests.cpp,dbwrapper_tests.cpp,40,40,40
getarg_tests.cpp,getarg_tests.cpp,32,32,32
hash_tests.cpp,hash_tests.cpp,8,8,8
key_tests.cpp,key_tests.cpp,40,40,40
limitedmap_tests.cpp,limitedmap_tests.cpp,4,4,4
main_tests.cpp,main_tests.cpp,124,4,3
mempool_tests.cpp,mempool_tests.cpp,4,4,4
merkle_tests.cpp,merkle_tests.cpp,364,364,364
miner_tests.cpp,miner_tests.cpp,380,1528,88
multisig_tests.cpp,multisig_tests.cpp,4,4,4
net_tests.cpp,net_tests.cpp,164,156,67
netbase_tests.cpp,netbase_tests.cpp,44,44,44
pmt_tests.cpp,pmt_tests.cpp,36,36,36
policyestimator_tests.cpp,policyestimator_tests.cpp,4,4,4
pow_tests.cpp,pow_tests.cpp,4,4,4
prevector_tests.cpp,prevector_tests.cpp,8,8,8
raii_event_tests.cpp,raii_event_tests.cpp,4,4,4
random_tests.cpp,random_tests.cpp,4,4,4
reverselock_tests.cpp,reverselock_tests.cpp,4,4,4
rpc_tests.cpp,rpc_tests.cpp,200,72,42
sanity_tests.cpp,sanity_tests.cpp,4,4,4
scheduler_tests.cpp,scheduler_tests.cpp,100,100,100
script_P2SH_tests.cpp,script_P2SH_tests.cpp,76,44,27
script_tests.cpp,script_tests.cpp,188,220,56
scriptnum_tests.cpp,scriptnum_tests.cpp,948,1216,358
serialize_tests.cpp,serialize_tests.cpp,100,100,100
sighash_tests.cpp,sighash_tests.cpp,292,8,6
sigopcount_tests.cpp,sigopcount_tests.cpp,20,4,3
skiplist_tests.cpp,skiplist_tests.cpp,8,4,3
streams_tests.cpp,streams_tests.cpp,4,4,4
testutil.cpp,testutil.cpp,36,16,13
timedata_tests.cpp,timedata_tests.cpp,4,4,4
transaction_tests.cpp,transaction_tests.cpp,32,128,9
txvalidationcache_tests.cpp,txvalidationcache_tests.cpp,4,120,3
uint256_tests.cpp,uint256_tests.cpp,128,1600,67
univalue_tests.cpp,univalue_tests.cpp,20,8,6
util_tests.cpp,util_tests.cpp,12,12,12
gen.cpp,gen.cpp,2588,2588,2588
univalue.cpp,univalue.cpp,1836,2752,1770
univalue_read.cpp,univalue_read.cpp,5360,5332,3707
univalue_write.cpp,univalue_write.cpp,1452,3372,1417
unitester.cpp,unitester.cpp,5296,5284,4339
crypter.cpp,crypter.cpp,1600,1804,157
db.cpp,db.cpp,3984,3580,551
rpcdump.cpp,rpcdump.cpp,5296,6364,145
rpcwallet.cpp,rpcwallet.cpp,8508,4380,105
wallet.cpp,wallet.cpp,240,356,64
walletdb.cpp,walletdb.cpp,1196,1532,143
accounting_tests.cpp,accounting_tests.cpp,36,36,36
crypto_tests.cpp,crypto_tests.cpp,584,8,5
crypto_tests.cpp,crypto_tests.cpp,584,452,116
wallet_test_fixture.cpp,wallet_test_fixture.cpp,8,8,8
wallet_tests.cpp,wallet_tests.cpp,164,216,80
zmqabstractnotifier.cpp,zmqabstractnotifier.cpp,172,208,117
zmqnotificationinterface.cpp,zmqnotificationinterface.cpp,732,740,196
zmqpublishnotifier.cpp,zmqpublishnotifier.cpp,1012,1008,182
