addrman.cpp,addrman.cpp,23964,24248,4025
alert.cpp,alert.cpp,25480,24684,4904
bitcoind.cpp,bitcoind.cpp,42576,45476,4030
chainparams.cpp,chainparams.cpp,37436,37220,4322
checkpoints.cpp,checkpoints.cpp,35472,36056,5000
core.cpp,core.cpp,20916,19484,4030
crypter.cpp,crypter.cpp,29164,30228,3553
db.cpp,db.cpp,24112,22932,4025
hash.cpp,hash.cpp,11132,9596,4030
init.cpp,init.cpp,46164,46908,3877
kernel.cpp,kernel.cpp,38416,40528,4030
key.cpp,key.cpp,11908,10208,3125
keystore.cpp,keystore.cpp,19616,18488,3125
main.cpp,main.cpp,63028,59600,3554
miner.cpp,miner.cpp,43784,46132,4030
net.cpp,net.cpp,42980,44472,4836
netbase.cpp,netbase.cpp,24788,23660,4025
noui.cpp,noui.cpp,40496,42660,3877
pbkdf2.cpp,pbkdf2.cpp,1668,1668,1668
protocol.cpp,protocol.cpp,20336,19412,3596
rpcblockchain.cpp,rpcblockchain.cpp,37924,40372,4030
rpcclient.cpp,rpcclient.cpp,15484,17352,3177
rpcdump.cpp,rpcdump.cpp,43696,46120,3877
rpcmining.cpp,rpcmining.cpp,44212,47960,4204
rpcmisc.cpp,rpcmisc.cpp,43868,45832,3877
rpcnet.cpp,rpcnet.cpp,36236,38588,4030
rpcprotocol.cpp,rpcprotocol.cpp,8664,10460,2454
rpcrawtransaction.cpp,rpcrawtransaction.cpp,43832,46744,3125
rpcserver.cpp,rpcserver.cpp,44872,47896,4204
rpcwallet.cpp,rpcwallet.cpp,46972,49220,3125
script.cpp,script.cpp,42640,45228,3877
scrypt.cpp,scrypt.cpp,28408,29040,5404
sync.cpp,sync.cpp,8892,7484,2454
timedata.cpp,timedata.cpp,13464,12040,4025
txdb-leveldb.cpp,txdb-leveldb.cpp,37964,39088,4030
txmempool.cpp,txmempool.cpp,35472,37068,4030
util.cpp,util.cpp,29716,25744,6585
version.cpp,version.cpp,172,172,86
wallet.cpp,wallet.cpp,49840,50432,3877
walletdb.cpp,walletdb.cpp,46132,47328,3674
aboutdialog.cpp,aboutdialog.cpp,276,304,213
addressbookpage.cpp,addressbookpage.cpp,1752,1672,377
addresstablemodel.cpp,addresstablemodel.cpp,2048,1904,1255
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1032,944,334
bitcoin.cpp,bitcoin.cpp,2000,1768,302
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,60,60,60
bitcoinamountfield.cpp,bitcoinamountfield.cpp,672,664,483
bitcoingui.cpp,bitcoingui.cpp,6156,5220,506
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,940,1028,590
clientmodel.cpp,clientmodel.cpp,1112,1080,551
coincontroldialog.cpp,coincontroldialog.cpp,2108,2036,541
coincontroltreewidget.cpp,coincontroltreewidget.cpp,268,268,268
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,608,580,343
guiutil.cpp,guiutil.cpp,760,608,172
monitoreddatamapper.cpp,monitoreddatamapper.cpp,196,196,196
notificator.cpp,notificator.cpp,304,304,304
optionsdialog.cpp,optionsdialog.cpp,932,824,204
optionsmodel.cpp,optionsmodel.cpp,624,532,225
overviewpage.cpp,overviewpage.cpp,1756,1628,310
paymentserver.cpp,paymentserver.cpp,384,384,384
qrcodedialog.cpp,qrcodedialog.cpp,724,688,498
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,200,200,200
qvaluecombobox.cpp,qvaluecombobox.cpp,112,112,112
rpcconsole.cpp,rpcconsole.cpp,1560,1504,1047
sendcoinsdialog.cpp,sendcoinsdialog.cpp,3164,2796,517
sendcoinsentry.cpp,sendcoinsentry.cpp,1692,1540,695
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1052,1056,530
transactiondesc.cpp,transactiondesc.cpp,780,740,387
transactiondescdialog.cpp,transactiondescdialog.cpp,204,224,95
transactionfilterproxy.cpp,transactionfilterproxy.cpp,840,828,451
transactionrecord.cpp,transactionrecord.cpp,688,612,203
transactiontablemodel.cpp,transactiontablemodel.cpp,3400,2904,638
transactionview.cpp,transactionview.cpp,2648,2380,608
walletmodel.cpp,walletmodel.cpp,2532,2100,639
test_main.cpp,test_main.cpp,76,76,76
uritests.cpp,uritests.cpp,672,528,172
Checkpoints_tests.cpp,Checkpoints_tests.cpp,23724,22372,5000
accounting_tests.cpp,accounting_tests.cpp,36,36,36
allocator_tests.cpp,allocator_tests.cpp,96,96,96
base32_tests.cpp,base32_tests.cpp,8,8,8
base58_tests.cpp,base58_tests.cpp,28,28,28
base64_tests.cpp,base64_tests.cpp,8,8,8
bignum_tests.cpp,bignum_tests.cpp,28,28,28
getarg_tests.cpp,getarg_tests.cpp,32,32,32
hmac_tests.cpp,hmac_tests.cpp,120,120,120
key_tests.cpp,key_tests.cpp,44,44,44
mruset_tests.cpp,mruset_tests.cpp,48,48,48
netbase_tests.cpp,netbase_tests.cpp,8,8,8
serialize_tests.cpp,serialize_tests.cpp,8,8,8
sigopcount_tests.cpp,sigopcount_tests.cpp,8,8,8
uint256_tests.cpp,uint256_tests.cpp,8,8,8
wallet_tests.cpp,wallet_tests.cpp,132,132,132
