crypter.cpp,crypter.cpp,29164,1468,150
db.cpp,db.cpp,24112,2500,504
net.cpp,net.cpp,42980,592,37
protocol.cpp,protocol.cpp,20336,260,26
rpcdump.cpp,rpcdump.cpp,43696,4756,95
rpcwallet.cpp,rpcwallet.cpp,46972,7092,96
script.cpp,script.cpp,42640,4312,640
wallet.cpp,wallet.cpp,49840,596,56
walletdb.cpp,walletdb.cpp,46132,1208,105
addressbookpage.cpp,addressbookpage.cpp,1752,1616,192
addresstablemodel.cpp,addresstablemodel.cpp,2048,2572,428
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1032,1344,323
bitcoin.cpp,bitcoin.cpp,2000,2196,74
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,60,76,29
bitcoinamountfield.cpp,bitcoinamountfield.cpp,672,728,42
bitcoingui.cpp,bitcoingui.cpp,6156,4728,144
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,940,932,395
clientmodel.cpp,clientmodel.cpp,1112,1576,116
coincontroldialog.cpp,coincontroldialog.cpp,2108,2864,171
coincontroltreewidget.cpp,coincontroltreewidget.cpp,268,356,97
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,608,576,342
guiutil.cpp,guiutil.cpp,760,1104,134
notificator.cpp,notificator.cpp,304,304,304
optionsdialog.cpp,optionsdialog.cpp,932,1268,44
optionsmodel.cpp,optionsmodel.cpp,624,884,124
overviewpage.cpp,overviewpage.cpp,1756,2476,134
paymentserver.cpp,paymentserver.cpp,384,3696,48
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,200,476,130
qvaluecombobox.cpp,qvaluecombobox.cpp,112,112,112
rpcconsole.cpp,rpcconsole.cpp,1560,3740,164
sendcoinsdialog.cpp,sendcoinsdialog.cpp,3164,4516,165
sendcoinsentry.cpp,sendcoinsentry.cpp,1692,29612,180
signverifymessagedialog.cpp,signverifymessagedialog.cpp,1668,1940,631
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1052,1184,430
transactiondesc.cpp,transactiondesc.cpp,780,2288,175
transactiondescdialog.cpp,transactiondescdialog.cpp,204,360,79
transactionfilterproxy.cpp,transactionfilterproxy.cpp,840,1092,171
transactionrecord.cpp,transactionrecord.cpp,688,608,203
transactiontablemodel.cpp,transactiontablemodel.cpp,3400,4204,239
transactionview.cpp,transactionview.cpp,2648,3716,274
walletmodel.cpp,walletmodel.cpp,2532,3948,164
test_main.cpp,test_main.cpp,76,164,49
uritests.cpp,uritests.cpp,672,32,13
cleanse.cpp,cleanse.cpp,1800,1800,1800
accounting_tests.cpp,accounting_tests.cpp,36,36,22
allocator_tests.cpp,allocator_tests.cpp,96,8,7
base32_tests.cpp,base32_tests.cpp,8,4,3
base58_tests.cpp,base58_tests.cpp,28,24,18
base64_tests.cpp,base64_tests.cpp,8,4,3
getarg_tests.cpp,getarg_tests.cpp,32,32,26
key_tests.cpp,key_tests.cpp,44,40,39
netbase_tests.cpp,netbase_tests.cpp,8,44,5
serialize_tests.cpp,serialize_tests.cpp,8,100,5
sigopcount_tests.cpp,sigopcount_tests.cpp,8,4,3
test_bitcoin.cpp,test_bitcoin.cpp,44,624,21
uint256_tests.cpp,uint256_tests.cpp,8,1600,5
wallet_tests.cpp,wallet_tests.cpp,132,160,62
gen.cpp,gen.cpp,3168,2588,1666
univalue.cpp,univalue.cpp,3132,2752,2508
univalue_read.cpp,univalue_read.cpp,4088,5556,2321
univalue_write.cpp,univalue_write.cpp,3872,3488,1417
unitester.cpp,unitester.cpp,4544,5284,4081
