crypter.cpp,crypter.cpp,29164,1804,145
db.cpp,db.cpp,24112,3580,504
miner.cpp,miner.cpp,43784,1280,53
protocol.cpp,protocol.cpp,20336,260,26
rpcdump.cpp,rpcdump.cpp,43696,6364,88
rpcwallet.cpp,rpcwallet.cpp,46972,4380,67
script.cpp,script.cpp,42640,3248,640
wallet.cpp,wallet.cpp,49840,356,56
walletdb.cpp,walletdb.cpp,46132,1532,140
addressbookpage.cpp,addressbookpage.cpp,1752,1480,192
addresstablemodel.cpp,addresstablemodel.cpp,2048,2788,308
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1032,1648,288
clientmodel.cpp,clientmodel.cpp,1112,1828,106
coincontroldialog.cpp,coincontroldialog.cpp,2108,3660,171
coincontroltreewidget.cpp,coincontroltreewidget.cpp,268,376,97
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,608,852,209
guiutil.cpp,guiutil.cpp,760,1336,161
notificator.cpp,notificator.cpp,304,312,269
optionsdialog.cpp,optionsdialog.cpp,932,1928,59
optionsmodel.cpp,optionsmodel.cpp,624,2420,92
overviewpage.cpp,overviewpage.cpp,1756,3100,161
paymentserver.cpp,paymentserver.cpp,384,4176,48
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,200,468,154
qvaluecombobox.cpp,qvaluecombobox.cpp,112,112,112
rpcconsole.cpp,rpcconsole.cpp,1560,3912,164
sendcoinsdialog.cpp,sendcoinsdialog.cpp,3164,6012,165
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1052,1240,374
transactiondesc.cpp,transactiondesc.cpp,780,2120,251
transactiondescdialog.cpp,transactiondescdialog.cpp,204,368,79
transactionfilterproxy.cpp,transactionfilterproxy.cpp,840,1588,171
transactionrecord.cpp,transactionrecord.cpp,688,632,158
transactiontablemodel.cpp,transactiontablemodel.cpp,3400,6428,228
transactionview.cpp,transactionview.cpp,2648,5168,274
walletmodel.cpp,walletmodel.cpp,2532,5640,177
test_main.cpp,test_main.cpp,76,192,23
uritests.cpp,uritests.cpp,672,32,13
cleanse.cpp,cleanse.cpp,1800,1800,1800
accounting_tests.cpp,accounting_tests.cpp,36,36,22
allocator_tests.cpp,allocator_tests.cpp,96,8,7
base32_tests.cpp,base32_tests.cpp,8,4,3
base58_tests.cpp,base58_tests.cpp,28,24,18
base64_tests.cpp,base64_tests.cpp,8,4,3
getarg_tests.cpp,getarg_tests.cpp,32,32,26
key_tests.cpp,key_tests.cpp,44,40,39
netbase_tests.cpp,netbase_tests.cpp,8,44,5
serialize_tests.cpp,serialize_tests.cpp,8,100,5
sigopcount_tests.cpp,sigopcount_tests.cpp,8,4,3
uint256_tests.cpp,uint256_tests.cpp,8,1600,5
wallet_tests.cpp,wallet_tests.cpp,132,216,55
gen.cpp,gen.cpp,3168,2588,1666
univalue.cpp,univalue.cpp,3132,2752,2508
univalue_read.cpp,univalue_read.cpp,4088,5332,2321
univalue_write.cpp,univalue_write.cpp,3872,3372,1417
unitester.cpp,unitester.cpp,4544,5284,4081
