crypter.cpp,crypter.cpp,29164,144,43
db.cpp,db.cpp,24112,552,510
init.cpp,init.cpp,46164,560,44
net.cpp,net.cpp,42980,612,37
protocol.cpp,protocol.cpp,20336,380,37
rpcdump.cpp,rpcdump.cpp,43696,2516,57
rpcwallet.cpp,rpcwallet.cpp,46972,6436,67
script.cpp,script.cpp,42640,16,12
scrypt.cpp,scrypt.cpp,28408,7860,3990
util.cpp,util.cpp,29716,196,32
wallet.cpp,wallet.cpp,49840,496,56
walletdb.cpp,walletdb.cpp,46132,1080,105
addressbookpage.cpp,addressbookpage.cpp,1752,4,3
addresstablemodel.cpp,addresstablemodel.cpp,2048,420,98
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1032,20,7
bitcoin.cpp,bitcoin.cpp,2000,596,35
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,60,4,3
bitcoinamountfield.cpp,bitcoinamountfield.cpp,672,192,36
bitcoingui.cpp,bitcoingui.cpp,6156,56,33
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,940,4,3
clientmodel.cpp,clientmodel.cpp,1112,200,33
coincontroldialog.cpp,coincontroldialog.cpp,2108,4,3
coincontroltreewidget.cpp,coincontroltreewidget.cpp,268,4,3
csvmodelwriter.cpp,csvmodelwriter.cpp,300,52,48
editaddressdialog.cpp,editaddressdialog.cpp,608,8,5
guiutil.cpp,guiutil.cpp,760,8,7
notificator.cpp,notificator.cpp,304,4,3
optionsdialog.cpp,optionsdialog.cpp,932,4,3
optionsmodel.cpp,optionsmodel.cpp,624,156,20
overviewpage.cpp,overviewpage.cpp,1756,8,7
paymentserver.cpp,paymentserver.cpp,384,148,31
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,200,4,3
qvaluecombobox.cpp,qvaluecombobox.cpp,112,4,3
rpcconsole.cpp,rpcconsole.cpp,1560,380,92
sendcoinsdialog.cpp,sendcoinsdialog.cpp,3164,60,14
sendcoinsentry.cpp,sendcoinsentry.cpp,1692,4,3
signverifymessagedialog.cpp,signverifymessagedialog.cpp,1668,4,3
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1052,4,3
transactiondesc.cpp,transactiondesc.cpp,780,4,3
transactiondescdialog.cpp,transactiondescdialog.cpp,204,4,3
transactionfilterproxy.cpp,transactionfilterproxy.cpp,840,4,3
transactionrecord.cpp,transactionrecord.cpp,688,4,3
transactiontablemodel.cpp,transactiontablemodel.cpp,3400,696,75
transactionview.cpp,transactionview.cpp,2648,4,3
walletmodel.cpp,walletmodel.cpp,2532,140,44
test_main.cpp,test_main.cpp,76,172,18
uritests.cpp,uritests.cpp,672,4,3
cleanse.cpp,cleanse.cpp,1800,28,14
accounting_tests.cpp,accounting_tests.cpp,36,36,30
allocator_tests.cpp,allocator_tests.cpp,96,8,7
base32_tests.cpp,base32_tests.cpp,8,4,3
base58_tests.cpp,base58_tests.cpp,28,8,7
base64_tests.cpp,base64_tests.cpp,8,4,3
getarg_tests.cpp,getarg_tests.cpp,32,32,26
key_tests.cpp,key_tests.cpp,44,40,39
netbase_tests.cpp,netbase_tests.cpp,8,60,5
serialize_tests.cpp,serialize_tests.cpp,8,100,5
sigopcount_tests.cpp,sigopcount_tests.cpp,8,4,3
test_bitcoin.cpp,test_bitcoin.cpp,44,44,10
uint256_tests.cpp,uint256_tests.cpp,8,1600,5
wallet_tests.cpp,wallet_tests.cpp,132,200,57
gen.cpp,gen.cpp,3168,2588,1666
univalue.cpp,univalue.cpp,3132,1836,1549
univalue_read.cpp,univalue_read.cpp,4088,5360,2321
univalue_write.cpp,univalue_write.cpp,3872,3372,1417
unitester.cpp,unitester.cpp,4544,5312,4081
