policy.cpp,policy.cpp,308,372,255
block.cpp,block.cpp,4,12,3
transaction.cpp,transaction.cpp,4,64,3
addressbookpage.cpp,addressbookpage.cpp,2968,1684,229
addresstablemodel.cpp,addresstablemodel.cpp,2592,2820,440
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1360,1528,375
bantablemodel.cpp,bantablemodel.cpp,924,908,459
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,76,76
bitcoinamountfield.cpp,bitcoinamountfield.cpp,720,716,559
bitcoingui.cpp,bitcoingui.cpp,5680,5764,1036
bitcoinunits.cpp,bitcoinunits.cpp,1224,1000,335
clientmodel.cpp,clientmodel.cpp,1736,1600,297
coincontroldialog.cpp,coincontroldialog.cpp,3000,31392,284
coincontroltreewidget.cpp,coincontroltreewidget.cpp,364,364,123
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,576,584,475
guiutil.cpp,guiutil.cpp,1136,1296,280
intro.cpp,intro.cpp,860,800,358
modaloverlay.cpp,modaloverlay.cpp,832,832,832
networkstyle.cpp,networkstyle.cpp,440,312,67
notificator.cpp,notificator.cpp,304,304,304
openuridialog.cpp,openuridialog.cpp,1064,1232,228
optionsdialog.cpp,optionsdialog.cpp,996,880,271
optionsmodel.cpp,optionsmodel.cpp,848,892,321
overviewpage.cpp,overviewpage.cpp,4068,2836,259
paymentrequestplus.cpp,paymentrequestplus.cpp,700,700,700
paymentserver.cpp,paymentserver.cpp,3512,3648,1874
peertablemodel.cpp,peertablemodel.cpp,1048,1032,567
platformstyle.cpp,platformstyle.cpp,496,496,496
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,476,476,476
qvaluecombobox.cpp,qvaluecombobox.cpp,112,112,112
receivecoinsdialog.cpp,receivecoinsdialog.cpp,3088,3164,337
receiverequestdialog.cpp,receiverequestdialog.cpp,1780,1904,351
recentrequeststablemodel.cpp,recentrequeststablemodel.cpp,2092,2224,587
rpcconsole.cpp,rpcconsole.cpp,4312,3844,541
sendcoinsdialog.cpp,sendcoinsdialog.cpp,4904,4664,512
sendcoinsentry.cpp,sendcoinsentry.cpp,2264,2400,499
signverifymessagedialog.cpp,signverifymessagedialog.cpp,1972,2128,553
splashscreen.cpp,splashscreen.cpp,728,784,294
trafficgraphdata.cpp,trafficgraphdata.cpp,1996,1956,899
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1560,1480,497
transactiondesc.cpp,transactiondesc.cpp,2028,2100,329
transactiondescdialog.cpp,transactiondescdialog.cpp,432,368,162
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1304,1100,267
transactionrecord.cpp,transactionrecord.cpp,676,564,169
transactiontablemodel.cpp,transactiontablemodel.cpp,4564,4360,693
transactionview.cpp,transactionview.cpp,4156,3872,393
utilitydialog.cpp,utilitydialog.cpp,2824,2784,1717
walletframe.cpp,walletframe.cpp,1844,3544,422
walletmodel.cpp,walletmodel.cpp,4104,33160,696
walletmodeltransaction.cpp,walletmodeltransaction.cpp,1064,1248,297
walletview.cpp,walletview.cpp,5472,6816,337
winshutdownmonitor.cpp,winshutdownmonitor.cpp,4,4,4
compattests.cpp,compattests.cpp,64,64,64
paymentservertests.cpp,paymentservertests.cpp,1480,1648,615
test_main.cpp,test_main.cpp,220,172,105
trafficgraphdatatests.cpp,trafficgraphdatatests.cpp,1340,1204,1035
uritests.cpp,uritests.cpp,32,32,32
blockchain.cpp,blockchain.cpp,2572,1604,261
client.cpp,client.cpp,176,144,114
mining.cpp,mining.cpp,1244,1428,178
misc.cpp,misc.cpp,1356,1328,529
net.cpp,net.cpp,556,528,458
protocol.cpp,protocol.cpp,260,260,260
rawtransaction.cpp,rawtransaction.cpp,1412,1144,179
server.cpp,server.cpp,740,552,228
interpreter.cpp,interpreter.cpp,2232,2312,706
ismine.cpp,ismine.cpp,188,188,188
script.cpp,script.cpp,2992,3272,1092
script_error.cpp,script_error.cpp,680,860,648
sigcache.cpp,sigcache.cpp,168,176,52
sign.cpp,sign.cpp,500,460,276
standard.cpp,standard.cpp,440,564,368
cleanse.cpp,cleanse.cpp,1800,1800,1800
DoS_tests.cpp,DoS_tests.cpp,64,60,59
addrman_tests.cpp,addrman_tests.cpp,124,76,75
allocator_tests.cpp,allocator_tests.cpp,8,96,5
amount_tests.cpp,amount_tests.cpp,4,4,4
arith_uint256_tests.cpp,arith_uint256_tests.cpp,844,844,844
base32_tests.cpp,base32_tests.cpp,4,4,4
base58_tests.cpp,base58_tests.cpp,24,24,24
base64_tests.cpp,base64_tests.cpp,4,4,4
bip32_tests.cpp,bip32_tests.cpp,112,108,81
blockencodings_tests.cpp,blockencodings_tests.cpp,124,124,124
bloom_tests.cpp,bloom_tests.cpp,4,4,4
bswap_tests.cpp,bswap_tests.cpp,4,4,4
coins_tests.cpp,coins_tests.cpp,664,24,20
compress_tests.cpp,compress_tests.cpp,52,52,52
crypto_tests.cpp,crypto_tests.cpp,8,8,8
crypto_tests.cpp,crypto_tests.cpp,8,452,5
dbwrapper_tests.cpp,dbwrapper_tests.cpp,40,40,40
getarg_tests.cpp,getarg_tests.cpp,32,32,32
hash_tests.cpp,hash_tests.cpp,8,8,8
key_tests.cpp,key_tests.cpp,40,40,40
limitedmap_tests.cpp,limitedmap_tests.cpp,4,4,4
main_tests.cpp,main_tests.cpp,44,124,11
mempool_tests.cpp,mempool_tests.cpp,4,4,4
merkle_tests.cpp,merkle_tests.cpp,364,364,364
miner_tests.cpp,miner_tests.cpp,1624,1504,1468
multisig_tests.cpp,multisig_tests.cpp,4,4,4
net_tests.cpp,net_tests.cpp,164,156,54
netbase_tests.cpp,netbase_tests.cpp,44,4,3
pmt_tests.cpp,pmt_tests.cpp,36,36,36
policyestimator_tests.cpp,policyestimator_tests.cpp,4,4,4
pow_tests.cpp,pow_tests.cpp,4,4,4
prevector_tests.cpp,prevector_tests.cpp,8,8,8
reverselock_tests.cpp,reverselock_tests.cpp,4,4,4
rpc_tests.cpp,rpc_tests.cpp,72,88,55
sanity_tests.cpp,sanity_tests.cpp,4,4,4
scheduler_tests.cpp,scheduler_tests.cpp,100,100,100
script_P2SH_tests.cpp,script_P2SH_tests.cpp,44,44,44
script_tests.cpp,script_tests.cpp,88,88,88
scriptnum_tests.cpp,scriptnum_tests.cpp,1216,1044,566
serialize_tests.cpp,serialize_tests.cpp,108,4,3
sighash_tests.cpp,sighash_tests.cpp,260,260,153
sigopcount_tests.cpp,sigopcount_tests.cpp,4,4,4
