merkle.cpp,merkle.cpp,560,560,560
hmac_sha256.cpp,hmac_sha256.cpp,908,908,908
hmac_sha512.cpp,hmac_sha512.cpp,908,908,908
ripemd160.cpp,ripemd160.cpp,908,908,908
sha1.cpp,sha1.cpp,908,908,908
sha256.cpp,sha256.cpp,908,908,908
sha512.cpp,sha512.cpp,908,908,908
fees.cpp,fees.cpp,4,4,4
policy.cpp,policy.cpp,308,300,299
block.cpp,block.cpp,4,4,4
transaction.cpp,transaction.cpp,4,4,4
addressbookpage.cpp,addressbookpage.cpp,2968,1616,436
addresstablemodel.cpp,addresstablemodel.cpp,2592,2520,1539
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1360,1256,249
bantablemodel.cpp,bantablemodel.cpp,924,932,211
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,76,76
bitcoinamountfield.cpp,bitcoinamountfield.cpp,720,720,720
bitcoingui.cpp,bitcoingui.cpp,5680,4912,409
bitcoinunits.cpp,bitcoinunits.cpp,1224,1224,1224
clientmodel.cpp,clientmodel.cpp,1736,1368,168
coincontroldialog.cpp,coincontroldialog.cpp,3000,3156,547
coincontroltreewidget.cpp,coincontroltreewidget.cpp,364,484,183
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,576,576,576
guiutil.cpp,guiutil.cpp,1136,1060,385
intro.cpp,intro.cpp,860,796,358
masternodelist.cpp,masternodelist.cpp,41408,2508,249
networkstyle.cpp,networkstyle.cpp,440,428,409
notificator.cpp,notificator.cpp,304,304,304
openuridialog.cpp,openuridialog.cpp,1064,992,249
optionsdialog.cpp,optionsdialog.cpp,996,888,307
optionsmodel.cpp,optionsmodel.cpp,848,760,296
overviewpage.cpp,overviewpage.cpp,4068,3924,706
paymentrequestplus.cpp,paymentrequestplus.cpp,700,692,572
paymentserver.cpp,paymentserver.cpp,3512,3432,1782
peertablemodel.cpp,peertablemodel.cpp,1048,1052,203
platformstyle.cpp,platformstyle.cpp,496,496,496
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,476,476,476
qvaluecombobox.cpp,qvaluecombobox.cpp,112,112,112
receivecoinsdialog.cpp,receivecoinsdialog.cpp,3088,3052,554
receiverequestdialog.cpp,receiverequestdialog.cpp,1780,1672,375
recentrequeststablemodel.cpp,recentrequeststablemodel.cpp,2092,2012,535
rpcconsole.cpp,rpcconsole.cpp,4312,3344,499
sendcoinsdialog.cpp,sendcoinsdialog.cpp,4904,4792,895
sendcoinsentry.cpp,sendcoinsentry.cpp,2264,2320,483
signverifymessagedialog.cpp,signverifymessagedialog.cpp,1972,1896,711
splashscreen.cpp,splashscreen.cpp,728,588,125
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1560,1172,295
transactiondesc.cpp,transactiondesc.cpp,2028,1856,337
transactiondescdialog.cpp,transactiondescdialog.cpp,432,404,267
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1304,1108,286
transactionrecord.cpp,transactionrecord.cpp,676,604,210
transactiontablemodel.cpp,transactiontablemodel.cpp,4564,4148,697
transactionview.cpp,transactionview.cpp,4156,3812,583
utilitydialog.cpp,utilitydialog.cpp,2824,2732,1954
walletframe.cpp,walletframe.cpp,1844,1792,698
walletmodel.cpp,walletmodel.cpp,4104,4048,607
walletmodeltransaction.cpp,walletmodeltransaction.cpp,1064,1008,297
walletview.cpp,walletview.cpp,5472,4932,640
winshutdownmonitor.cpp,winshutdownmonitor.cpp,4,4,4
paymentservertests.cpp,paymentservertests.cpp,1480,1420,323
test_main.cpp,test_main.cpp,220,84,49
uritests.cpp,uritests.cpp,32,32,32
protocol.cpp,protocol.cpp,260,13876,26
interpreter.cpp,interpreter.cpp,2232,2316,706
script.cpp,script.cpp,2992,3104,1092
script_error.cpp,script_error.cpp,680,660,628
sigcache.cpp,sigcache.cpp,168,176,52
sign.cpp,sign.cpp,500,468,392
standard.cpp,standard.cpp,440,600,403
cleanse.cpp,cleanse.cpp,1800,1800,1800
DoS_tests.cpp,DoS_tests.cpp,64,60,59
addrman_tests.cpp,addrman_tests.cpp,124,8,6
alert_tests.cpp,alert_tests.cpp,176,80,74
allocator_tests.cpp,allocator_tests.cpp,8,96,5
arith_uint256_tests.cpp,arith_uint256_tests.cpp,844,844,844
base32_tests.cpp,base32_tests.cpp,4,4,4
base58_tests.cpp,base58_tests.cpp,24,928,21
base64_tests.cpp,base64_tests.cpp,4,4,4
bip32_tests.cpp,bip32_tests.cpp,112,108,81
bloom_tests.cpp,bloom_tests.cpp,4,44,3
cachemap_tests.cpp,cachemap_tests.cpp,92,92,92
cachemultimap_tests.cpp,cachemultimap_tests.cpp,168,168,168
coins_tests.cpp,coins_tests.cpp,664,24,20
compress_tests.cpp,compress_tests.cpp,52,52,52
crypto_tests.cpp,crypto_tests.cpp,8,8,8
dbwrapper_tests.cpp,dbwrapper_tests.cpp,40,40,40
getarg_tests.cpp,getarg_tests.cpp,32,32,32
hash_tests.cpp,hash_tests.cpp,8,4,3
key_tests.cpp,key_tests.cpp,40,40,40
limitedmap_tests.cpp,limitedmap_tests.cpp,4,4,4
main_tests.cpp,main_tests.cpp,44,36,11
mempool_tests.cpp,mempool_tests.cpp,4,4,4
merkle_tests.cpp,merkle_tests.cpp,364,364,364
miner_tests.cpp,miner_tests.cpp,1624,52,36
multisig_tests.cpp,multisig_tests.cpp,4,4,4
netbase_tests.cpp,netbase_tests.cpp,44,4,3
pmt_tests.cpp,pmt_tests.cpp,36,36,36
policyestimator_tests.cpp,policyestimator_tests.cpp,4,4,4
pow_tests.cpp,pow_tests.cpp,4,4,4
prevector_tests.cpp,prevector_tests.cpp,8,8,8
ratecheck_tests.cpp,ratecheck_tests.cpp,4,4,4
reverselock_tests.cpp,reverselock_tests.cpp,4,4,4
rpc_tests.cpp,rpc_tests.cpp,72,88,55
sanity_tests.cpp,sanity_tests.cpp,4,4,4
scheduler_tests.cpp,scheduler_tests.cpp,100,100,100
script_P2PKH_tests.cpp,script_P2PKH_tests.cpp,4,4,4
script_P2SH_tests.cpp,script_P2SH_tests.cpp,44,44,44
script_tests.cpp,script_tests.cpp,88,92,85
scriptnum_tests.cpp,scriptnum_tests.cpp,1216,1044,566
serialize_tests.cpp,serialize_tests.cpp,108,4,3
sighash_tests.cpp,sighash_tests.cpp,260,260,260
sigopcount_tests.cpp,sigopcount_tests.cpp,4,4,4
skiplist_tests.cpp,skiplist_tests.cpp,4,4,4
streams_tests.cpp,streams_tests.cpp,4,4,4
timedata_tests.cpp,timedata_tests.cpp,4,4,4
transaction_tests.cpp,transaction_tests.cpp,120,112,61
txvalidationcache_tests.cpp,txvalidationcache_tests.cpp,112,112,112
uint256_tests.cpp,uint256_tests.cpp,1600,1600,1600
univalue_tests.cpp,univalue_tests.cpp,8,8,8
util_tests.cpp,util_tests.cpp,12,8,7
versionbits_tests.cpp,versionbits_tests.cpp,740,632,384
univalue.cpp,univalue.cpp,2752,2752,2752
univalue_read.cpp,univalue_read.cpp,5332,5332,5332
univalue_write.cpp,univalue_write.cpp,3372,3372,3372
unitester.cpp,unitester.cpp,5284,5284,5284
crypter.cpp,crypter.cpp,2508,1836,325
db.cpp,db.cpp,3000,2468,826
rpcdump.cpp,rpcdump.cpp,5824,3312,408
rpcwallet.cpp,rpcwallet.cpp,8088,8300,408
wallet.cpp,wallet.cpp,732,236,65
walletdb.cpp,walletdb.cpp,1212,1480,302
accounting_tests.cpp,accounting_tests.cpp,36,40,22
crypto_tests.cpp,crypto_tests.cpp,756,8,5
wallet_tests.cpp,wallet_tests.cpp,168,148,138
zmqabstractnotifier.cpp,zmqabstractnotifier.cpp,328,200,117
zmqnotificationinterface.cpp,zmqnotificationinterface.cpp,1032,628,209
zmqpublishnotifier.cpp,zmqpublishnotifier.cpp,1784,1056,273
