addressbookpage.cpp,addressbookpage.cpp,2968,1752,181
addresstablemodel.cpp,addresstablemodel.cpp,2592,2048,428
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1360,1032,323
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,60,29
bitcoinamountfield.cpp,bitcoinamountfield.cpp,720,672,42
bitcoingui.cpp,bitcoingui.cpp,5680,6156,144
bitcoinunits.cpp,bitcoinunits.cpp,1224,940,206
clientmodel.cpp,clientmodel.cpp,1736,1112,116
coincontroldialog.cpp,coincontroldialog.cpp,3000,2108,171
coincontroltreewidget.cpp,coincontroltreewidget.cpp,364,268,97
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,576,608,342
guiutil.cpp,guiutil.cpp,1136,760,93
notificator.cpp,notificator.cpp,304,304,304
optionsdialog.cpp,optionsdialog.cpp,996,932,59
optionsmodel.cpp,optionsmodel.cpp,848,624,124
overviewpage.cpp,overviewpage.cpp,4068,1756,93
paymentserver.cpp,paymentserver.cpp,3512,384,48
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,476,200,130
qvaluecombobox.cpp,qvaluecombobox.cpp,112,112,112
rpcconsole.cpp,rpcconsole.cpp,4312,1560,164
sendcoinsdialog.cpp,sendcoinsdialog.cpp,4904,3164,165
sendcoinsentry.cpp,sendcoinsentry.cpp,2264,1692,180
signverifymessagedialog.cpp,signverifymessagedialog.cpp,1972,1668,371
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1560,1052,271
transactiondesc.cpp,transactiondesc.cpp,2028,780,147
transactiondescdialog.cpp,transactiondescdialog.cpp,432,204,79
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1304,840,171
transactionrecord.cpp,transactionrecord.cpp,676,688,169
transactiontablemodel.cpp,transactiontablemodel.cpp,4564,3400,192
transactionview.cpp,transactionview.cpp,4156,2648,277
walletmodel.cpp,walletmodel.cpp,4104,2532,164
test_main.cpp,test_main.cpp,220,76,49
uritests.cpp,uritests.cpp,32,672,13
net.cpp,net.cpp,556,42980,37
protocol.cpp,protocol.cpp,260,20336,26
script.cpp,script.cpp,2992,42640,640
cleanse.cpp,cleanse.cpp,1800,1800,1800
allocator_tests.cpp,allocator_tests.cpp,8,96,7
base32_tests.cpp,base32_tests.cpp,4,8,3
base58_tests.cpp,base58_tests.cpp,24,28,18
base64_tests.cpp,base64_tests.cpp,4,8,3
getarg_tests.cpp,getarg_tests.cpp,32,32,26
key_tests.cpp,key_tests.cpp,40,44,39
netbase_tests.cpp,netbase_tests.cpp,44,8,5
serialize_tests.cpp,serialize_tests.cpp,108,8,5
sigopcount_tests.cpp,sigopcount_tests.cpp,4,8,3
uint256_tests.cpp,uint256_tests.cpp,1600,8,5
gen.cpp,gen.cpp,2588,3168,1666
univalue.cpp,univalue.cpp,2752,3132,2508
univalue_read.cpp,univalue_read.cpp,5332,4088,2321
univalue_write.cpp,univalue_write.cpp,3372,3872,1417
unitester.cpp,unitester.cpp,5284,4544,4081
crypter.cpp,crypter.cpp,2508,29164,150
db.cpp,db.cpp,3000,24112,504
rpcdump.cpp,rpcdump.cpp,5824,43696,95
rpcwallet.cpp,rpcwallet.cpp,8088,46972,96
wallet.cpp,wallet.cpp,732,49840,56
walletdb.cpp,walletdb.cpp,1212,46132,105
accounting_tests.cpp,accounting_tests.cpp,36,36,22
wallet_tests.cpp,wallet_tests.cpp,168,132,57
