block.cpp,block.cpp,4,52392,3
transaction.cpp,transaction.cpp,4,48700,3
addressbookpage.cpp,addressbookpage.cpp,2968,61624,100
addresstablemodel.cpp,addresstablemodel.cpp,2592,1912,428
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1360,53596,243
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,60,29
bitcoinamountfield.cpp,bitcoinamountfield.cpp,720,968,43
bitcoingui.cpp,bitcoingui.cpp,5680,70960,73
bitcoinunits.cpp,bitcoinunits.cpp,1224,1020,213
clientmodel.cpp,clientmodel.cpp,1736,1128,110
coincontroldialog.cpp,coincontroldialog.cpp,3000,56452,140
coincontroltreewidget.cpp,coincontroltreewidget.cpp,364,272,105
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,576,53160,303
guiutil.cpp,guiutil.cpp,1136,636,93
notificator.cpp,notificator.cpp,304,304,304
optionsdialog.cpp,optionsdialog.cpp,996,54772,72
optionsmodel.cpp,optionsmodel.cpp,848,580,124
overviewpage.cpp,overviewpage.cpp,4068,56924,93
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,476,192,130
qvaluecombobox.cpp,qvaluecombobox.cpp,112,104,81
rpcconsole.cpp,rpcconsole.cpp,4312,53232,68
sendcoinsdialog.cpp,sendcoinsdialog.cpp,4904,59084,134
sendcoinsentry.cpp,sendcoinsentry.cpp,2264,54432,181
signverifymessagedialog.cpp,signverifymessagedialog.cpp,1972,55424,127
transactiondesc.cpp,transactiondesc.cpp,2028,636,115
transactiondescdialog.cpp,transactiondescdialog.cpp,432,53736,58
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1304,884,171
transactionrecord.cpp,transactionrecord.cpp,676,724,169
transactiontablemodel.cpp,transactiontablemodel.cpp,4564,3184,168
transactionview.cpp,transactionview.cpp,4156,2676,252
walletmodel.cpp,walletmodel.cpp,4104,2340,190
test_main.cpp,test_main.cpp,220,76,49
uritests.cpp,uritests.cpp,32,548,13
net.cpp,net.cpp,556,56364,36
protocol.cpp,protocol.cpp,260,16044,26
script.cpp,script.cpp,2992,46216,906
allocator_tests.cpp,allocator_tests.cpp,8,428,5
base32_tests.cpp,base32_tests.cpp,4,36,3
base58_tests.cpp,base58_tests.cpp,24,408,15
base64_tests.cpp,base64_tests.cpp,4,36,3
bloom_tests.cpp,bloom_tests.cpp,4,380,3
compress_tests.cpp,compress_tests.cpp,52,60,43
getarg_tests.cpp,getarg_tests.cpp,32,72,23
hash_tests.cpp,hash_tests.cpp,8,20,5
key_tests.cpp,key_tests.cpp,40,156,23
netbase_tests.cpp,netbase_tests.cpp,44,136,19
pmt_tests.cpp,pmt_tests.cpp,36,544,29
rpc_tests.cpp,rpc_tests.cpp,72,12,9
script_tests.cpp,script_tests.cpp,88,456,24
serialize_tests.cpp,serialize_tests.cpp,108,128,7
sigopcount_tests.cpp,sigopcount_tests.cpp,4,120,3
transaction_tests.cpp,transaction_tests.cpp,120,84,22
uint256_tests.cpp,uint256_tests.cpp,1600,44,16
util_tests.cpp,util_tests.cpp,12,928,5
crypter.cpp,crypter.cpp,2508,20992,113
db.cpp,db.cpp,3000,43160,528
rpcdump.cpp,rpcdump.cpp,5824,48348,95
rpcwallet.cpp,rpcwallet.cpp,8088,52200,95
wallet.cpp,wallet.cpp,732,49704,56
walletdb.cpp,walletdb.cpp,1212,40616,105
accounting_tests.cpp,accounting_tests.cpp,36,200,19
wallet_tests.cpp,wallet_tests.cpp,168,532,57
