addressbookpage.cpp,addressbookpage.cpp,2968,1300,315
addresstablemodel.cpp,addresstablemodel.cpp,2592,2436,1227
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1360,1180,207
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,76,76
bitcoinamountfield.cpp,bitcoinamountfield.cpp,720,728,73
bitcoingui.cpp,bitcoingui.cpp,5680,3488,171
bitcoinunits.cpp,bitcoinunits.cpp,1224,1036,206
clientmodel.cpp,clientmodel.cpp,1736,1024,108
coincontroldialog.cpp,coincontroldialog.cpp,3000,2724,179
coincontroltreewidget.cpp,coincontroltreewidget.cpp,364,468,105
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,576,576,576
guiutil.cpp,guiutil.cpp,1136,952,93
intro.cpp,intro.cpp,860,756,245
notificator.cpp,notificator.cpp,304,312,251
openuridialog.cpp,openuridialog.cpp,1064,912,119
optionsdialog.cpp,optionsdialog.cpp,996,916,104
optionsmodel.cpp,optionsmodel.cpp,848,648,155
overviewpage.cpp,overviewpage.cpp,4068,2004,104
paymentrequestplus.cpp,paymentrequestplus.cpp,700,680,323
paymentserver.cpp,paymentserver.cpp,3512,2920,240
peertablemodel.cpp,peertablemodel.cpp,1048,996,126
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,476,400,276
qvaluecombobox.cpp,qvaluecombobox.cpp,112,112,112
receivecoinsdialog.cpp,receivecoinsdialog.cpp,3088,2584,578
receiverequestdialog.cpp,receiverequestdialog.cpp,1780,1544,359
recentrequeststablemodel.cpp,recentrequeststablemodel.cpp,2092,1808,266
rpcconsole.cpp,rpcconsole.cpp,4312,2092,164
sendcoinsdialog.cpp,sendcoinsdialog.cpp,4904,3524,290
sendcoinsentry.cpp,sendcoinsentry.cpp,2264,1884,282
signverifymessagedialog.cpp,signverifymessagedialog.cpp,1972,1664,371
splashscreen.cpp,splashscreen.cpp,728,340,117
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1560,1080,271
transactiondesc.cpp,transactiondesc.cpp,2028,8004,165
transactiondescdialog.cpp,transactiondescdialog.cpp,432,196,77
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1304,808,171
transactionrecord.cpp,transactionrecord.cpp,676,624,169
transactiontablemodel.cpp,transactiontablemodel.cpp,4564,3284,180
transactionview.cpp,transactionview.cpp,4156,2892,274
utilitydialog.cpp,utilitydialog.cpp,2824,752,69
walletframe.cpp,walletframe.cpp,1844,1340,342
walletmodel.cpp,walletmodel.cpp,4104,9280,198
walletmodeltransaction.cpp,walletmodeltransaction.cpp,1064,896,106
walletview.cpp,walletview.cpp,5472,3636,290
winshutdownmonitor.cpp,winshutdownmonitor.cpp,4,4,4
paymentservertests.cpp,paymentservertests.cpp,1480,1212,182
test_main.cpp,test_main.cpp,220,84,49
uritests.cpp,uritests.cpp,32,32,32
net.cpp,net.cpp,556,42712,37
protocol.cpp,protocol.cpp,260,20640,32
script.cpp,script.cpp,2992,36756,906
DoS_tests.cpp,DoS_tests.cpp,64,60,33
alert_tests.cpp,alert_tests.cpp,176,76,73
allocator_tests.cpp,allocator_tests.cpp,8,96,7
base32_tests.cpp,base32_tests.cpp,4,8,3
base58_tests.cpp,base58_tests.cpp,24,28,18
base64_tests.cpp,base64_tests.cpp,4,8,3
bip32_tests.cpp,bip32_tests.cpp,112,112,81
bloom_tests.cpp,bloom_tests.cpp,4,8,3
compress_tests.cpp,compress_tests.cpp,52,52,46
getarg_tests.cpp,getarg_tests.cpp,32,32,26
hash_tests.cpp,hash_tests.cpp,8,8,8
key_tests.cpp,key_tests.cpp,40,44,39
main_tests.cpp,main_tests.cpp,44,8,5
miner_tests.cpp,miner_tests.cpp,1624,1364,1335
multisig_tests.cpp,multisig_tests.cpp,4,12,3
netbase_tests.cpp,netbase_tests.cpp,44,8,5
pmt_tests.cpp,pmt_tests.cpp,36,48,32
rpc_tests.cpp,rpc_tests.cpp,72,92,54
script_P2SH_tests.cpp,script_P2SH_tests.cpp,44,48,33
script_tests.cpp,script_tests.cpp,88,80,31
scriptnum_tests.cpp,scriptnum_tests.cpp,1216,532,121
serialize_tests.cpp,serialize_tests.cpp,108,8,5
sighash_tests.cpp,sighash_tests.cpp,260,276,175
sigopcount_tests.cpp,sigopcount_tests.cpp,4,8,3
transaction_tests.cpp,transaction_tests.cpp,120,16,9
uint256_tests.cpp,uint256_tests.cpp,1600,868,67
util_tests.cpp,util_tests.cpp,12,12,12
crypter.cpp,crypter.cpp,2508,21260,191
db.cpp,db.cpp,3000,24896,504
rpcdump.cpp,rpcdump.cpp,5824,51300,105
rpcwallet.cpp,rpcwallet.cpp,8088,54052,105
wallet.cpp,wallet.cpp,732,51560,66
walletdb.cpp,walletdb.cpp,1212,53128,124
accounting_tests.cpp,accounting_tests.cpp,36,40,22
wallet_tests.cpp,wallet_tests.cpp,168,136,72
