scrypt.cpp,scrypt.cpp,7860,29040,3990
wallet.cpp,wallet.cpp,4,50432,3
addressbookpage.cpp,addressbookpage.cpp,124,1672,20
addresstablemodel.cpp,addresstablemodel.cpp,420,1904,98
askpassphrasedialog.cpp,askpassphrasedialog.cpp,16,944,7
clientmodel.cpp,clientmodel.cpp,204,1080,33
coincontroldialog.cpp,coincontroldialog.cpp,4,2036,3
coincontroltreewidget.cpp,coincontroltreewidget.cpp,4,268,3
csvmodelwriter.cpp,csvmodelwriter.cpp,52,300,48
editaddressdialog.cpp,editaddressdialog.cpp,4,580,3
guiutil.cpp,guiutil.cpp,8,608,5
notificator.cpp,notificator.cpp,4,304,3
optionsdialog.cpp,optionsdialog.cpp,4,824,3
optionsmodel.cpp,optionsmodel.cpp,168,532,22
overviewpage.cpp,overviewpage.cpp,4,1628,3
paymentserver.cpp,paymentserver.cpp,148,384,31
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,4,200,3
qvaluecombobox.cpp,qvaluecombobox.cpp,4,112,3
rpcconsole.cpp,rpcconsole.cpp,396,1504,92
sendcoinsdialog.cpp,sendcoinsdialog.cpp,60,2796,13
sendcoinsentry.cpp,sendcoinsentry.cpp,4,1540,3
trafficgraphwidget.cpp,trafficgraphwidget.cpp,4,1056,3
transactiondesc.cpp,transactiondesc.cpp,4,740,3
transactiondescdialog.cpp,transactiondescdialog.cpp,4,224,3
transactionfilterproxy.cpp,transactionfilterproxy.cpp,4,828,3
transactionrecord.cpp,transactionrecord.cpp,4,612,3
transactiontablemodel.cpp,transactiontablemodel.cpp,648,2904,71
transactionview.cpp,transactionview.cpp,4,2380,3
walletmodel.cpp,walletmodel.cpp,140,2100,55
test_main.cpp,test_main.cpp,196,76,18
uritests.cpp,uritests.cpp,4,528,3
util.cpp,util.cpp,20,25744,16
net.cpp,net.cpp,616,44472,41
protocol.cpp,protocol.cpp,384,19412,41
util.cpp,util.cpp,308,25744,32
script.cpp,script.cpp,20,45228,16
allocator_tests.cpp,allocator_tests.cpp,8,96,7
base32_tests.cpp,base32_tests.cpp,4,8,3
base58_tests.cpp,base58_tests.cpp,8,28,7
base64_tests.cpp,base64_tests.cpp,4,8,3
getarg_tests.cpp,getarg_tests.cpp,52,32,19
key_tests.cpp,key_tests.cpp,40,44,39
netbase_tests.cpp,netbase_tests.cpp,60,8,5
serialize_tests.cpp,serialize_tests.cpp,92,8,5
sigopcount_tests.cpp,sigopcount_tests.cpp,4,8,3
uint256_tests.cpp,uint256_tests.cpp,1600,8,5
crypter.cpp,crypter.cpp,144,30228,43
db.cpp,db.cpp,580,22932,503
init.cpp,init.cpp,540,46908,36
rpcdump.cpp,rpcdump.cpp,472,46120,36
rpcwallet.cpp,rpcwallet.cpp,7704,49220,53
wallet.cpp,wallet.cpp,444,50432,62
walletdb.cpp,walletdb.cpp,88,47328,34
accounting_tests.cpp,accounting_tests.cpp,36,36,30
wallet_tests.cpp,wallet_tests.cpp,344,132,30
