torcontrol.cpp,torcontrol.cpp,24636,23104,4796
txdb.cpp,txdb.cpp,24636,25996,5238
txmempool.cpp,txmempool.cpp,32708,37928,4807
ui_interface.cpp,ui_interface.cpp,5524,5568,5008
uint256.cpp,uint256.cpp,3408,3328,1752
util.cpp,util.cpp,14080,14456,5002
utilmoneystr.cpp,utilmoneystr.cpp,5588,6180,1780
utilstrencodings.cpp,utilstrencodings.cpp,10468,10468,10468
utiltime.cpp,utiltime.cpp,280,236,160
validationinterface.cpp,validationinterface.cpp,320,316,73
versionbits.cpp,versionbits.cpp,4880,3456,764
Examples.cpp,Examples.cpp,4752,4752,4752
base58.cpp,base58.cpp,428,428,428
bench.cpp,bench.cpp,792,644,226
bench_bitcoin.cpp,bench_bitcoin.cpp,32,32,32
crypto_hash.cpp,crypto_hash.cpp,304,304,304
rollingbloom.cpp,rollingbloom.cpp,108,108,108
glibc_compat.cpp,glibc_compat.cpp,92,92,92
glibc_sanity.cpp,glibc_sanity.cpp,52,52,52
glibcxx_sanity.cpp,glibcxx_sanity.cpp,120,120,120
strnlen.cpp,strnlen.cpp,20,20,20
merkle.cpp,merkle.cpp,580,580,580
aes.cpp,aes.cpp,1800,1800,1800
hmac_sha256.cpp,hmac_sha256.cpp,908,908,908
hmac_sha512.cpp,hmac_sha512.cpp,908,908,908
ripemd160.cpp,ripemd160.cpp,908,908,908
scrypt-sse2.cpp,scrypt-sse2.cpp,3108,3108,3108
scrypt.cpp,scrypt.cpp,7708,7860,4541
sha1.cpp,sha1.cpp,908,908,908
sha256.cpp,sha256.cpp,908,908,908
sha512.cpp,sha512.cpp,908,908,908
fees.cpp,fees.cpp,4,4,4
policy.cpp,policy.cpp,392,384,369
rbf.cpp,rbf.cpp,80,80,80
block.cpp,block.cpp,12,12,12
transaction.cpp,transaction.cpp,12,12,12
addressbookpage.cpp,addressbookpage.cpp,1588,1560,927
addresstablemodel.cpp,addresstablemodel.cpp,2528,2500,1623
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1300,1272,501
bantablemodel.cpp,bantablemodel.cpp,884,848,276
bitcoin.cpp,bitcoin.cpp,3008,2036,766
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,76,76
bitcoinamountfield.cpp,bitcoinamountfield.cpp,708,708,708
bitcoingui.cpp,bitcoingui.cpp,5600,4388,763
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,1068,932,505
clientmodel.cpp,clientmodel.cpp,1576,1276,502
coincontroldialog.cpp,coincontroldialog.cpp,2836,2892,1120
coincontroltreewidget.cpp,coincontroltreewidget.cpp,356,364,179
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,576,576,576
guiutil.cpp,guiutil.cpp,1060,1032,601
intro.cpp,intro.cpp,832,800,445
networkstyle.cpp,networkstyle.cpp,312,312,312
notificator.cpp,notificator.cpp,304,304,304
openuridialog.cpp,openuridialog.cpp,1004,976,437
optionsdialog.cpp,optionsdialog.cpp,908,864,761
optionsmodel.cpp,optionsmodel.cpp,884,884,884
overviewpage.cpp,overviewpage.cpp,2428,2332,1128
paymentrequestplus.cpp,paymentrequestplus.cpp,700,700,700
paymentserver.cpp,paymentserver.cpp,3416,3384,1704
peertablemodel.cpp,peertablemodel.cpp,1008,960,359
platformstyle.cpp,platformstyle.cpp,496,496,496
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,476,476,476
qvaluecombobox.cpp,qvaluecombobox.cpp,112,112,112
receivecoinsdialog.cpp,receivecoinsdialog.cpp,2956,2864,1148
receiverequestdialog.cpp,receiverequestdialog.cpp,1668,1640,955
recentrequeststablemodel.cpp,recentrequeststablemodel.cpp,1988,1960,1275
rpcconsole.cpp,rpcconsole.cpp,3740,3300,499
sendcoinsdialog.cpp,sendcoinsdialog.cpp,4468,4424,928
sendcoinsentry.cpp,sendcoinsentry.cpp,2160,2132,1447
signverifymessagedialog.cpp,signverifymessagedialog.cpp,1896,1868,787
splashscreen.cpp,splashscreen.cpp,696,684,619
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1184,1140,823
transactiondesc.cpp,transactiondesc.cpp,1748,1720,863
transactiondescdialog.cpp,transactiondescdialog.cpp,360,360,360
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1092,1092,1092
transactionrecord.cpp,transactionrecord.cpp,564,564,564
transactiontablemodel.cpp,transactiontablemodel.cpp,4072,4044,2259
transactionview.cpp,transactionview.cpp,3552,3524,1913
utilitydialog.cpp,utilitydialog.cpp,4560,2608,1642
walletframe.cpp,walletframe.cpp,1544,1436,648
walletmodel.cpp,walletmodel.cpp,3364,3528,1702
walletmodeltransaction.cpp,walletmodeltransaction.cpp,1020,992,395
walletview.cpp,walletview.cpp,4640,4344,700
winshutdownmonitor.cpp,winshutdownmonitor.cpp,4,4,4
compattests.cpp,compattests.cpp,64,64,64
paymentservertests.cpp,paymentservertests.cpp,1420,1392,707
test_main.cpp,test_main.cpp,164,116,77
uritests.cpp,uritests.cpp,32,32,32
blockchain.cpp,blockchain.cpp,2144,1568,693
client.cpp,client.cpp,176,144,114
mining.cpp,mining.cpp,1908,1584,454
misc.cpp,misc.cpp,436,412,346
net.cpp,net.cpp,548,41196,40
net.cpp,net.cpp,548,496,224
protocol.cpp,protocol.cpp,260,13068,26
protocol.cpp,protocol.cpp,260,260,260
rawtransaction.cpp,rawtransaction.cpp,1060,964,633
server.cpp,server.cpp,680,548,332
bitcoinconsensus.cpp,bitcoinconsensus.cpp,488,400,275
interpreter.cpp,interpreter.cpp,3504,3504,3504
ismine.cpp,ismine.cpp,332,332,332
script.cpp,script.cpp,3092,3096,1642
script_error.cpp,script_error.cpp,860,860,860
sigcache.cpp,sigcache.cpp,168,180,63
sign.cpp,sign.cpp,612,636,389
standard.cpp,standard.cpp,596,608,595
cleanse.cpp,cleanse.cpp,1800,1800,1800
DoS_tests.cpp,DoS_tests.cpp,64,60,59
addrman_tests.cpp,addrman_tests.cpp,124,76,75
allocator_tests.cpp,allocator_tests.cpp,8,96,5
amount_tests.cpp,amount_tests.cpp,4,4,4
