txmempool.cpp,txmempool.cpp,32708,28964,1407
util.cpp,util.cpp,14080,27140,1116
scrypt.cpp,scrypt.cpp,7708,25388,3990
block.cpp,block.cpp,12,52392,8
transaction.cpp,transaction.cpp,12,48700,8
addressbookpage.cpp,addressbookpage.cpp,1588,61624,92
addresstablemodel.cpp,addresstablemodel.cpp,2528,1912,428
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1300,53596,243
bitcoin.cpp,bitcoin.cpp,3008,60552,173
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,60,29
bitcoinamountfield.cpp,bitcoinamountfield.cpp,708,968,43
bitcoingui.cpp,bitcoingui.cpp,5600,70960,173
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,1068,1020,206
clientmodel.cpp,clientmodel.cpp,1576,1128,110
coincontroldialog.cpp,coincontroldialog.cpp,2836,56452,173
coincontroltreewidget.cpp,coincontroltreewidget.cpp,356,272,105
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,576,53160,303
guiutil.cpp,guiutil.cpp,1060,636,181
notificator.cpp,notificator.cpp,304,304,304
optionsdialog.cpp,optionsdialog.cpp,908,54772,72
optionsmodel.cpp,optionsmodel.cpp,884,580,124
overviewpage.cpp,overviewpage.cpp,2428,56924,173
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,476,192,130
qvaluecombobox.cpp,qvaluecombobox.cpp,112,104,81
rpcconsole.cpp,rpcconsole.cpp,3740,53232,60
sendcoinsdialog.cpp,sendcoinsdialog.cpp,4468,59084,173
sendcoinsentry.cpp,sendcoinsentry.cpp,2160,54432,181
signverifymessagedialog.cpp,signverifymessagedialog.cpp,1896,55424,173
transactiondesc.cpp,transactiondesc.cpp,1748,636,115
transactiondescdialog.cpp,transactiondescdialog.cpp,360,53736,54
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1092,884,171
transactionrecord.cpp,transactionrecord.cpp,564,724,190
transactiontablemodel.cpp,transactiontablemodel.cpp,4072,3184,248
transactionview.cpp,transactionview.cpp,3552,2676,242
walletmodel.cpp,walletmodel.cpp,3364,2340,264
test_main.cpp,test_main.cpp,164,76,49
uritests.cpp,uritests.cpp,32,548,13
net.cpp,net.cpp,548,56364,36
protocol.cpp,protocol.cpp,260,16044,26
script.cpp,script.cpp,3092,46216,906
allocator_tests.cpp,allocator_tests.cpp,8,428,5
base32_tests.cpp,base32_tests.cpp,4,36,3
base58_tests.cpp,base58_tests.cpp,24,408,15
base64_tests.cpp,base64_tests.cpp,4,36,3
bloom_tests.cpp,bloom_tests.cpp,4,380,3
compress_tests.cpp,compress_tests.cpp,52,60,43
getarg_tests.cpp,getarg_tests.cpp,32,72,23
hash_tests.cpp,hash_tests.cpp,8,20,5
key_tests.cpp,key_tests.cpp,40,156,23
netbase_tests.cpp,netbase_tests.cpp,44,136,19
pmt_tests.cpp,pmt_tests.cpp,36,544,29
rpc_tests.cpp,rpc_tests.cpp,72,12,9
script_tests.cpp,script_tests.cpp,88,456,24
serialize_tests.cpp,serialize_tests.cpp,100,128,7
sigopcount_tests.cpp,sigopcount_tests.cpp,4,120,3
transaction_tests.cpp,transaction_tests.cpp,120,84,22
uint256_tests.cpp,uint256_tests.cpp,1600,44,16
util_tests.cpp,util_tests.cpp,12,928,5
crypter.cpp,crypter.cpp,1468,20992,113
db.cpp,db.cpp,2500,43160,528
rpcdump.cpp,rpcdump.cpp,4340,48348,95
rpcwallet.cpp,rpcwallet.cpp,6708,52200,95
wallet.cpp,wallet.cpp,272,49704,56
walletdb.cpp,walletdb.cpp,1208,40616,105
accounting_tests.cpp,accounting_tests.cpp,36,200,19
wallet_tests.cpp,wallet_tests.cpp,160,532,59
