torcontrol.cpp,torcontrol.cpp,24636,19860,4984
txdb.cpp,txdb.cpp,24636,29804,5234
txmempool.cpp,txmempool.cpp,32708,31300,4807
uint256.cpp,uint256.cpp,3408,4388,1475
util.cpp,util.cpp,14080,11392,4998
util.cpp,util.cpp,14080,32,16
utilmoneystr.cpp,utilmoneystr.cpp,5588,6208,1777
utilstrencodings.cpp,utilstrencodings.cpp,10468,10220,9005
utiltime.cpp,utiltime.cpp,280,160,43
validationinterface.cpp,validationinterface.cpp,320,312,69
versionbits.cpp,versionbits.cpp,4880,3428,657
glibc_compat.cpp,glibc_compat.cpp,92,92,92
glibc_sanity.cpp,glibc_sanity.cpp,52,52,52
glibcxx_sanity.cpp,glibcxx_sanity.cpp,120,120,120
strnlen.cpp,strnlen.cpp,20,20,20
hmac_sha256.cpp,hmac_sha256.cpp,908,908,908
hmac_sha512.cpp,hmac_sha512.cpp,908,908,908
ripemd160.cpp,ripemd160.cpp,908,908,908
sha1.cpp,sha1.cpp,908,908,908
sha256.cpp,sha256.cpp,908,908,908
sha512.cpp,sha512.cpp,908,908,908
fees.cpp,fees.cpp,4,4,4
block.cpp,block.cpp,12,4,3
transaction.cpp,transaction.cpp,12,68,5
blockchain.cpp,blockchain.cpp,2144,1548,152
client.cpp,client.cpp,176,144,114
mining.cpp,mining.cpp,1908,1120,148
misc.cpp,misc.cpp,436,456,222
net.cpp,net.cpp,548,472,129
protocol.cpp,protocol.cpp,260,10060,26
protocol.cpp,protocol.cpp,260,256,153
rawtransaction.cpp,rawtransaction.cpp,1060,916,236
server.cpp,server.cpp,680,508,332
interpreter.cpp,interpreter.cpp,3504,2384,340
script.cpp,script.cpp,3092,2732,992
script_error.cpp,script_error.cpp,860,700,668
sigcache.cpp,sigcache.cpp,168,128,45
sign.cpp,sign.cpp,612,500,77
standard.cpp,standard.cpp,596,664,306
cleanse.cpp,cleanse.cpp,1800,1800,1800
DoS_tests.cpp,DoS_tests.cpp,64,60,59
addrman_tests.cpp,addrman_tests.cpp,124,76,75
alert_tests.cpp,alert_tests.cpp,80,76,73
allocator_tests.cpp,allocator_tests.cpp,8,96,5
arith_uint256_tests.cpp,arith_uint256_tests.cpp,844,844,844
base32_tests.cpp,base32_tests.cpp,4,4,4
base58_tests.cpp,base58_tests.cpp,24,24,24
base64_tests.cpp,base64_tests.cpp,4,4,4
bip32_tests.cpp,bip32_tests.cpp,108,108,108
bloom_tests.cpp,bloom_tests.cpp,4,4,4
coins_tests.cpp,coins_tests.cpp,664,40,33
compress_tests.cpp,compress_tests.cpp,52,52,52
crypto_tests.cpp,crypto_tests.cpp,8,8,8
getarg_tests.cpp,getarg_tests.cpp,32,32,32
hash_tests.cpp,hash_tests.cpp,8,4,3
key_tests.cpp,key_tests.cpp,40,40,40
main_tests.cpp,main_tests.cpp,36,128,17
mempool_tests.cpp,mempool_tests.cpp,4,4,4
miner_tests.cpp,miner_tests.cpp,1380,1344,20
multisig_tests.cpp,multisig_tests.cpp,4,4,4
netbase_tests.cpp,netbase_tests.cpp,44,4,3
pmt_tests.cpp,pmt_tests.cpp,36,36,36
policyestimator_tests.cpp,policyestimator_tests.cpp,4,4,4
pow_tests.cpp,pow_tests.cpp,4,4,4
raii_event_tests.cpp,raii_event_tests.cpp,4,4,4
reverselock_tests.cpp,reverselock_tests.cpp,4,4,4
rpc_tests.cpp,rpc_tests.cpp,72,88,55
sanity_tests.cpp,sanity_tests.cpp,4,4,4
scheduler_tests.cpp,scheduler_tests.cpp,100,100,100
script_P2SH_tests.cpp,script_P2SH_tests.cpp,44,44,44
script_tests.cpp,script_tests.cpp,88,48,47
scriptnum_tests.cpp,scriptnum_tests.cpp,1216,1792,122
serialize_tests.cpp,serialize_tests.cpp,100,4,3
sighash_tests.cpp,sighash_tests.cpp,260,444,106
sigopcount_tests.cpp,sigopcount_tests.cpp,4,4,4
skiplist_tests.cpp,skiplist_tests.cpp,4,4,4
test_bitcoin.cpp,test_bitcoin.cpp,684,224,50
timedata_tests.cpp,timedata_tests.cpp,4,4,4
transaction_tests.cpp,transaction_tests.cpp,120,112,61
uint256_tests.cpp,uint256_tests.cpp,1600,1600,1600
univalue_tests.cpp,univalue_tests.cpp,8,8,8
util_tests.cpp,util_tests.cpp,12,8,7
gen.cpp,gen.cpp,2588,2588,2588
univalue.cpp,univalue.cpp,2752,2752,2752
univalue_read.cpp,univalue_read.cpp,5332,5352,3707
univalue_write.cpp,univalue_write.cpp,3372,3372,3372
unitester.cpp,unitester.cpp,5284,5308,4597
crypter.cpp,crypter.cpp,1468,1900,347
db.cpp,db.cpp,2500,2448,865
rpcdump.cpp,rpcdump.cpp,4340,3988,239
rpcwallet.cpp,rpcwallet.cpp,6708,8404,316
wallet.cpp,wallet.cpp,272,708,62
walletdb.cpp,walletdb.cpp,1208,1448,267
accounting_tests.cpp,accounting_tests.cpp,36,40,22
crypto_tests.cpp,crypto_tests.cpp,452,8,5
wallet_tests.cpp,wallet_tests.cpp,160,148,145
zmqabstractnotifier.cpp,zmqabstractnotifier.cpp,172,172,172
zmqnotificationinterface.cpp,zmqnotificationinterface.cpp,612,568,278
zmqpublishnotifier.cpp,zmqpublishnotifier.cpp,932,924,842
