addressbookpage.cpp,addressbookpage.cpp,1616,1672,181
addresstablemodel.cpp,addresstablemodel.cpp,2572,1904,428
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1344,944,323
bitcoin.cpp,bitcoin.cpp,2196,1768,76
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,60,29
bitcoinamountfield.cpp,bitcoinamountfield.cpp,728,664,43
bitcoingui.cpp,bitcoingui.cpp,4728,5220,144
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,932,1028,395
clientmodel.cpp,clientmodel.cpp,1576,1080,116
coincontroldialog.cpp,coincontroldialog.cpp,2864,2036,171
coincontroltreewidget.cpp,coincontroltreewidget.cpp,356,268,97
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,576,580,342
guiutil.cpp,guiutil.cpp,1104,608,154
notificator.cpp,notificator.cpp,304,304,304
optionsdialog.cpp,optionsdialog.cpp,1268,824,44
optionsmodel.cpp,optionsmodel.cpp,884,532,124
overviewpage.cpp,overviewpage.cpp,2476,1628,154
paymentserver.cpp,paymentserver.cpp,3696,384,48
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,476,200,130
qvaluecombobox.cpp,qvaluecombobox.cpp,112,112,112
rpcconsole.cpp,rpcconsole.cpp,3740,1504,164
sendcoinsdialog.cpp,sendcoinsdialog.cpp,4516,2796,165
sendcoinsentry.cpp,sendcoinsentry.cpp,29612,1540,180
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1184,1056,469
transactiondesc.cpp,transactiondesc.cpp,2288,740,212
transactiondescdialog.cpp,transactiondescdialog.cpp,360,224,77
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1092,828,234
transactionrecord.cpp,transactionrecord.cpp,608,612,338
transactiontablemodel.cpp,transactiontablemodel.cpp,4204,2904,213
transactionview.cpp,transactionview.cpp,3716,2380,309
walletmodel.cpp,walletmodel.cpp,3948,2100,164
test_main.cpp,test_main.cpp,164,76,49
uritests.cpp,uritests.cpp,32,528,13
net.cpp,net.cpp,592,44472,37
protocol.cpp,protocol.cpp,260,19412,31
script.cpp,script.cpp,4312,45228,906
allocator_tests.cpp,allocator_tests.cpp,8,96,7
base32_tests.cpp,base32_tests.cpp,4,8,3
base58_tests.cpp,base58_tests.cpp,24,28,18
base64_tests.cpp,base64_tests.cpp,4,8,3
getarg_tests.cpp,getarg_tests.cpp,32,32,26
key_tests.cpp,key_tests.cpp,40,44,39
netbase_tests.cpp,netbase_tests.cpp,44,8,5
serialize_tests.cpp,serialize_tests.cpp,100,8,5
sigopcount_tests.cpp,sigopcount_tests.cpp,4,8,3
uint256_tests.cpp,uint256_tests.cpp,1600,8,5
crypter.cpp,crypter.cpp,1468,30228,150
db.cpp,db.cpp,2500,22932,504
rpcdump.cpp,rpcdump.cpp,4756,46120,95
rpcwallet.cpp,rpcwallet.cpp,7092,49220,144
wallet.cpp,wallet.cpp,596,50432,62
walletdb.cpp,walletdb.cpp,1208,47328,105
accounting_tests.cpp,accounting_tests.cpp,36,36,22
wallet_tests.cpp,wallet_tests.cpp,160,132,62
