miner.cpp,miner.cpp,1280,46132,57
addressbookpage.cpp,addressbookpage.cpp,1480,1672,181
addresstablemodel.cpp,addresstablemodel.cpp,2788,1904,308
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1648,944,288
clientmodel.cpp,clientmodel.cpp,1828,1080,106
coincontroldialog.cpp,coincontroldialog.cpp,3660,2036,181
coincontroltreewidget.cpp,coincontroltreewidget.cpp,376,268,97
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,852,580,218
guiutil.cpp,guiutil.cpp,1336,608,181
notificator.cpp,notificator.cpp,312,304,269
optionsdialog.cpp,optionsdialog.cpp,1928,824,59
optionsmodel.cpp,optionsmodel.cpp,2420,532,92
overviewpage.cpp,overviewpage.cpp,3100,1628,181
paymentserver.cpp,paymentserver.cpp,4176,384,48
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,468,200,154
qvaluecombobox.cpp,qvaluecombobox.cpp,112,112,112
rpcconsole.cpp,rpcconsole.cpp,3912,1504,164
sendcoinsdialog.cpp,sendcoinsdialog.cpp,6012,2796,181
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1240,1056,374
transactiondesc.cpp,transactiondesc.cpp,2120,740,383
transactiondescdialog.cpp,transactiondescdialog.cpp,368,224,77
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1588,828,216
transactionrecord.cpp,transactionrecord.cpp,632,612,233
transactiontablemodel.cpp,transactiontablemodel.cpp,6428,2904,216
transactionview.cpp,transactionview.cpp,5168,2380,309
walletmodel.cpp,walletmodel.cpp,5640,2100,181
test_main.cpp,test_main.cpp,192,76,23
uritests.cpp,uritests.cpp,32,528,13
protocol.cpp,protocol.cpp,260,19412,31
script.cpp,script.cpp,3248,45228,906
allocator_tests.cpp,allocator_tests.cpp,8,96,7
base32_tests.cpp,base32_tests.cpp,4,8,3
base58_tests.cpp,base58_tests.cpp,24,28,18
base64_tests.cpp,base64_tests.cpp,4,8,3
getarg_tests.cpp,getarg_tests.cpp,32,32,26
key_tests.cpp,key_tests.cpp,40,44,39
netbase_tests.cpp,netbase_tests.cpp,44,8,5
serialize_tests.cpp,serialize_tests.cpp,100,8,5
sigopcount_tests.cpp,sigopcount_tests.cpp,4,8,3
uint256_tests.cpp,uint256_tests.cpp,1600,8,5
crypter.cpp,crypter.cpp,1804,30228,145
db.cpp,db.cpp,3580,22932,504
rpcdump.cpp,rpcdump.cpp,6364,46120,88
rpcwallet.cpp,rpcwallet.cpp,4380,49220,52
wallet.cpp,wallet.cpp,356,50432,62
walletdb.cpp,walletdb.cpp,1532,47328,140
accounting_tests.cpp,accounting_tests.cpp,36,36,22
wallet_tests.cpp,wallet_tests.cpp,216,132,55
