feerate.cpp,feerate.cpp,276,8,7
fees.cpp,fees.cpp,1696,1796,863
fees.cpp,fees.cpp,1696,192,27
policy.cpp,policy.cpp,504,540,186
rbf.cpp,rbf.cpp,108,88,85
block.cpp,block.cpp,12,4,3
transaction.cpp,transaction.cpp,12,4,3
addressbookpage.cpp,addressbookpage.cpp,1480,4,3
addresstablemodel.cpp,addresstablemodel.cpp,2788,420,195
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1648,20,13
bantablemodel.cpp,bantablemodel.cpp,976,56,35
clientmodel.cpp,clientmodel.cpp,1828,200,92
coincontroldialog.cpp,coincontroldialog.cpp,3660,4,3
coincontroltreewidget.cpp,coincontroltreewidget.cpp,376,4,3
csvmodelwriter.cpp,csvmodelwriter.cpp,300,52,48
editaddressdialog.cpp,editaddressdialog.cpp,852,8,5
guiutil.cpp,guiutil.cpp,1336,8,5
intro.cpp,intro.cpp,928,204,158
networkstyle.cpp,networkstyle.cpp,412,20,11
notificator.cpp,notificator.cpp,312,4,3
openuridialog.cpp,openuridialog.cpp,1276,4,3
optionsdialog.cpp,optionsdialog.cpp,1928,4,3
optionsmodel.cpp,optionsmodel.cpp,2420,156,29
overviewpage.cpp,overviewpage.cpp,3100,8,7
paymentrequestplus.cpp,paymentrequestplus.cpp,700,24,20
paymentserver.cpp,paymentserver.cpp,4176,148,73
peertablemodel.cpp,peertablemodel.cpp,1124,88,67
platformstyle.cpp,platformstyle.cpp,488,116,112
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,468,4,3
qvaluecombobox.cpp,qvaluecombobox.cpp,112,4,3
receiverequestdialog.cpp,receiverequestdialog.cpp,2180,4,3
recentrequeststablemodel.cpp,recentrequeststablemodel.cpp,2732,4,3
rpcconsole.cpp,rpcconsole.cpp,3912,380,92
sendcoinsdialog.cpp,sendcoinsdialog.cpp,6012,60,25
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1240,4,3
transactiondesc.cpp,transactiondesc.cpp,2120,4,3
transactiondescdialog.cpp,transactiondescdialog.cpp,368,4,3
transactionfilterproxy.cpp,transactionfilterproxy.cpp,1588,4,3
transactionrecord.cpp,transactionrecord.cpp,632,4,3
transactiontablemodel.cpp,transactiontablemodel.cpp,6428,696,224
transactionview.cpp,transactionview.cpp,5168,4,3
utilitydialog.cpp,utilitydialog.cpp,2772,1416,1412
walletframe.cpp,walletframe.cpp,840,4,3
walletmodel.cpp,walletmodel.cpp,5640,140,66
walletmodeltransaction.cpp,walletmodeltransaction.cpp,1212,4,3
walletview.cpp,walletview.cpp,4952,4,3
winshutdownmonitor.cpp,winshutdownmonitor.cpp,4,4,4
receivecoinsdialog.cpp,receivecoinsdialog.cpp,908,4,3
compattests.cpp,compattests.cpp,64,4,3
paymentservertests.cpp,paymentservertests.cpp,1644,32,26
rpcnestedtests.cpp,rpcnestedtests.cpp,136,28,24
test_main.cpp,test_main.cpp,192,172,32
uritests.cpp,uritests.cpp,32,4,3
wallettests.cpp,wallettests.cpp,24,4,3
blockchain.cpp,blockchain.cpp,2288,2592,1047
client.cpp,client.cpp,176,220,173
mining.cpp,mining.cpp,1292,1956,232
misc.cpp,misc.cpp,708,620,351
protocol.cpp,protocol.cpp,260,380,136
rawtransaction.cpp,rawtransaction.cpp,1084,1456,165
server.cpp,server.cpp,616,640,221
interpreter.cpp,interpreter.cpp,3164,1976,516
ismine.cpp,ismine.cpp,188,172,12
script.cpp,script.cpp,3248,16,12
script_error.cpp,script_error.cpp,748,28,15
sigcache.cpp,sigcache.cpp,184,28,24
sign.cpp,sign.cpp,1020,780,237
standard.cpp,standard.cpp,704,720,234
cleanse.cpp,cleanse.cpp,1800,28,14
lockedpool.cpp,lockedpool.cpp,2108,60,13
lockedpool.cpp,lockedpool.cpp,2108,2120,1906
DoS_tests.cpp,DoS_tests.cpp,64,76,63
addrman_tests.cpp,addrman_tests.cpp,124,148,108
allocator_tests.cpp,allocator_tests.cpp,8,8,8
amount_tests.cpp,amount_tests.cpp,4,4,4
arith_uint256_tests.cpp,arith_uint256_tests.cpp,844,844,844
base32_tests.cpp,base32_tests.cpp,4,4,4
base58_tests.cpp,base58_tests.cpp,24,8,7
base64_tests.cpp,base64_tests.cpp,4,4,4
bip32_tests.cpp,bip32_tests.cpp,112,112,112
blockencodings_tests.cpp,blockencodings_tests.cpp,124,124,85
bloom_tests.cpp,bloom_tests.cpp,4,4,4
bswap_tests.cpp,bswap_tests.cpp,4,4,4
checkqueue_tests.cpp,checkqueue_tests.cpp,448,452,435
coins_tests.cpp,coins_tests.cpp,664,664,664
compress_tests.cpp,compress_tests.cpp,52,52,52
crypto_tests.cpp,crypto_tests.cpp,8,8,8
crypto_tests.cpp,crypto_tests.cpp,8,112,5
cuckoocache_tests.cpp,cuckoocache_tests.cpp,56,56,56
dbwrapper_tests.cpp,dbwrapper_tests.cpp,40,40,40
getarg_tests.cpp,getarg_tests.cpp,32,32,32
hash_tests.cpp,hash_tests.cpp,8,8,8
key_tests.cpp,key_tests.cpp,40,40,40
limitedmap_tests.cpp,limitedmap_tests.cpp,4,4,4
main_tests.cpp,main_tests.cpp,4,164,3
mempool_tests.cpp,mempool_tests.cpp,4,4,4
merkle_tests.cpp,merkle_tests.cpp,364,364,364
miner_tests.cpp,miner_tests.cpp,1528,1552,1420
multisig_tests.cpp,multisig_tests.cpp,4,4,4
net_tests.cpp,net_tests.cpp,156,164,91
netbase_tests.cpp,netbase_tests.cpp,44,60,41
pmt_tests.cpp,pmt_tests.cpp,36,36,36
policyestimator_tests.cpp,policyestimator_tests.cpp,4,4,4
pow_tests.cpp,pow_tests.cpp,4,4,4
prevector_tests.cpp,prevector_tests.cpp,8,8,8
raii_event_tests.cpp,raii_event_tests.cpp,4,4,4
random_tests.cpp,random_tests.cpp,4,4,4
reverselock_tests.cpp,reverselock_tests.cpp,4,4,4
rpc_tests.cpp,rpc_tests.cpp,72,72,72
sanity_tests.cpp,sanity_tests.cpp,4,4,4
scheduler_tests.cpp,scheduler_tests.cpp,100,100,100
script_P2SH_tests.cpp,script_P2SH_tests.cpp,44,44,30
script_tests.cpp,script_tests.cpp,220,88,87
scriptnum_tests.cpp,scriptnum_tests.cpp,1216,700,256
serialize_tests.cpp,serialize_tests.cpp,100,100,100
sighash_tests.cpp,sighash_tests.cpp,8,260,7
sigopcount_tests.cpp,sigopcount_tests.cpp,4,4,4
skiplist_tests.cpp,skiplist_tests.cpp,4,4,4
streams_tests.cpp,streams_tests.cpp,4,4,4
timedata_tests.cpp,timedata_tests.cpp,4,4,4
torcontrol_tests.cpp,torcontrol_tests.cpp,84,84,84
transaction_tests.cpp,transaction_tests.cpp,128,128,128
txvalidationcache_tests.cpp,txvalidationcache_tests.cpp,120,472,78
uint256_tests.cpp,uint256_tests.cpp,1600,1600,1600
util_tests.cpp,util_tests.cpp,12,1180,8
versionbits_tests.cpp,versionbits_tests.cpp,724,760,584
gen.cpp,gen.cpp,2588,2588,2588
univalue.cpp,univalue.cpp,2752,1836,1770
univalue_read.cpp,univalue_read.cpp,5332,5360,3707
univalue_write.cpp,univalue_write.cpp,3372,3372,3372
unitester.cpp,unitester.cpp,5284,5312,4597
zmqabstractnotifier.cpp,zmqabstractnotifier.cpp,208,4,3
zmqnotificationinterface.cpp,zmqnotificationinterface.cpp,740,16,12
zmqpublishnotifier.cpp,zmqpublishnotifier.cpp,1008,220,124
crypter.cpp,crypter.cpp,1804,144,58
db.cpp,db.cpp,3580,552,523
feebumper.cpp,feebumper.cpp,68,108,26
rpcdump.cpp,rpcdump.cpp,6364,2516,238
rpcwallet.cpp,rpcwallet.cpp,4380,6436,335
wallet.cpp,wallet.cpp,356,496,107
walletdb.cpp,walletdb.cpp,1532,1080,309
accounting_tests.cpp,accounting_tests.cpp,36,36,22
crypto_tests.cpp,crypto_tests.cpp,452,8,5
crypto_tests.cpp,crypto_tests.cpp,452,112,44
wallet_test_fixture.cpp,wallet_test_fixture.cpp,8,4,3
wallet_tests.cpp,wallet_tests.cpp,216,200,110
