crypter.cpp,crypter.cpp,9920,1836,418
db.cpp,db.cpp,39024,2468,508
main.cpp,main.cpp,57072,5096,1407
protocol.cpp,protocol.cpp,15880,13876,1340
rpcdump.cpp,rpcdump.cpp,37952,3312,85
script.cpp,script.cpp,40268,3104,912
util.cpp,util.cpp,25444,17312,1589
wallet.cpp,wallet.cpp,45624,236,56
walletdb.cpp,walletdb.cpp,41024,1480,57
addressbookpage.cpp,addressbookpage.cpp,1352,1616,161
addresstablemodel.cpp,addresstablemodel.cpp,1472,2520,229
askpassphrasedialog.cpp,askpassphrasedialog.cpp,744,1256,316
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,60,76,29
bitcoinamountfield.cpp,bitcoinamountfield.cpp,664,720,42
bitcoingui.cpp,bitcoingui.cpp,3980,4912,144
bitcoinunits.cpp,bitcoinunits.cpp,940,1224,206
clientmodel.cpp,clientmodel.cpp,472,1368,48
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,536,576,154
guiutil.cpp,guiutil.cpp,476,1060,93
notificator.cpp,notificator.cpp,312,304,251
optionsdialog.cpp,optionsdialog.cpp,824,888,44
optionsmodel.cpp,optionsmodel.cpp,456,760,124
overviewpage.cpp,overviewpage.cpp,1040,3924,93
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,184,476,130
qvaluecombobox.cpp,qvaluecombobox.cpp,104,112,81
rpcconsole.cpp,rpcconsole.cpp,1164,3344,222
sendcoinsdialog.cpp,sendcoinsdialog.cpp,1716,4792,134
sendcoinsentry.cpp,sendcoinsentry.cpp,896,2320,93
transactiondesc.cpp,transactiondesc.cpp,6776,1856,99
transactiondescdialog.cpp,transactiondescdialog.cpp,188,404,77
transactionfilterproxy.cpp,transactionfilterproxy.cpp,512,1108,151
transactionrecord.cpp,transactionrecord.cpp,640,604,141
transactiontablemodel.cpp,transactiontablemodel.cpp,1540,4148,145
transactionview.cpp,transactionview.cpp,2128,3812,276
walletmodel.cpp,walletmodel.cpp,692,4048,145
test_main.cpp,test_main.cpp,44,84,28
uritests.cpp,uritests.cpp,388,32,13
Checkpoints_tests.cpp,Checkpoints_tests.cpp,18336,4,3
DoS_tests.cpp,DoS_tests.cpp,48,60,25
base58_tests.cpp,base58_tests.cpp,372,928,7
base64_tests.cpp,base64_tests.cpp,8,4,3
getarg_tests.cpp,getarg_tests.cpp,32,32,26
key_tests.cpp,key_tests.cpp,28,40,27
miner_tests.cpp,miner_tests.cpp,24,52,12
multisig_tests.cpp,multisig_tests.cpp,40,4,3
rpc_tests.cpp,rpc_tests.cpp,132,88,26
script_P2SH_tests.cpp,script_P2SH_tests.cpp,37592,44,27
script_tests.cpp,script_tests.cpp,132,92,24
sigopcount_tests.cpp,sigopcount_tests.cpp,8,4,3
transaction_tests.cpp,transaction_tests.cpp,8,112,5
uint256_tests.cpp,uint256_tests.cpp,8,1600,5
util_tests.cpp,util_tests.cpp,12,8,7
