crypter.cpp,crypter.cpp,9920,144,40
db.cpp,db.cpp,39024,552,508
init.cpp,init.cpp,42908,560,44
net.cpp,net.cpp,50284,612,37
protocol.cpp,protocol.cpp,15880,380,37
rpcdump.cpp,rpcdump.cpp,37952,2516,45
script.cpp,script.cpp,40268,16,12
util.cpp,util.cpp,25444,196,32
wallet.cpp,wallet.cpp,45624,540,56
walletdb.cpp,walletdb.cpp,41024,1124,60
addressbookpage.cpp,addressbookpage.cpp,1352,4,3
addresstablemodel.cpp,addresstablemodel.cpp,1472,428,52
askpassphrasedialog.cpp,askpassphrasedialog.cpp,744,16,7
bitcoin.cpp,bitcoin.cpp,1612,596,33
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,60,4,3
bitcoinamountfield.cpp,bitcoinamountfield.cpp,664,192,36
bitcoingui.cpp,bitcoingui.cpp,3980,56,25
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,940,4,3
clientmodel.cpp,clientmodel.cpp,472,216,12
csvmodelwriter.cpp,csvmodelwriter.cpp,300,52,48
editaddressdialog.cpp,editaddressdialog.cpp,536,8,5
guiutil.cpp,guiutil.cpp,476,8,5
notificator.cpp,notificator.cpp,312,4,3
optionsdialog.cpp,optionsdialog.cpp,824,4,3
optionsmodel.cpp,optionsmodel.cpp,456,156,20
overviewpage.cpp,overviewpage.cpp,1040,8,7
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,184,4,3
qvaluecombobox.cpp,qvaluecombobox.cpp,104,4,3
rpcconsole.cpp,rpcconsole.cpp,1164,380,92
sendcoinsdialog.cpp,sendcoinsdialog.cpp,1716,60,12
sendcoinsentry.cpp,sendcoinsentry.cpp,896,4,3
transactiondesc.cpp,transactiondesc.cpp,6776,4,3
transactiondescdialog.cpp,transactiondescdialog.cpp,188,4,3
transactionfilterproxy.cpp,transactionfilterproxy.cpp,512,4,3
transactionrecord.cpp,transactionrecord.cpp,640,4,3
transactiontablemodel.cpp,transactiontablemodel.cpp,1540,696,75
transactionview.cpp,transactionview.cpp,2128,4,3
walletmodel.cpp,walletmodel.cpp,692,140,12
test_main.cpp,test_main.cpp,44,172,16
uritests.cpp,uritests.cpp,388,4,3
DoS_tests.cpp,DoS_tests.cpp,48,76,29
base58_tests.cpp,base58_tests.cpp,372,8,5
base64_tests.cpp,base64_tests.cpp,8,4,3
getarg_tests.cpp,getarg_tests.cpp,32,32,26
key_tests.cpp,key_tests.cpp,28,40,27
miner_tests.cpp,miner_tests.cpp,24,1552,15
multisig_tests.cpp,multisig_tests.cpp,40,4,3
rpc_tests.cpp,rpc_tests.cpp,132,72,32
script_P2SH_tests.cpp,script_P2SH_tests.cpp,37592,44,27
script_tests.cpp,script_tests.cpp,132,88,24
sigopcount_tests.cpp,sigopcount_tests.cpp,8,4,3
test_bitcoin.cpp,test_bitcoin.cpp,64,44,13
transaction_tests.cpp,transaction_tests.cpp,8,128,5
uint256_tests.cpp,uint256_tests.cpp,8,1600,5
util_tests.cpp,util_tests.cpp,12,1180,8
