addrman.cpp,addrman.cpp,19908,18584,1340
alert.cpp,alert.cpp,20368,18056,1116
block.cpp,block.cpp,52392,4,3
bloom.cpp,bloom.cpp,43308,15016,4642
checkpoints.cpp,checkpoints.cpp,38332,25488,1587
crypter.cpp,crypter.cpp,20992,15200,1340
db.cpp,db.cpp,43160,17616,1588
hash.cpp,hash.cpp,9620,5132,640
init.cpp,init.cpp,51060,35152,1589
key.cpp,key.cpp,17308,8612,909
keystore.cpp,keystore.cpp,23632,14396,1340
main.cpp,main.cpp,54412,45752,1340
miner.cpp,miner.cpp,48560,27196,1340
net.cpp,net.cpp,56364,26188,1594
netbase.cpp,netbase.cpp,24048,21068,1340
noui.cpp,noui.cpp,43552,5600,1340
protocol.cpp,protocol.cpp,16044,10288,1340
rpcblockchain.cpp,rpcblockchain.cpp,40608,28596,1229
rpcdump.cpp,rpcdump.cpp,48348,35616,1593
rpcmining.cpp,rpcmining.cpp,48672,29144,1229
rpcnet.cpp,rpcnet.cpp,43424,27512,1229
rpcrawtransaction.cpp,rpcrawtransaction.cpp,50884,29912,1593
rpcwallet.cpp,rpcwallet.cpp,52200,38672,1549
script.cpp,script.cpp,46216,2800,906
scrypt.cpp,scrypt.cpp,25388,7860,3990
sync.cpp,sync.cpp,14060,7356,1405
transaction.cpp,transaction.cpp,48700,4,3
txmempool.cpp,txmempool.cpp,28964,27944,1340
util.cpp,util.cpp,27140,10732,1116
wallet.cpp,wallet.cpp,49704,37120,1549
walletdb.cpp,walletdb.cpp,40616,37336,1340
json_spirit_reader.cpp,json_spirit_reader.cpp,420,420,420
json_spirit_value.cpp,json_spirit_value.cpp,4,4,4
json_spirit_writer.cpp,json_spirit_writer.cpp,196,196,196
addressbookpage.cpp,addressbookpage.cpp,61624,1368,96
addresstablemodel.cpp,addresstablemodel.cpp,1912,2444,428
askpassphrasedialog.cpp,askpassphrasedialog.cpp,53596,1176,173
bitcoin.cpp,bitcoin.cpp,60552,1792,70
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,60,76,29
bitcoinamountfield.cpp,bitcoinamountfield.cpp,968,704,43
bitcoingui.cpp,bitcoingui.cpp,70960,3944,75
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,1020,1000,206
clientmodel.cpp,clientmodel.cpp,1128,1016,110
coincontroldialog.cpp,coincontroldialog.cpp,56452,2792,173
coincontroltreewidget.cpp,coincontroltreewidget.cpp,272,472,101
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,53160,576,303
guiutil.cpp,guiutil.cpp,636,976,189
notificator.cpp,notificator.cpp,304,304,304
optionsdialog.cpp,optionsdialog.cpp,54772,856,68
optionsmodel.cpp,optionsmodel.cpp,580,668,124
overviewpage.cpp,overviewpage.cpp,56924,2120,173
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,192,392,146
qvaluecombobox.cpp,qvaluecombobox.cpp,104,112,81
rpcconsole.cpp,rpcconsole.cpp,53232,2120,70
sendcoinsdialog.cpp,sendcoinsdialog.cpp,59084,4080,173
sendcoinsentry.cpp,sendcoinsentry.cpp,54432,1896,181
signverifymessagedialog.cpp,signverifymessagedialog.cpp,55424,1672,173
transactiondesc.cpp,transactiondesc.cpp,636,7984,115
transactiondescdialog.cpp,transactiondescdialog.cpp,53736,360,54
transactionfilterproxy.cpp,transactionfilterproxy.cpp,884,1092,171
transactionrecord.cpp,transactionrecord.cpp,724,556,190
transactiontablemodel.cpp,transactiontablemodel.cpp,3184,3656,248
transactionview.cpp,transactionview.cpp,2676,3120,242
walletmodel.cpp,walletmodel.cpp,2340,9436,264
test_main.cpp,test_main.cpp,76,84,45
uritests.cpp,uritests.cpp,548,32,13
accounting_tests.cpp,accounting_tests.cpp,200,40,23
allocator_tests.cpp,allocator_tests.cpp,428,96,87
base32_tests.cpp,base32_tests.cpp,36,8,5
base58_tests.cpp,base58_tests.cpp,408,28,15
base64_tests.cpp,base64_tests.cpp,36,8,5
bloom_tests.cpp,bloom_tests.cpp,380,8,5
compress_tests.cpp,compress_tests.cpp,60,52,43
getarg_tests.cpp,getarg_tests.cpp,72,32,23
hash_tests.cpp,hash_tests.cpp,20,8,5
key_tests.cpp,key_tests.cpp,156,44,23
mruset_tests.cpp,mruset_tests.cpp,460,48,42
netbase_tests.cpp,netbase_tests.cpp,136,8,5
pmt_tests.cpp,pmt_tests.cpp,544,48,42
rpc_tests.cpp,rpc_tests.cpp,12,92,9
script_tests.cpp,script_tests.cpp,456,52,24
serialize_tests.cpp,serialize_tests.cpp,128,8,5
sigopcount_tests.cpp,sigopcount_tests.cpp,120,8,5
transaction_tests.cpp,transaction_tests.cpp,84,116,21
uint256_tests.cpp,uint256_tests.cpp,44,868,16
util_tests.cpp,util_tests.cpp,928,12,5
wallet_tests.cpp,wallet_tests.cpp,532,148,59
