crypter.cpp,crypter.cpp,21260,1836,418
db.cpp,db.cpp,24896,2468,555
main.cpp,main.cpp,60768,5096,1417
protocol.cpp,protocol.cpp,20640,13876,2724
rpcblockchain.cpp,rpcblockchain.cpp,44832,44188,2724
rpcclient.cpp,rpcclient.cpp,18360,9776,2724
rpcdump.cpp,rpcdump.cpp,51300,3312,133
rpcmining.cpp,rpcmining.cpp,44792,48620,2724
rpcmisc.cpp,rpcmisc.cpp,43736,50100,2724
rpcnet.cpp,rpcnet.cpp,43740,38916,2724
rpcprotocol.cpp,rpcprotocol.cpp,11408,10984,2724
rpcrawtransaction.cpp,rpcrawtransaction.cpp,44852,50560,2724
rpcserver.cpp,rpcserver.cpp,45916,32860,2724
rpcwallet.cpp,rpcwallet.cpp,54052,8300,152
script.cpp,script.cpp,36756,3104,906
sync.cpp,sync.cpp,11616,11596,2724
txdb.cpp,txdb.cpp,42780,36628,2724
txmempool.cpp,txmempool.cpp,30268,39912,2724
util.cpp,util.cpp,32236,17312,2724
wallet.cpp,wallet.cpp,51560,236,62
walletdb.cpp,walletdb.cpp,53128,1480,159
glibc_compat.cpp,glibc_compat.cpp,168,92,89
addressbookpage.cpp,addressbookpage.cpp,1300,1616,547
addresstablemodel.cpp,addresstablemodel.cpp,2436,2520,1227
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1180,1256,314
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,76,76
bitcoinamountfield.cpp,bitcoinamountfield.cpp,728,720,73
bitcoingui.cpp,bitcoingui.cpp,3488,4912,171
bitcoinunits.cpp,bitcoinunits.cpp,1036,1224,206
clientmodel.cpp,clientmodel.cpp,1024,1368,168
coincontroldialog.cpp,coincontroldialog.cpp,2724,3156,337
coincontroltreewidget.cpp,coincontroltreewidget.cpp,468,484,337
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,576,576,576
guiutil.cpp,guiutil.cpp,952,1060,124
intro.cpp,intro.cpp,756,796,325
notificator.cpp,notificator.cpp,312,304,251
openuridialog.cpp,openuridialog.cpp,912,992,124
optionsdialog.cpp,optionsdialog.cpp,916,888,88
optionsmodel.cpp,optionsmodel.cpp,648,760,155
overviewpage.cpp,overviewpage.cpp,2004,3924,124
paymentrequestplus.cpp,paymentrequestplus.cpp,680,692,323
paymentserver.cpp,paymentserver.cpp,2920,3432,240
peertablemodel.cpp,peertablemodel.cpp,996,1052,240
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,400,476,276
qvaluecombobox.cpp,qvaluecombobox.cpp,112,112,112
receivecoinsdialog.cpp,receivecoinsdialog.cpp,2584,3052,695
receiverequestdialog.cpp,receiverequestdialog.cpp,1544,1672,351
recentrequeststablemodel.cpp,recentrequeststablemodel.cpp,1808,2012,268
rpcconsole.cpp,rpcconsole.cpp,2092,3344,221
sendcoinsdialog.cpp,sendcoinsdialog.cpp,3524,4792,337
sendcoinsentry.cpp,sendcoinsentry.cpp,1884,2320,312
signverifymessagedialog.cpp,signverifymessagedialog.cpp,1664,1896,371
splashscreen.cpp,splashscreen.cpp,340,588,96
