addrman.cpp,addrman.cpp,24772,23964,1708
alert.cpp,alert.cpp,25520,25480,1708
bitcoind.cpp,bitcoind.cpp,44568,42576,2321
chainparams.cpp,chainparams.cpp,31108,37436,1708
checkpoints.cpp,checkpoints.cpp,41684,35472,1708
core.cpp,core.cpp,28912,20916,1708
crypter.cpp,crypter.cpp,21260,29164,1708
db.cpp,db.cpp,24896,24112,2239
hash.cpp,hash.cpp,8724,11132,1708
init.cpp,init.cpp,49456,46164,1708
kernel.cpp,kernel.cpp,50316,38416,1708
key.cpp,key.cpp,13464,11908,1708
keystore.cpp,keystore.cpp,20512,19616,1708
main.cpp,main.cpp,60768,63028,1708
miner.cpp,miner.cpp,43252,43784,1708
net.cpp,net.cpp,42712,42980,2036
netbase.cpp,netbase.cpp,25836,24788,1708
noui.cpp,noui.cpp,11320,40496,1340
protocol.cpp,protocol.cpp,20640,20336,1708
rpcblockchain.cpp,rpcblockchain.cpp,44832,37924,2321
rpcclient.cpp,rpcclient.cpp,18360,15484,1708
rpcdump.cpp,rpcdump.cpp,51300,43696,1708
rpcmining.cpp,rpcmining.cpp,44792,44212,2321
rpcmisc.cpp,rpcmisc.cpp,43736,43868,1708
rpcnet.cpp,rpcnet.cpp,43740,36236,2321
rpcprotocol.cpp,rpcprotocol.cpp,11408,8664,1340
rpcrawtransaction.cpp,rpcrawtransaction.cpp,44852,43832,1708
rpcserver.cpp,rpcserver.cpp,45916,44872,2321
rpcwallet.cpp,rpcwallet.cpp,54052,46972,1708
script.cpp,script.cpp,36756,42640,2444
sync.cpp,sync.cpp,11616,8892,1340
txmempool.cpp,txmempool.cpp,30268,35472,1708
util.cpp,util.cpp,32236,29716,6165
version.cpp,version.cpp,172,172,86
wallet.cpp,wallet.cpp,51560,49840,1708
walletdb.cpp,walletdb.cpp,53128,46132,1852
scrypt.cpp,scrypt.cpp,7860,28408,3990
addressbookpage.cpp,addressbookpage.cpp,1300,1752,192
addresstablemodel.cpp,addresstablemodel.cpp,2436,2048,428
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1180,1032,207
bitcoin.cpp,bitcoin.cpp,1996,2000,116
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,60,29
bitcoinamountfield.cpp,bitcoinamountfield.cpp,728,672,211
bitcoingui.cpp,bitcoingui.cpp,3488,6156,229
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,1036,940,374
clientmodel.cpp,clientmodel.cpp,1024,1112,192
coincontroldialog.cpp,coincontroldialog.cpp,2724,2108,198
coincontroltreewidget.cpp,coincontroltreewidget.cpp,468,268,97
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,576,608,342
guiutil.cpp,guiutil.cpp,952,760,161
monitoreddatamapper.cpp,monitoreddatamapper.cpp,196,196,196
notificator.cpp,notificator.cpp,312,304,251
optionsdialog.cpp,optionsdialog.cpp,916,932,81
optionsmodel.cpp,optionsmodel.cpp,648,624,124
overviewpage.cpp,overviewpage.cpp,2004,1756,339
paymentserver.cpp,paymentserver.cpp,2920,384,56
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,400,200,154
qvaluecombobox.cpp,qvaluecombobox.cpp,112,112,112
rpcconsole.cpp,rpcconsole.cpp,2092,1560,268
sendcoinsdialog.cpp,sendcoinsdialog.cpp,3524,3164,237
sendcoinsentry.cpp,sendcoinsentry.cpp,1884,1692,180
signverifymessagedialog.cpp,signverifymessagedialog.cpp,1664,1668,651
trafficgraphwidget.cpp,trafficgraphwidget.cpp,1080,1052,454
transactiondesc.cpp,transactiondesc.cpp,8004,780,157
transactiondescdialog.cpp,transactiondescdialog.cpp,196,204,99
transactionfilterproxy.cpp,transactionfilterproxy.cpp,808,840,219
transactionrecord.cpp,transactionrecord.cpp,624,688,200
transactiontablemodel.cpp,transactiontablemodel.cpp,3284,3400,594
transactionview.cpp,transactionview.cpp,2892,2648,308
walletmodel.cpp,walletmodel.cpp,9280,2532,394
test_main.cpp,test_main.cpp,84,76,45
uritests.cpp,uritests.cpp,32,672,13
Checkpoints_tests.cpp,Checkpoints_tests.cpp,8,23724,5
accounting_tests.cpp,accounting_tests.cpp,40,36,33
allocator_tests.cpp,allocator_tests.cpp,96,96,96
base32_tests.cpp,base32_tests.cpp,8,8,8
base58_tests.cpp,base58_tests.cpp,28,28,28
base64_tests.cpp,base64_tests.cpp,8,8,8
bignum_tests.cpp,bignum_tests.cpp,28,28,28
getarg_tests.cpp,getarg_tests.cpp,32,32,32
hmac_tests.cpp,hmac_tests.cpp,120,120,120
key_tests.cpp,key_tests.cpp,44,44,44
mruset_tests.cpp,mruset_tests.cpp,48,48,48
netbase_tests.cpp,netbase_tests.cpp,8,8,8
serialize_tests.cpp,serialize_tests.cpp,8,8,8
sigopcount_tests.cpp,sigopcount_tests.cpp,8,8,8
test_bitcoin.cpp,test_bitcoin.cpp,100,44,25
uint256_tests.cpp,uint256_tests.cpp,868,8,7
wallet_tests.cpp,wallet_tests.cpp,136,132,69
