addrman.cpp,addrman.cpp,24772,18856,1709
checkpoints.cpp,checkpoints.cpp,41684,34468,2134
crypter.cpp,crypter.cpp,21260,9920,1708
db.cpp,db.cpp,24896,39024,2133
init.cpp,init.cpp,49456,42908,2133
kernel.cpp,kernel.cpp,50316,37316,2133
key.cpp,key.cpp,13464,17128,1708
keystore.cpp,keystore.cpp,20512,23312,1708
main.cpp,main.cpp,60768,57072,2134
net.cpp,net.cpp,42712,50284,2133
netbase.cpp,netbase.cpp,25836,21148,1708
noui.cpp,noui.cpp,11320,37692,1340
protocol.cpp,protocol.cpp,20640,15880,1709
rpcdump.cpp,rpcdump.cpp,51300,37952,2133
script.cpp,script.cpp,36756,40268,2426
util.cpp,util.cpp,32236,25444,2902
version.cpp,version.cpp,172,204,84
wallet.cpp,wallet.cpp,51560,45624,2133
walletdb.cpp,walletdb.cpp,53128,41024,2133
json_spirit_reader.cpp,json_spirit_reader.cpp,420,420,420
json_spirit_value.cpp,json_spirit_value.cpp,4,4,4
json_spirit_writer.cpp,json_spirit_writer.cpp,196,196,196
addressbookpage.cpp,addressbookpage.cpp,1300,1352,228
addresstablemodel.cpp,addresstablemodel.cpp,2436,1472,229
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1180,744,311
bitcoin.cpp,bitcoin.cpp,1996,1612,55
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,60,29
bitcoinamountfield.cpp,bitcoinamountfield.cpp,728,664,211
bitcoingui.cpp,bitcoingui.cpp,3488,3980,172
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,1036,940,374
clientmodel.cpp,clientmodel.cpp,1024,472,55
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,576,536,154
guiutil.cpp,guiutil.cpp,952,476,165
monitoreddatamapper.cpp,monitoreddatamapper.cpp,196,196,196
notificator.cpp,notificator.cpp,312,312,312
optionsdialog.cpp,optionsdialog.cpp,916,824,77
optionsmodel.cpp,optionsmodel.cpp,648,456,124
overviewpage.cpp,overviewpage.cpp,2004,1040,165
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,400,184,138
qvaluecombobox.cpp,qvaluecombobox.cpp,112,104,81
rpcconsole.cpp,rpcconsole.cpp,2092,1164,245
sendcoinsdialog.cpp,sendcoinsdialog.cpp,3524,1716,165
sendcoinsentry.cpp,sendcoinsentry.cpp,1884,896,165
transactiondesc.cpp,transactiondesc.cpp,8004,6776,6339
transactiondescdialog.cpp,transactiondescdialog.cpp,196,188,143
transactionfilterproxy.cpp,transactionfilterproxy.cpp,808,512,178
transactionrecord.cpp,transactionrecord.cpp,624,640,140
transactiontablemodel.cpp,transactiontablemodel.cpp,3284,1540,165
transactionview.cpp,transactionview.cpp,2892,2128,266
walletmodel.cpp,walletmodel.cpp,9280,692,165
test_main.cpp,test_main.cpp,84,44,28
uritests.cpp,uritests.cpp,32,388,13
Checkpoints_tests.cpp,Checkpoints_tests.cpp,8,18336,5
DoS_tests.cpp,DoS_tests.cpp,60,48,45
base58_tests.cpp,base58_tests.cpp,28,372,7
base64_tests.cpp,base64_tests.cpp,8,8,8
getarg_tests.cpp,getarg_tests.cpp,32,32,32
key_tests.cpp,key_tests.cpp,44,28,27
miner_tests.cpp,miner_tests.cpp,1364,24,23
mruset_tests.cpp,mruset_tests.cpp,48,48,48
multisig_tests.cpp,multisig_tests.cpp,12,40,9
rpc_tests.cpp,rpc_tests.cpp,92,132,26
script_P2SH_tests.cpp,script_P2SH_tests.cpp,48,37592,27
script_tests.cpp,script_tests.cpp,80,132,52
sigopcount_tests.cpp,sigopcount_tests.cpp,8,8,8
test_bitcoin.cpp,test_bitcoin.cpp,100,64,27
transaction_tests.cpp,transaction_tests.cpp,16,8,5
uint256_tests.cpp,uint256_tests.cpp,868,8,7
util_tests.cpp,util_tests.cpp,12,12,12
