addrman.cpp,addrman.cpp,24772,19908,1709
alert.cpp,alert.cpp,25520,20368,1708
bloom.cpp,bloom.cpp,32960,43308,4642
checkpoints.cpp,checkpoints.cpp,41684,38332,1709
crypter.cpp,crypter.cpp,21260,20992,1708
db.cpp,db.cpp,24896,43160,1708
hash.cpp,hash.cpp,8724,9620,1708
init.cpp,init.cpp,49456,51060,1709
kernel.cpp,kernel.cpp,50316,40532,1708
key.cpp,key.cpp,13464,17308,1708
keystore.cpp,keystore.cpp,20512,23632,1708
main.cpp,main.cpp,60768,54412,1708
miner.cpp,miner.cpp,43252,48560,1708
net.cpp,net.cpp,42712,56364,1708
netbase.cpp,netbase.cpp,25836,24048,1822
noui.cpp,noui.cpp,11320,43552,1340
protocol.cpp,protocol.cpp,20640,16044,1709
rpcblockchain.cpp,rpcblockchain.cpp,44832,40608,1708
rpcdump.cpp,rpcdump.cpp,51300,48348,1708
rpcmining.cpp,rpcmining.cpp,44792,48672,1708
rpcnet.cpp,rpcnet.cpp,43740,43424,1708
rpcrawtransaction.cpp,rpcrawtransaction.cpp,44852,50884,1708
rpcwallet.cpp,rpcwallet.cpp,54052,52200,1708
script.cpp,script.cpp,36756,46216,2464
sync.cpp,sync.cpp,11616,14060,1116
txmempool.cpp,txmempool.cpp,30268,28964,1708
util.cpp,util.cpp,32236,27140,6453
version.cpp,version.cpp,172,156,146
wallet.cpp,wallet.cpp,51560,49704,1708
walletdb.cpp,walletdb.cpp,53128,40616,1708
scrypt.cpp,scrypt.cpp,7860,25388,3990
json_spirit_reader.cpp,json_spirit_reader.cpp,420,420,420
json_spirit_value.cpp,json_spirit_value.cpp,4,4,4
json_spirit_writer.cpp,json_spirit_writer.cpp,196,196,196
addressbookpage.cpp,addressbookpage.cpp,1300,61624,96
addresstablemodel.cpp,addresstablemodel.cpp,2436,1912,428
askpassphrasedialog.cpp,askpassphrasedialog.cpp,1180,53596,173
bitcoin.cpp,bitcoin.cpp,1996,60552,72
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,76,60,29
bitcoinamountfield.cpp,bitcoinamountfield.cpp,728,968,84
bitcoingui.cpp,bitcoingui.cpp,3488,70960,152
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,1036,1020,298
clientmodel.cpp,clientmodel.cpp,1024,1128,102
coincontroldialog.cpp,coincontroldialog.cpp,2724,56452,182
coincontroltreewidget.cpp,coincontroltreewidget.cpp,468,272,101
csvmodelwriter.cpp,csvmodelwriter.cpp,300,300,300
editaddressdialog.cpp,editaddressdialog.cpp,576,53160,303
guiutil.cpp,guiutil.cpp,952,636,189
monitoreddatamapper.cpp,monitoreddatamapper.cpp,196,196,196
notificator.cpp,notificator.cpp,312,304,251
optionsdialog.cpp,optionsdialog.cpp,916,54772,72
optionsmodel.cpp,optionsmodel.cpp,648,580,124
overviewpage.cpp,overviewpage.cpp,2004,56924,173
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,400,192,146
qvaluecombobox.cpp,qvaluecombobox.cpp,112,104,81
rpcconsole.cpp,rpcconsole.cpp,2092,53232,70
sendcoinsdialog.cpp,sendcoinsdialog.cpp,3524,59084,173
sendcoinsentry.cpp,sendcoinsentry.cpp,1884,54432,181
signverifymessagedialog.cpp,signverifymessagedialog.cpp,1664,55424,173
transactiondesc.cpp,transactiondesc.cpp,8004,636,104
transactiondescdialog.cpp,transactiondescdialog.cpp,196,53736,42
transactionfilterproxy.cpp,transactionfilterproxy.cpp,808,884,342
transactionrecord.cpp,transactionrecord.cpp,624,724,191
transactiontablemodel.cpp,transactiontablemodel.cpp,3284,3184,1094
transactionview.cpp,transactionview.cpp,2892,2676,242
walletmodel.cpp,walletmodel.cpp,9280,2340,282
test_main.cpp,test_main.cpp,84,76,45
uritests.cpp,uritests.cpp,32,548,13
accounting_tests.cpp,accounting_tests.cpp,40,200,23
allocator_tests.cpp,allocator_tests.cpp,96,428,87
base32_tests.cpp,base32_tests.cpp,8,36,5
base58_tests.cpp,base58_tests.cpp,28,408,15
base64_tests.cpp,base64_tests.cpp,8,36,5
bignum_tests.cpp,bignum_tests.cpp,28,128,19
bloom_tests.cpp,bloom_tests.cpp,8,380,5
canonical_tests.cpp,canonical_tests.cpp,212,244,199
compress_tests.cpp,compress_tests.cpp,52,60,43
getarg_tests.cpp,getarg_tests.cpp,32,72,23
hash_tests.cpp,hash_tests.cpp,8,20,5
key_tests.cpp,key_tests.cpp,44,156,23
mruset_tests.cpp,mruset_tests.cpp,48,460,42
netbase_tests.cpp,netbase_tests.cpp,8,136,5
pmt_tests.cpp,pmt_tests.cpp,48,544,42
rpc_tests.cpp,rpc_tests.cpp,92,12,9
script_tests.cpp,script_tests.cpp,80,456,52
serialize_tests.cpp,serialize_tests.cpp,8,128,5
sigopcount_tests.cpp,sigopcount_tests.cpp,8,120,5
transaction_tests.cpp,transaction_tests.cpp,16,84,10
uint256_tests.cpp,uint256_tests.cpp,868,44,16
util_tests.cpp,util_tests.cpp,12,928,5
wallet_tests.cpp,wallet_tests.cpp,136,532,66
