scrypt.cpp,scrypt.cpp,7860,41956,3990
addresstablemodel.cpp,addresstablemodel.cpp,420,2496,83
askpassphrasedialog.cpp,askpassphrasedialog.cpp,16,956,7
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,4,60,3
bitcoinamountfield.cpp,bitcoinamountfield.cpp,192,672,36
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,4,988,3
clientmodel.cpp,clientmodel.cpp,200,1440,37
coincontroldialog.cpp,coincontroldialog.cpp,4,2532,3
coincontroltreewidget.cpp,coincontroltreewidget.cpp,4,284,3
csvmodelwriter.cpp,csvmodelwriter.cpp,52,300,48
editaddressdialog.cpp,editaddressdialog.cpp,8,604,5
guiutil.cpp,guiutil.cpp,8,652,5
notificator.cpp,notificator.cpp,4,304,3
optionsmodel.cpp,optionsmodel.cpp,168,1100,22
paymentserver.cpp,paymentserver.cpp,148,384,31
peertablemodel.cpp,peertablemodel.cpp,88,1000,45
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,4,200,3
qvaluecombobox.cpp,qvaluecombobox.cpp,4,104,3
rpcconsole.cpp,rpcconsole.cpp,380,2248,65
trafficgraphwidget.cpp,trafficgraphwidget.cpp,4,1080,3
transactiondesc.cpp,transactiondesc.cpp,4,532,3
transactionrecord.cpp,transactionrecord.cpp,4,2188,3
transactiontablemodel.cpp,transactiontablemodel.cpp,696,3092,89
walletmodel.cpp,walletmodel.cpp,140,2676,51
test_main.cpp,test_main.cpp,172,76,18
uritests.cpp,uritests.cpp,4,564,3
net.cpp,net.cpp,612,66908,37
protocol.cpp,protocol.cpp,380,20368,37
util.cpp,util.cpp,196,34148,32
script.cpp,script.cpp,16,67464,12
DoS_tests.cpp,DoS_tests.cpp,76,48,29
allocator_tests.cpp,allocator_tests.cpp,8,96,7
base32_tests.cpp,base32_tests.cpp,4,8,3
base58_tests.cpp,base58_tests.cpp,8,28,7
base64_tests.cpp,base64_tests.cpp,4,8,3
bip32_tests.cpp,bip32_tests.cpp,112,112,81
getarg_tests.cpp,getarg_tests.cpp,32,32,26
hash_tests.cpp,hash_tests.cpp,8,8,8
key_tests.cpp,key_tests.cpp,40,28,27
miner_tests.cpp,miner_tests.cpp,43516,1364,1335
multisig_tests.cpp,multisig_tests.cpp,4,12,3
netbase_tests.cpp,netbase_tests.cpp,60,8,5
rpc_tests.cpp,rpc_tests.cpp,72,92,54
script_P2SH_tests.cpp,script_P2SH_tests.cpp,44,59312,27
script_tests.cpp,script_tests.cpp,88,108,24
sigopcount_tests.cpp,sigopcount_tests.cpp,4,8,3
transaction_tests.cpp,transaction_tests.cpp,128,16,9
uint256_tests.cpp,uint256_tests.cpp,1600,8,5
util_tests.cpp,util_tests.cpp,1184,12,8
crypter.cpp,crypter.cpp,144,37488,43
db.cpp,db.cpp,552,50196,510
init.cpp,init.cpp,552,66052,44
rpcdump.cpp,rpcdump.cpp,2528,61700,57
rpcwallet.cpp,rpcwallet.cpp,5580,69172,64
wallet.cpp,wallet.cpp,448,88092,56
walletdb.cpp,walletdb.cpp,1076,62332,105
accounting_tests.cpp,accounting_tests.cpp,36,136,30
wallet_tests.cpp,wallet_tests.cpp,200,128,56
