addressbookpage.cpp,addressbookpage.cpp,4,1352,3
addresstablemodel.cpp,addresstablemodel.cpp,420,1472,52
askpassphrasedialog.cpp,askpassphrasedialog.cpp,16,744,7
bitcoin.cpp,bitcoin.cpp,596,1612,33
bitcoinaddressvalidator.cpp,bitcoinaddressvalidator.cpp,4,60,3
bitcoinamountfield.cpp,bitcoinamountfield.cpp,192,664,36
bitcoingui.cpp,bitcoingui.cpp,56,3980,25
bitcoinstrings.cpp,bitcoinstrings.cpp,8,8,8
bitcoinunits.cpp,bitcoinunits.cpp,4,940,3
clientmodel.cpp,clientmodel.cpp,200,472,12
csvmodelwriter.cpp,csvmodelwriter.cpp,52,300,48
editaddressdialog.cpp,editaddressdialog.cpp,8,536,5
guiutil.cpp,guiutil.cpp,8,476,5
notificator.cpp,notificator.cpp,4,312,3
optionsdialog.cpp,optionsdialog.cpp,4,824,3
optionsmodel.cpp,optionsmodel.cpp,168,456,20
overviewpage.cpp,overviewpage.cpp,8,1040,7
qvalidatedlineedit.cpp,qvalidatedlineedit.cpp,4,184,3
qvaluecombobox.cpp,qvaluecombobox.cpp,4,104,3
rpcconsole.cpp,rpcconsole.cpp,380,1164,92
sendcoinsdialog.cpp,sendcoinsdialog.cpp,60,1716,12
sendcoinsentry.cpp,sendcoinsentry.cpp,4,896,3
transactiondesc.cpp,transactiondesc.cpp,4,6776,3
transactiondescdialog.cpp,transactiondescdialog.cpp,4,188,3
transactionfilterproxy.cpp,transactionfilterproxy.cpp,4,512,3
transactionrecord.cpp,transactionrecord.cpp,4,640,3
transactiontablemodel.cpp,transactiontablemodel.cpp,696,1540,75
transactionview.cpp,transactionview.cpp,4,2128,3
walletmodel.cpp,walletmodel.cpp,140,692,12
test_main.cpp,test_main.cpp,172,44,16
uritests.cpp,uritests.cpp,4,388,3
net.cpp,net.cpp,612,50284,37
protocol.cpp,protocol.cpp,380,15880,37
util.cpp,util.cpp,196,25444,32
script.cpp,script.cpp,16,40268,12
DoS_tests.cpp,DoS_tests.cpp,76,48,29
base58_tests.cpp,base58_tests.cpp,8,372,5
base64_tests.cpp,base64_tests.cpp,4,8,3
getarg_tests.cpp,getarg_tests.cpp,32,32,26
key_tests.cpp,key_tests.cpp,40,28,27
miner_tests.cpp,miner_tests.cpp,43516,24,15
multisig_tests.cpp,multisig_tests.cpp,4,40,3
rpc_tests.cpp,rpc_tests.cpp,72,132,32
script_P2SH_tests.cpp,script_P2SH_tests.cpp,44,37592,27
script_tests.cpp,script_tests.cpp,88,132,24
sigopcount_tests.cpp,sigopcount_tests.cpp,4,8,3
test_bitcoin.cpp,test_bitcoin.cpp,52,64,13
transaction_tests.cpp,transaction_tests.cpp,128,8,5
uint256_tests.cpp,uint256_tests.cpp,1600,8,5
util_tests.cpp,util_tests.cpp,1184,12,8
crypter.cpp,crypter.cpp,144,9920,40
db.cpp,db.cpp,552,39024,508
init.cpp,init.cpp,552,42908,44
rpcdump.cpp,rpcdump.cpp,2528,37952,45
wallet.cpp,wallet.cpp,448,45624,56
walletdb.cpp,walletdb.cpp,1076,41024,60
