util.cpp,util.cpp,14580,1076,45
fuzz.cpp,fuzz.cpp,136,1604,22
fuzz.cpp,fuzz.cpp,124,1604,20
fuzz.cpp,fuzz.cpp,76,1604,23
fuzz.cpp,fuzz.cpp,156,1604,23
fuzz.cpp,fuzz.cpp,80,1604,30
main.cpp,main.cpp,92,4,3
fees.cpp,fees.cpp,4,108,3
fees.cpp,fees.cpp,4,216,3
block.cpp,block.cpp,4,196,3
transaction.cpp,transaction.cpp,76,236,15
mining.cpp,mining.cpp,1084,68,26
server.cpp,server.cpp,516,1220,66
interpreter.cpp,interpreter.cpp,2760,2308,322
script.cpp,script.cpp,2844,20,14
script.cpp,script.cpp,2844,96,27
script_error.cpp,script_error.cpp,660,28,15
sigcache.cpp,sigcache.cpp,180,28,10
sign.cpp,sign.cpp,536,1232,72
standard.cpp,standard.cpp,772,1184,113
cleanse.cpp,cleanse.cpp,1800,28,14
addrman_tests.cpp,addrman_tests.cpp,76,176,41
allocator_tests.cpp,allocator_tests.cpp,96,8,5
arith_uint256_tests.cpp,arith_uint256_tests.cpp,844,844,844
base32_tests.cpp,base32_tests.cpp,4,4,4
base58_tests.cpp,base58_tests.cpp,8,8,8
base64_tests.cpp,base64_tests.cpp,4,4,4
bech32_tests.cpp,bech32_tests.cpp,52,16,9
bip32_tests.cpp,bip32_tests.cpp,108,112,81
bloom_tests.cpp,bloom_tests.cpp,4,4,4
coins_tests.cpp,coins_tests.cpp,152,664,38
compress_tests.cpp,compress_tests.cpp,52,52,52
crypto_tests.cpp,crypto_tests.cpp,36,8,7
dbwrapper_tests.cpp,dbwrapper_tests.cpp,40,40,40
getarg_tests.cpp,getarg_tests.cpp,32,36,25
hash_tests.cpp,hash_tests.cpp,4,8,3
key_tests.cpp,key_tests.cpp,40,40,40
mempool_tests.cpp,mempool_tests.cpp,4,16,3
miner_tests.cpp,miner_tests.cpp,1348,1400,20
multisig_tests.cpp,multisig_tests.cpp,4,52,3
netbase_tests.cpp,netbase_tests.cpp,4,60,3
pmt_tests.cpp,pmt_tests.cpp,64,36,33
policyestimator_tests.cpp,policyestimator_tests.cpp,4,4,4
pow_tests.cpp,pow_tests.cpp,4,4,4
prevector_tests.cpp,prevector_tests.cpp,36,8,7
raii_event_tests.cpp,raii_event_tests.cpp,4,4,4
reverselock_tests.cpp,reverselock_tests.cpp,4,4,4
rpc_tests.cpp,rpc_tests.cpp,136,4,3
sanity_tests.cpp,sanity_tests.cpp,4,4,4
scheduler_tests.cpp,scheduler_tests.cpp,100,100,100
script_standard_tests.cpp,script_standard_tests.cpp,4,4,4
script_tests.cpp,script_tests.cpp,48,308,47
scriptnum_tests.cpp,scriptnum_tests.cpp,1792,700,121
serialize_tests.cpp,serialize_tests.cpp,100,92,62
sighash_tests.cpp,sighash_tests.cpp,572,260,104
sigopcount_tests.cpp,sigopcount_tests.cpp,4,4,4
skiplist_tests.cpp,skiplist_tests.cpp,32,4,3
timedata_tests.cpp,timedata_tests.cpp,4,4,4
torcontrol_tests.cpp,torcontrol_tests.cpp,84,92,81
transaction_tests.cpp,transaction_tests.cpp,112,128,61
txvalidationcache_tests.cpp,txvalidationcache_tests.cpp,28,52,8
uint256_tests.cpp,uint256_tests.cpp,1600,188,185
util_tests.cpp,util_tests.cpp,36,1872,14
gen.cpp,gen.cpp,2588,2588,2588
univalue.cpp,univalue.cpp,2752,1836,1770
univalue_read.cpp,univalue_read.cpp,5352,5360,4837
univalue_write.cpp,univalue_write.cpp,3372,3372,3372
no_nul.cpp,no_nul.cpp,40,40,40
test_json.cpp,test_json.cpp,60,60,60
unitester.cpp,unitester.cpp,5308,5296,4339
crypter.cpp,crypter.cpp,2464,908,18
crypter.cpp,crypter.cpp,2464,144,116
db.cpp,db.cpp,2468,908,63
db.cpp,db.cpp,2468,712,522
rpcdump.cpp,rpcdump.cpp,5100,2272,79
rpcwallet.cpp,rpcwallet.cpp,11252,7812,80
wallet.cpp,wallet.cpp,732,8,5
wallet.cpp,wallet.cpp,732,644,66
walletdb.cpp,walletdb.cpp,1800,20,13
rpc_wallet_tests.cpp,rpc_wallet_tests.cpp,92,8,7
wallet_test_fixture.cpp,wallet_test_fixture.cpp,4,4,4
wallet_tests.cpp,wallet_tests.cpp,148,632,24
util.cpp,util.cpp,32,1076,26
zmqabstractnotifier.cpp,zmqabstractnotifier.cpp,200,4,3
zmqnotificationinterface.cpp,zmqnotificationinterface.cpp,636,20,14
zmqpublishnotifier.cpp,zmqpublishnotifier.cpp,992,244,136
