protocol.cpp,protocol.cpp,10060,260,26
validationinterface.cpp,validationinterface.cpp,312,48,34
fees.cpp,fees.cpp,4,1696,3
block.cpp,block.cpp,4,12,3
transaction.cpp,transaction.cpp,68,12,5
blockchain.cpp,blockchain.cpp,1548,2288,119
client.cpp,client.cpp,144,176,114
mining.cpp,mining.cpp,1120,1292,95
misc.cpp,misc.cpp,456,708,129
protocol.cpp,protocol.cpp,256,260,153
rawtransaction.cpp,rawtransaction.cpp,916,1084,159
server.cpp,server.cpp,508,616,244
interpreter.cpp,interpreter.cpp,2384,3164,340
script.cpp,script.cpp,2732,3248,969
script_error.cpp,script_error.cpp,700,748,668
sigcache.cpp,sigcache.cpp,128,184,45
sign.cpp,sign.cpp,500,1020,77
standard.cpp,standard.cpp,664,704,166
cleanse.cpp,cleanse.cpp,1800,1800,1800
DoS_tests.cpp,DoS_tests.cpp,60,64,59
accounting_tests.cpp,accounting_tests.cpp,40,36,22
addrman_tests.cpp,addrman_tests.cpp,76,124,75
allocator_tests.cpp,allocator_tests.cpp,96,8,5
arith_uint256_tests.cpp,arith_uint256_tests.cpp,844,844,844
base32_tests.cpp,base32_tests.cpp,4,4,4
base58_tests.cpp,base58_tests.cpp,24,24,24
base64_tests.cpp,base64_tests.cpp,4,4,4
bip32_tests.cpp,bip32_tests.cpp,108,112,81
bloom_tests.cpp,bloom_tests.cpp,4,4,4
coins_tests.cpp,coins_tests.cpp,40,664,33
compress_tests.cpp,compress_tests.cpp,52,52,52
crypto_tests.cpp,crypto_tests.cpp,8,8,8
crypto_tests.cpp,crypto_tests.cpp,8,452,5
getarg_tests.cpp,getarg_tests.cpp,32,32,32
hash_tests.cpp,hash_tests.cpp,4,8,3
key_tests.cpp,key_tests.cpp,40,40,40
main_tests.cpp,main_tests.cpp,128,4,3
mempool_tests.cpp,mempool_tests.cpp,4,4,4
miner_tests.cpp,miner_tests.cpp,1344,1528,20
multisig_tests.cpp,multisig_tests.cpp,4,4,4
netbase_tests.cpp,netbase_tests.cpp,4,44,3
pmt_tests.cpp,pmt_tests.cpp,36,36,36
policyestimator_tests.cpp,policyestimator_tests.cpp,4,4,4
pow_tests.cpp,pow_tests.cpp,4,4,4
raii_event_tests.cpp,raii_event_tests.cpp,4,4,4
reverselock_tests.cpp,reverselock_tests.cpp,4,4,4
rpc_tests.cpp,rpc_tests.cpp,88,72,55
sanity_tests.cpp,sanity_tests.cpp,4,4,4
scheduler_tests.cpp,scheduler_tests.cpp,100,100,100
script_P2SH_tests.cpp,script_P2SH_tests.cpp,44,44,30
script_tests.cpp,script_tests.cpp,48,220,47
scriptnum_tests.cpp,scriptnum_tests.cpp,1792,1216,122
serialize_tests.cpp,serialize_tests.cpp,4,100,3
sighash_tests.cpp,sighash_tests.cpp,444,8,7
sigopcount_tests.cpp,sigopcount_tests.cpp,4,4,4
skiplist_tests.cpp,skiplist_tests.cpp,4,4,4
timedata_tests.cpp,timedata_tests.cpp,4,4,4
torcontrol_tests.cpp,torcontrol_tests.cpp,84,84,84
transaction_tests.cpp,transaction_tests.cpp,112,128,61
uint256_tests.cpp,uint256_tests.cpp,1600,1600,1600
univalue_tests.cpp,univalue_tests.cpp,8,8,8
util_tests.cpp,util_tests.cpp,8,12,7
gen.cpp,gen.cpp,2588,2588,2588
univalue.cpp,univalue.cpp,2752,2752,2752
univalue_read.cpp,univalue_read.cpp,5352,5332,3707
univalue_write.cpp,univalue_write.cpp,3372,3372,3372
unitester.cpp,unitester.cpp,5308,5284,4597
crypter.cpp,crypter.cpp,1900,1804,190
db.cpp,db.cpp,2448,3580,797
rpcdump.cpp,rpcdump.cpp,3988,6364,137
rpcwallet.cpp,rpcwallet.cpp,8404,4380,80
wallet.cpp,wallet.cpp,708,356,62
wallet_ismine.cpp,wallet_ismine.cpp,180,4,3
walletdb.cpp,walletdb.cpp,1448,1532,146
wallet_tests.cpp,wallet_tests.cpp,148,216,66
zmqabstractnotifier.cpp,zmqabstractnotifier.cpp,172,208,117
zmqnotificationinterface.cpp,zmqnotificationinterface.cpp,568,740,209
zmqpublishnotifier.cpp,zmqpublishnotifier.cpp,924,1008,569
