protocol.cpp,protocol.cpp,10060,15880,1340
util.cpp,util.cpp,11392,25444,1340
main.cpp,main.cpp,108,57072,34
net.cpp,net.cpp,472,50284,37
protocol.cpp,protocol.cpp,256,15880,26
script.cpp,script.cpp,2732,40268,912
Checkpoints_tests.cpp,Checkpoints_tests.cpp,4,18336,3
DoS_tests.cpp,DoS_tests.cpp,60,48,25
base58_tests.cpp,base58_tests.cpp,24,372,7
base64_tests.cpp,base64_tests.cpp,4,8,3
getarg_tests.cpp,getarg_tests.cpp,32,32,26
key_tests.cpp,key_tests.cpp,40,28,27
miner_tests.cpp,miner_tests.cpp,1344,24,6
mruset_tests.cpp,mruset_tests.cpp,4,48,3
multisig_tests.cpp,multisig_tests.cpp,4,40,3
rpc_tests.cpp,rpc_tests.cpp,88,132,26
script_P2SH_tests.cpp,script_P2SH_tests.cpp,44,37592,27
script_tests.cpp,script_tests.cpp,48,132,22
sigopcount_tests.cpp,sigopcount_tests.cpp,4,8,3
test_bitcoin.cpp,test_bitcoin.cpp,224,64,21
transaction_tests.cpp,transaction_tests.cpp,112,8,5
uint256_tests.cpp,uint256_tests.cpp,1600,8,5
util_tests.cpp,util_tests.cpp,8,12,7
crypter.cpp,crypter.cpp,1900,9920,206
db.cpp,db.cpp,2448,39024,508
rpcdump.cpp,rpcdump.cpp,3988,37952,93
wallet.cpp,wallet.cpp,708,45624,101
walletdb.cpp,walletdb.cpp,1448,41024,60
util.cpp,util.cpp,32,25444,16
