util.cpp,util.cpp,11392,944,40
main.cpp,main.cpp,108,4,3
fees.cpp,fees.cpp,4,84,3
fees.cpp,fees.cpp,4,88,3
block.cpp,block.cpp,4,196,3
transaction.cpp,transaction.cpp,68,236,15
client.cpp,client.cpp,144,176,114
mining.cpp,mining.cpp,1120,1844,109
mining.cpp,mining.cpp,1120,68,26
misc.cpp,misc.cpp,456,1032,70
net.cpp,net.cpp,472,836,92
rawtransaction.cpp,rawtransaction.cpp,916,1356,67
server.cpp,server.cpp,508,568,66
interpreter.cpp,interpreter.cpp,2384,1796,322
script.cpp,script.cpp,2732,20,14
script.cpp,script.cpp,2732,96,27
script_error.cpp,script_error.cpp,700,28,15
sigcache.cpp,sigcache.cpp,128,28,9
sign.cpp,sign.cpp,500,1012,53
standard.cpp,standard.cpp,664,856,100
cleanse.cpp,cleanse.cpp,1800,28,14
addrman_tests.cpp,addrman_tests.cpp,76,176,41
allocator_tests.cpp,allocator_tests.cpp,96,8,5
arith_uint256_tests.cpp,arith_uint256_tests.cpp,844,844,844
base32_tests.cpp,base32_tests.cpp,4,4,4
base58_tests.cpp,base58_tests.cpp,24,8,7
base64_tests.cpp,base64_tests.cpp,4,4,4
bip32_tests.cpp,bip32_tests.cpp,108,112,81
bloom_tests.cpp,bloom_tests.cpp,4,4,4
coins_tests.cpp,coins_tests.cpp,40,664,33
compress_tests.cpp,compress_tests.cpp,52,52,52
crypto_tests.cpp,crypto_tests.cpp,8,8,8
getarg_tests.cpp,getarg_tests.cpp,32,36,25
hash_tests.cpp,hash_tests.cpp,4,8,3
key_tests.cpp,key_tests.cpp,40,40,40
mempool_tests.cpp,mempool_tests.cpp,4,16,3
miner_tests.cpp,miner_tests.cpp,1344,1384,20
multisig_tests.cpp,multisig_tests.cpp,4,36,3
netbase_tests.cpp,netbase_tests.cpp,4,60,3
pmt_tests.cpp,pmt_tests.cpp,36,36,36
policyestimator_tests.cpp,policyestimator_tests.cpp,4,4,4
pow_tests.cpp,pow_tests.cpp,4,4,4
raii_event_tests.cpp,raii_event_tests.cpp,4,4,4
reverselock_tests.cpp,reverselock_tests.cpp,4,4,4
rpc_tests.cpp,rpc_tests.cpp,88,64,61
sanity_tests.cpp,sanity_tests.cpp,4,4,4
scheduler_tests.cpp,scheduler_tests.cpp,100,100,100
script_tests.cpp,script_tests.cpp,48,308,47
scriptnum_tests.cpp,scriptnum_tests.cpp,1792,700,121
serialize_tests.cpp,serialize_tests.cpp,4,92,3
sighash_tests.cpp,sighash_tests.cpp,444,260,106
sigopcount_tests.cpp,sigopcount_tests.cpp,4,4,4
skiplist_tests.cpp,skiplist_tests.cpp,4,4,4
timedata_tests.cpp,timedata_tests.cpp,4,4,4
torcontrol_tests.cpp,torcontrol_tests.cpp,84,92,81
transaction_tests.cpp,transaction_tests.cpp,112,128,61
uint256_tests.cpp,uint256_tests.cpp,1600,188,185
util_tests.cpp,util_tests.cpp,8,1872,5
gen.cpp,gen.cpp,2588,2588,2588
univalue.cpp,univalue.cpp,2752,1836,1770
univalue_read.cpp,univalue_read.cpp,5352,5360,4837
univalue_write.cpp,univalue_write.cpp,3372,3372,3372
no_nul.cpp,no_nul.cpp,40,40,40
test_json.cpp,test_json.cpp,60,60,60
unitester.cpp,unitester.cpp,5308,5296,4339
crypter.cpp,crypter.cpp,1900,144,76
db.cpp,db.cpp,2448,712,522
rpcdump.cpp,rpcdump.cpp,3988,2112,71
rpcwallet.cpp,rpcwallet.cpp,8404,2988,72
wallet.cpp,wallet.cpp,708,8,5
wallet.cpp,wallet.cpp,708,604,62
walletdb.cpp,walletdb.cpp,1448,20,13
wallet_tests.cpp,wallet_tests.cpp,148,632,24
util.cpp,util.cpp,32,944,26
zmqabstractnotifier.cpp,zmqabstractnotifier.cpp,172,4,3
zmqnotificationinterface.cpp,zmqnotificationinterface.cpp,568,20,14
zmqpublishnotifier.cpp,zmqpublishnotifier.cpp,924,220,127
