short,coin,market-cap,volume
BTC,Bitcoin,1172958151263,62787232611
ETH,Ethereum,284308781846,32736217023
BNB,Binance Coin,85205505299,5364592038
XRP,XRP,79425149762,16235974799
ADA,Cardano,47002456725,5839621738
DOT,Polkadot,39902876581,2199922672
LTC,Litecoin,18597318411,6588199706
DOGE,Dogecoin,18108423387,11681488161
BCH,Bitcoin Cash,15727949502,5019858970
XLM,Stellar,14438038922,1930337330
THETA,THETA,12317001550,285865886
VET,VeChain,11686632652,2579278893
TRX,Tron,11442495467,7751183619
FIL,Filecoin,11396953427,1872127561
EOS,EOS,7349695856,3382087715
SOL,Solana,7285570854,237814352
KLAY,Klaytn,6736998458,174706610
BSV,Bitcoin SV,6627751354,2682208435
LUNA,Terra,6249628188,298394927
XMR,Monero,6089178830,647767532
MIOTA,IOTA,6045490486,150445546
ATOM,Cosmos,5562687053,1576013655
XTY,Tezos,5170680765,587324123
NEO,Neo,5001829500,984166419
AVAX,Avalanche,4784948340,659998980
ALGO,Algorand,4259907002,331115185
CTC,Creditcoin,4135871496,22213731
KSM,Kusama,3963081453,323297231
EGLD,Elrond,3940777663,233252403
XEM,NEM,3899795161,215270963
DASH,Dash,3198926190,1184904903
ETC,Ethereum Classic,3141012753,3002135508
HBAR,Hedera Hashgraph,3003090038,372317910
ZEC,Zcash,2916685519,1036664453
STX,Stacks,2726773866,82986431
DCR,Decred,2655407386,34201681
ZIL,Zilliqa,2396390413,213237139
NEAR,NEAR Protocol,2359947727,80883096
BTG,Bitcoin Gold,2042725926,93913979
RVN,Ravencoin,1881921785,990976320
TFUEL,Theta Fuel,1869435646,67717222
CCXX,Counos X,1831286284,5677307
UST,TerraUSD,1790518234,29286573
WAVES,Waves,1700299248,193768059
ONT,Ontology,1613366251,475139120
XDC,XinFin Network,1599712798,39241056
QTUM,Qtum,1585517835,718912972
ICX,ICON,1550417143,89579332
ONE,Harmony,1525382280,207074438
DFI,DeFiChain,1515525914,6675525
